date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,26.9,11.1,12.7,23.5,15.0,11.5,13.4,18.1,9.8,23.3,93.8,26.0,53.2,40.8,5.2,22.8,4.5,32.2,45.5,29.3,4.5,8.9,13.0,26.5,47.1,93.8,22.8
10-02,25.5,10.5,12.0,22.3,16.2,11.4,13.2,17.9,9.0,21.7,92.2,29.9,53.1,39.4,4.6,20.8,5.0,31.3,43.9,29.7,4.6,8.2,12.5,28.1,45.8,92.2,20.8
10-03,25.5,10.4,31.4,22.3,15.4,12.4,12.4,17.8,8.4,20.4,78.2,28.8,54.1,37.7,5.5,20.8,4.3,31.0,43.4,40.6,4.3,7.8,13.6,30.1,45.5,78.2,20.8
10-04,23.3,10.2,14.5,22.0,17.3,11.9,11.8,17.9,7.4,20.3,77.3,28.7,57.9,38.7,23.0,19.5,4.8,30.6,42.1,43.3,4.8,9.6,15.6,26.5,45.3,77.3,20.3
10-05,23.6,13.1,20.4,22.5,25.3,11.7,11.7,17.9,7.1,21.3,76.6,28.7,56.7,40.4,36.8,18.9,4.8,30.0,40.6,41.7,4.8,10.8,18.3,29.5,43.8,76.6,22.5
10-06,23.0,12.5,28.5,38.6,25.3,12.2,11.8,27.6,6.6,21.2,75.7,28.9,55.9,37.6,36.3,18.8,4.5,29.3,39.2,43.5,4.5,10.8,19.7,33.5,42.6,75.7,27.6
10-07,22.4,11.5,33.5,33.2,25.9,12.2,20.4,26.6,6.2,20.8,74.9,28.7,55.0,37.4,33.4,18.8,3.7,37.9,38.0,43.2,3.7,10.4,20.6,33.4,41.4,74.9,26.6
10-08,21.8,10.8,25.1,34.1,24.6,20.0,25.0,26.1,6.1,21.3,73.8,29.2,54.2,36.9,31.9,18.7,4.2,38.6,36.8,40.9,4.2,9.8,21.5,33.3,41.7,73.8,25.1
10-09,21.6,11.0,24.2,45.2,23.3,19.1,24.3,26.8,6.0,19.9,72.8,28.8,53.7,36.1,31.1,17.5,4.1,43.3,35.6,38.8,4.1,10.0,20.6,33.8,46.9,72.8,24.3
10-10,20.5,11.7,24.9,46.5,21.5,21.9,22.3,25.7,5.8,18.7,72.6,28.2,52.8,37.0,31.8,17.9,4.3,43.1,35.6,37.5,4.3,10.5,20.9,34.1,47.7,72.6,24.9
10-11,21.2,11.9,29.6,47.1,21.8,20.1,20.4,28.7,5.7,19.8,70.2,28.0,52.2,37.1,33.5,17.3,4.7,47.5,34.4,35.8,4.7,10.7,20.2,34.0,48.4,70.2,28.0
10-12,20.4,11.9,28.9,46.4,20.2,20.2,19.4,34.3,5.5,28.7,56.2,28.0,51.2,37.6,35.5,16.9,3.4,46.3,33.2,35.7,3.4,10.6,20.2,35.0,47.4,56.2,28.7
10-13,20.0,12.1,28.4,45.1,20.4,26.7,17.9,37.7,7.8,26.4,56.9,27.5,50.2,35.6,37.6,16.9,4.0,45.6,33.1,38.2,4.0,11.2,20.2,36.8,46.5,56.9,27.5
10-14,21.8,11.1,26.3,44.0,22.8,27.4,17.0,40.1,15.6,27.2,56.7,27.5,49.0,35.7,37.3,16.4,4.4,44.5,32.5,38.4,4.4,14.7,22.2,36.7,45.4,56.7,27.4
10-15,20.6,10.9,25.1,43.2,19.7,29.9,17.5,41.5,14.2,25.2,54.5,27.3,48.0,35.4,34.0,16.5,4.0,43.3,31.8,37.6,4.0,13.6,20.1,34.9,44.3,54.5,27.3
10-16,20.6,10.4,23.7,42.3,21.8,27.2,17.0,46.5,12.2,24.9,55.0,26.5,46.3,35.1,33.0,16.9,4.3,43.8,31.0,,4.3,11.8,21.1,34.3,46.3,55.0,26.5
10-17,20.0,10.6,24.6,42.2,23.2,25.2,17.0,49.1,11.4,23.4,51.9,26.4,45.2,35.1,32.7,17.1,4.1,47.4,30.3,,4.1,11.3,21.3,34.1,47.7,51.9,25.2
10-18,19.7,10.3,24.1,40.8,21.5,23.6,17.4,48.6,11.1,24.9,51.6,26.4,44.8,34.7,31.7,17.4,4.0,46.8,30.3,,4.0,10.9,20.4,33.5,47.2,51.6,24.9
10-19,20.1,10.4,24.4,41.3,21.8,22.6,18.3,48.1,10.5,24.8,50.2,28.5,43.9,34.4,31.8,16.5,4.0,45.4,30.0,,4.0,10.5,20.8,33.4,45.9,50.2,24.8
