date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.8,36.9,32.4,62.4,55.0,37.5,42.6,42.4,49.0,35.9,63.5,84.2,53.5,65.9,73.4,28.3,60.7,27.8,52.3,46.2,58.4,27.8,32.0,37.7,56.7,66.6,84.2,47.6
10-02,37.5,37.4,32.4,61.5,58.2,36.9,42.8,42.5,48.4,35.9,62.9,82.9,53.4,65.6,75.1,28.6,60.9,27.4,52.2,45.8,59.0,27.4,32.0,37.5,59.0,66.5,82.9,47.1
10-03,37.3,37.2,32.5,65.7,57.7,36.8,44.0,42.2,48.3,35.9,62.3,82.1,53.3,65.8,74.8,34.6,60.7,27.7,52.4,45.8,63.2,27.7,34.4,37.2,58.6,66.7,82.1,47.0
10-04,37.2,37.1,28.6,65.1,57.2,36.4,47.9,41.6,48.2,37.7,64.7,81.4,53.8,66.4,74.6,38.0,60.5,27.5,52.3,45.7,64.6,27.5,35.6,37.9,58.2,67.2,81.4,48.1
10-05,37.1,36.9,34.3,67.4,55.9,37.2,50.8,41.9,49.1,36.3,64.7,81.1,54.2,67.5,74.3,48.0,60.2,27.9,52.1,46.0,66.7,27.9,36.1,40.5,57.2,68.2,81.1,50.0
10-06,36.9,36.8,34.6,68.4,60.9,41.2,51.5,42.4,48.9,36.2,65.5,81.0,54.7,67.0,74.8,50.9,59.9,27.7,52.1,46.1,66.4,27.7,36.0,42.1,60.2,69.1,81.0,51.2
10-07,36.6,36.6,33.6,69.9,61.0,43.3,51.7,42.8,49.2,35.9,65.6,80.7,54.8,66.9,74.2,52.4,59.4,27.2,53.9,46.2,66.0,27.2,35.7,43.2,59.9,70.4,80.7,52.0
10-08,36.6,36.3,34.2,70.6,60.9,42.7,52.3,45.8,53.5,35.7,65.4,80.3,55.1,66.7,73.9,53.2,59.4,27.5,55.7,46.0,65.6,27.5,35.6,44.9,59.8,71.0,80.3,53.3
10-09,36.2,36.3,34.3,70.4,61.9,43.9,54.7,49.8,56.5,35.9,65.9,79.9,55.1,66.7,73.5,53.5,59.0,27.0,57.2,46.0,65.4,27.0,35.8,45.4,59.9,70.7,79.9,54.9
10-10,36.2,36.4,34.1,71.5,66.7,43.7,54.3,52.3,56.9,35.5,65.9,79.6,55.2,66.8,73.6,53.8,59.1,27.7,57.2,46.1,64.9,27.7,35.3,45.4,61.1,71.7,79.6,54.8
10-11,35.8,36.0,34.6,72.1,67.3,42.8,54.5,53.6,58.3,35.5,67.4,79.6,55.3,66.8,73.5,54.4,58.5,27.4,57.6,46.0,64.4,27.4,35.4,45.1,61.0,72.2,79.6,54.9
10-12,35.1,35.9,34.5,70.7,66.6,43.4,55.7,54.1,62.0,36.3,68.9,79.1,55.0,66.8,73.1,58.0,58.0,28.1,59.0,46.3,65.1,28.1,35.1,45.4,63.4,70.9,79.1,56.9
10-13,35.4,37.7,34.5,69.9,66.3,43.1,55.6,53.8,62.6,35.9,69.4,80.0,54.6,66.5,72.8,60.4,58.1,28.0,60.1,46.1,65.7,28.0,35.3,45.2,63.7,70.2,80.0,56.9
10-14,34.8,37.7,34.4,70.0,66.2,43.5,59.5,53.1,63.5,36.5,70.3,80.0,54.6,65.9,72.7,61.0,57.8,28.1,60.7,45.7,66.7,28.1,34.7,45.0,64.2,70.5,80.0,58.6
10-15,34.4,37.6,34.4,69.3,66.1,43.9,60.7,52.5,65.7,36.9,71.5,79.7,54.4,65.5,72.4,61.3,57.6,28.3,61.7,45.6,68.7,28.3,34.4,45.1,65.6,71.6,79.7,59.1
10-16,34.3,37.5,34.4,69.1,65.9,45.3,60.7,52.0,66.3,37.0,72.6,79.6,54.5,66.0,72.1,60.9,57.4,28.4,63.6,45.5,,28.4,34.4,45.4,65.9,72.2,79.6,59.1
10-17,34.3,37.6,34.2,71.3,66.0,46.4,61.5,51.9,66.6,38.4,72.6,79.2,54.2,67.5,72.4,61.1,57.4,28.2,65.8,45.5,,28.2,34.3,46.1,66.2,72.4,79.2,59.3
10-18,34.2,37.2,34.2,71.2,66.6,47.4,62.4,52.0,69.2,39.1,72.4,79.1,54.1,68.6,72.2,61.9,57.9,28.5,67.1,45.7,,28.5,34.2,46.9,67.6,72.2,79.1,59.9
10-19,33.9,37.1,34.1,70.7,68.5,47.7,63.7,52.0,68.6,39.3,72.6,78.7,54.6,69.3,72.3,62.4,57.7,28.3,67.2,45.6,,28.3,34.1,47.1,68.5,72.3,78.7,60.0
10-20,33.7,37.4,34.2,70.7,72.0,48.7,64.2,51.2,68.5,39.1,72.2,78.6,56.1,69.6,72.4,64.1,57.8,28.3,67.9,45.4,,28.3,34.1,47.7,68.8,72.2,78.6,61.0
10-21,33.6,41.3,33.9,71.4,72.0,48.9,64.8,51.0,68.2,39.8,71.7,78.2,56.0,69.6,72.1,65.3,57.5,28.1,68.3,45.4,,28.1,33.8,47.8,68.7,72.0,78.2,61.1
10-22,33.2,42.3,33.7,71.0,71.6,48.4,65.1,51.3,67.7,39.7,71.8,78.6,56.2,70.3,72.1,66.0,57.9,22.8,69.0,45.0,,22.8,33.6,47.4,69.4,71.8,78.6,61.5
10-23,33.0,43.8,33.6,70.9,71.5,48.5,65.0,51.2,67.7,40.0,70.3,77.9,56.0,70.9,72.2,66.3,59.1,28.2,69.5,45.4,,28.2,33.5,47.5,69.8,71.6,77.9,62.0
10-24,32.8,46.6,33.7,70.8,73.0,47.1,65.4,50.9,67.3,42.5,73.1,78.2,55.8,71.3,72.4,67.0,59.2,28.0,69.8,45.0,,28.0,33.6,46.9,70.1,73.0,78.2,62.3
10-25,32.2,47.7,33.2,71.3,73.3,47.4,66.7,62.9,66.9,43.9,72.8,77.6,56.8,73.3,72.0,66.7,59.2,28.1,71.3,44.9,,28.1,33.1,47.6,71.3,73.3,77.6,64.8
10-26,31.8,48.6,33.3,71.2,73.4,47.6,66.3,63.9,67.1,43.8,73.2,78.0,57.5,73.0,71.9,66.8,59.3,27.7,74.6,45.4,,27.7,33.2,48.3,71.4,73.5,78.0,65.1
10-27,31.7,53.4,33.1,70.8,71.9,47.5,65.7,65.6,66.7,45.5,72.8,77.9,58.1,72.5,71.6,66.8,61.0,27.8,74.1,45.4,,27.8,33.0,51.6,71.0,73.0,77.9,65.6
10-28,31.5,49.7,33.0,71.0,71.4,47.8,65.6,62.3,66.5,46.6,72.7,77.1,57.8,72.4,71.5,66.4,60.8,27.7,74.0,45.9,,27.7,32.9,49.1,71.1,72.8,77.1,63.9
10-29,31.7,50.2,32.8,71.2,70.6,47.4,65.2,63.4,65.9,48.9,72.6,77.2,57.8,74.0,71.4,66.4,60.5,27.7,74.7,46.3,,27.7,32.7,49.8,70.8,74.1,77.2,64.3
10-30,31.6,50.5,33.0,70.6,70.4,47.4,65.1,65.0,65.2,50.1,73.3,77.6,58.0,72.4,71.4,66.0,60.4,28.6,75.9,46.7,,28.6,32.8,50.3,70.5,73.5,77.6,65.0
10-31,31.3,50.6,33.1,69.9,70.2,47.7,65.2,65.8,64.9,50.1,73.4,77.8,57.9,73.6,71.1,65.7,60.2,29.3,76.9,47.0,,29.3,32.9,50.4,70.0,74.0,77.8,65.0
11-01,31.1,50.8,32.9,69.0,69.8,47.8,65.5,66.5,64.9,50.0,73.8,77.4,58.2,75.9,71.0,65.1,60.3,29.6,77.4,48.0,,29.6,32.8,50.6,69.3,76.1,77.4,65.0
11-02,31.2,50.9,33.0,69.8,69.1,47.4,66.1,66.1,64.6,49.9,73.4,77.6,58.8,75.0,70.7,64.9,60.0,30.0,77.8,48.2,,30.0,32.8,50.6,69.3,75.2,77.8,64.8
11-03,30.9,51.1,36.2,69.2,68.6,49.5,66.4,67.0,65.1,50.0,73.5,77.5,59.2,74.3,72.2,64.8,59.5,30.0,78.7,48.6,,30.0,35.7,50.8,68.8,74.7,78.7,64.9
11-04,31.1,51.4,36.0,71.5,67.5,52.4,66.2,67.3,64.7,49.9,73.3,76.5,59.8,73.4,72.3,65.3,59.5,30.7,78.7,48.8,,30.7,35.5,52.1,68.7,73.8,78.7,65.0
11-05,30.9,51.7,36.4,68.7,67.2,53.1,66.0,68.3,64.5,50.2,73.3,77.3,59.8,73.3,72.3,65.3,59.3,30.6,78.7,49.1,,30.6,35.9,52.7,68.4,73.7,78.7,64.9
11-06,30.8,51.8,36.9,68.7,67.2,53.7,66.3,68.8,64.7,50.5,73.0,76.5,59.7,73.4,72.8,65.0,59.1,30.6,78.2,50.0,,30.6,36.3,53.2,68.7,73.8,78.2,64.8
11-07,30.9,51.9,37.5,68.5,66.5,53.9,66.8,70.0,64.4,50.6,72.6,76.8,59.8,73.5,72.7,65.2,59.1,31.3,78.1,50.6,,30.9,36.9,53.3,69.0,73.8,78.1,64.8
11-08,30.8,52.1,38.5,69.5,66.4,54.3,66.6,69.9,64.2,51.5,72.7,76.0,59.8,73.2,72.7,64.9,58.9,31.5,78.0,51.3,,30.8,37.8,53.7,69.6,73.5,78.0,64.6
