date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,35.5,41.2,46.6,26.1,26.4,22.2,43.1,39.4,59.1,62.4,39.2,51.8,52.5,27.9,29.6,25.5,33.1,39.7,45.7,22.2,26.0,29.9,42.9,54.5,62.4,39.3
10-02,34.1,42.0,49.1,25.0,25.9,22.2,42.4,39.3,58.6,62.9,38.4,51.7,52.1,28.1,29.2,25.4,33.0,39.4,45.0,22.2,25.3,29.6,42.3,54.1,62.9,38.8
10-03,33.9,41.4,48.8,25.5,25.5,22.0,42.3,39.2,57.9,62.0,37.8,51.4,52.2,28.2,28.9,25.2,33.1,39.2,45.5,22.0,25.4,29.4,42.2,53.9,62.0,38.5
10-04,32.6,41.6,48.1,24.9,25.5,21.9,41.9,39.1,57.4,61.2,37.3,50.7,51.9,29.9,28.8,25.2,32.6,39.2,45.7,21.9,25.1,30.2,41.9,53.6,61.2,38.2
10-05,33.1,42.6,47.6,26.5,25.1,23.0,41.4,38.7,56.7,61.0,36.4,49.9,52.0,36.5,28.8,25.1,32.7,39.0,46.0,23.0,25.1,32.7,42.5,53.4,61.0,37.6
10-06,35.2,46.1,47.7,28.3,25.4,52.5,42.9,38.2,56.5,59.9,38.0,50.2,51.7,37.9,28.7,25.0,33.0,38.7,46.3,25.0,27.4,35.5,47.5,53.7,59.9,38.5
10-07,35.2,57.5,47.9,29.2,25.0,58.5,43.7,37.9,56.2,59.4,38.9,49.7,51.1,41.2,28.6,24.9,33.0,38.5,46.1,24.9,27.5,35.5,49.5,57.8,59.4,40.1
10-08,35.5,58.1,48.8,29.7,25.0,57.6,44.8,37.5,55.7,58.6,39.1,49.2,50.9,42.4,28.3,24.8,33.1,38.2,45.8,24.8,27.3,35.7,49.1,57.8,58.6,40.7
10-09,35.7,57.6,49.3,31.5,24.7,58.3,46.0,37.3,55.4,58.1,39.3,49.0,50.6,44.2,28.5,24.9,39.5,37.9,45.6,24.7,27.4,37.4,49.3,57.8,58.3,41.9
10-10,35.5,58.1,49.1,31.7,24.6,57.5,48.5,37.2,55.1,57.7,39.5,48.7,50.0,45.7,28.4,24.9,39.2,37.9,45.2,24.6,27.3,37.3,49.1,57.6,58.1,42.6
10-11,34.9,61.0,48.9,31.0,25.4,57.2,50.6,37.0,55.4,57.2,39.3,48.5,49.9,47.2,27.7,24.7,39.5,37.3,45.0,24.7,27.0,37.0,49.8,57.2,61.0,43.3
10-12,34.9,60.8,48.9,31.1,24.7,56.9,56.9,38.1,56.2,56.7,39.3,48.3,49.8,49.6,27.4,24.6,39.0,37.3,44.4,24.6,26.6,37.3,49.8,56.9,60.8,43.8
10-13,34.7,59.7,48.4,30.5,24.5,56.0,57.3,37.8,56.7,56.0,39.3,47.8,49.6,50.3,27.0,24.4,39.2,36.9,44.1,24.4,26.3,36.9,50.3,56.9,59.7,43.5
10-14,34.7,59.5,48.1,30.4,24.6,55.1,57.7,42.9,56.7,55.4,38.9,47.4,49.1,50.4,27.3,24.3,40.1,36.7,44.4,24.3,26.5,36.9,50.3,57.0,59.5,45.2
10-15,34.4,66.4,47.5,32.5,24.8,55.0,58.6,44.2,57.5,54.5,39.0,46.8,48.8,49.9,27.2,24.3,41.0,36.5,44.4,24.3,26.5,36.7,49.8,57.8,66.4,45.5
10-16,35.7,66.7,47.0,32.8,24.8,54.6,58.9,44.1,57.6,54.3,38.4,46.8,48.4,49.3,27.2,24.0,42.1,36.3,,24.0,26.5,36.5,49.2,57.9,66.7,45.5
10-17,36.2,67.3,47.1,32.2,25.0,53.7,59.1,44.0,57.5,53.7,38.6,46.3,48.5,49.2,27.6,24.1,44.1,36.0,,24.1,26.8,36.5,49.1,58.0,67.3,45.2
10-18,36.5,67.4,47.0,32.6,24.8,54.7,59.1,43.9,57.5,53.5,38.9,45.6,48.4,49.2,27.7,23.9,48.0,35.8,,23.9,26.8,36.7,49.1,58.0,67.4,46.3
10-19,43.6,67.0,46.9,33.0,25.0,57.7,58.2,43.7,57.2,53.0,48.0,45.7,48.5,49.8,27.4,23.9,48.7,35.6,,23.9,26.7,43.6,49.7,57.9,67.0,47.4
10-20,47.8,67.0,46.9,32.6,25.2,57.4,57.9,43.6,57.2,52.7,49.7,45.2,48.7,49.8,27.2,23.8,49.9,35.4,,23.8,26.6,43.7,49.9,57.5,67.0,48.3
10-21,47.4,67.1,46.4,34.9,24.6,56.6,57.7,43.5,56.9,52.3,53.2,44.5,48.2,51.1,27.0,23.7,50.6,35.3,,23.7,26.3,43.6,52.2,57.1,67.1,47.8
10-22,49.6,66.4,46.7,34.6,26.2,57.2,57.5,43.6,56.8,52.3,54.2,44.2,47.7,53.0,26.7,23.6,50.9,34.9,,23.6,26.5,43.6,52.9,57.3,66.4,48.6
10-23,46.2,66.1,47.0,34.2,26.0,60.4,57.1,43.4,56.7,51.8,54.2,43.9,47.6,57.2,26.8,23.6,50.8,34.8,,23.6,26.6,43.5,54.0,58.2,66.1,47.3
10-24,45.9,65.6,48.1,33.8,25.7,61.6,56.8,43.2,56.3,51.5,53.3,43.8,47.6,57.5,26.8,23.4,50.8,36.5,,23.4,26.5,43.2,53.1,58.7,65.6,47.8
10-25,45.2,66.5,47.5,33.4,25.6,61.9,56.6,42.8,56.3,50.4,52.6,45.6,47.5,57.2,26.5,23.1,51.0,36.1,,23.1,26.2,43.0,52.5,58.6,66.5,47.5
10-26,44.7,64.4,47.3,33.2,25.5,62.0,56.3,42.3,56.4,50.6,52.5,45.8,47.3,57.0,26.5,22.7,53.2,37.5,,22.7,26.2,42.5,53.1,58.5,64.4,47.3
10-27,44.5,65.4,47.0,33.5,25.0,61.9,55.9,42.2,56.2,50.3,52.2,45.5,47.2,56.8,26.7,22.2,54.4,38.5,,22.2,26.2,42.4,54.2,58.3,65.4,47.1
10-28,44.4,65.8,46.9,33.4,24.8,61.9,55.9,42.1,56.2,49.9,51.6,45.5,46.8,57.0,26.3,21.8,55.2,38.4,,21.8,25.8,42.3,54.9,58.5,65.8,46.9
10-29,48.8,66.3,46.2,33.3,24.2,61.8,55.8,42.1,55.8,49.6,51.3,45.6,46.7,57.2,25.9,21.8,56.4,38.5,,21.8,25.4,42.4,55.3,58.6,66.3,47.7
10-30,49.7,65.8,47.1,33.7,24.1,62.7,56.0,41.8,55.7,49.0,51.5,45.9,46.6,57.0,25.3,22.0,56.8,39.1,,22.0,24.9,42.2,55.3,58.7,65.8,48.0
10-31,50.0,64.8,46.5,31.6,24.1,62.7,56.9,41.8,56.6,49.1,53.5,46.1,46.4,56.5,24.8,22.0,56.7,39.4,,22.0,24.6,42.3,56.2,58.6,64.8,47.8
11-01,51.9,63.6,45.6,34.5,26.6,62.2,56.8,41.8,57.2,48.6,55.1,45.3,46.4,55.9,24.6,22.1,57.6,40.2,,22.1,26.0,42.2,55.8,59.0,63.6,47.5
11-02,48.7,63.2,46.1,32.0,26.4,62.5,56.8,41.9,57.8,48.3,57.5,44.6,46.1,55.6,24.8,22.2,58.0,41.5,,22.2,25.9,42.2,56.7,59.3,63.2,47.2
11-03,49.5,63.1,45.3,36.8,26.9,62.5,56.6,41.8,58.3,48.1,57.7,44.7,46.2,55.6,24.9,22.2,58.3,42.1,,22.2,26.3,42.4,56.5,59.6,63.1,47.2
11-04,49.4,63.0,45.2,37.7,26.7,62.3,56.4,41.5,58.5,48.1,57.5,44.3,45.9,55.5,24.8,22.1,58.4,42.7,,22.1,26.2,42.9,56.3,59.7,63.0,47.0
11-05,48.9,63.1,44.4,37.7,28.7,62.5,56.2,41.2,58.6,48.2,57.0,45.2,45.7,55.3,24.7,22.4,58.4,43.1,,22.4,27.5,43.2,56.1,59.8,63.1,46.9
11-06,48.0,62.4,44.6,37.1,30.6,62.2,55.9,41.4,58.8,49.7,56.7,45.4,45.6,55.0,24.9,22.3,58.0,43.7,,22.3,28.9,43.8,55.8,59.8,62.4,46.8
11-07,47.6,62.4,44.1,37.9,31.5,62.0,55.8,41.0,58.9,50.4,56.3,45.8,45.4,54.9,24.8,22.5,57.7,45.1,,22.5,29.5,44.2,55.7,59.8,62.4,46.7
11-08,47.4,62.9,43.7,38.5,32.9,61.7,55.5,41.2,59.2,50.9,56.1,45.4,44.9,54.5,25.0,22.0,57.5,46.6,,22.0,30.5,43.8,55.4,59.9,62.9,47.0
11-09,47.5,62.9,43.3,39.7,32.4,61.5,55.7,40.9,59.3,51.0,55.7,45.3,44.5,53.8,25.0,21.8,57.2,47.4,,21.8,30.1,43.4,55.5,60.0,62.9,47.5
11-10,47.4,61.9,43.7,40.4,32.7,61.7,55.9,42.1,59.4,51.4,55.4,44.9,44.4,52.7,24.8,21.7,56.9,50.1,,21.7,30.3,43.7,55.2,60.1,61.9,48.7
11-11,47.6,60.9,43.5,40.0,32.6,61.5,55.6,42.3,59.8,50.9,55.3,44.8,44.7,51.8,24.6,21.5,56.8,50.2,,21.5,30.2,43.6,54.9,60.1,61.5,48.9
11-12,47.6,60.3,42.9,39.8,32.4,61.1,55.6,42.4,60.7,50.8,54.9,44.5,44.2,51.1,25.0,21.4,56.6,50.1,,21.4,30.2,43.0,54.5,60.4,61.1,48.8
11-13,48.6,60.0,42.9,40.3,32.4,61.2,55.3,42.7,60.9,50.5,54.7,44.5,44.1,48.7,24.6,21.4,56.7,50.1,,21.4,30.0,43.0,54.3,60.3,61.2,48.6
