date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,33.0,37.8,31.3,49.8,25.5,24.4,24.9,33.1,40.9,59.8,67.0,45.0,49.1,37.2,21.7,20.6,22.4,33.6,36.2,39.6,20.6,22.3,27.8,39.6,51.8,67.0,33.6
10-02,38.0,37.7,31.6,49.4,25.3,23.9,24.9,32.9,40.6,59.0,64.1,44.0,48.8,36.8,21.8,20.3,22.0,33.3,35.7,39.7,20.3,22.0,27.8,39.5,51.3,64.1,35.7
10-03,37.1,37.5,31.7,48.8,25.0,23.6,26.5,34.8,40.4,58.4,63.1,43.2,48.5,36.2,21.5,20.0,21.9,33.2,35.3,40.3,20.0,21.9,28.6,39.3,50.8,63.1,35.3
10-04,36.5,34.7,31.9,48.6,25.2,23.4,24.2,33.9,40.2,57.6,62.6,42.5,47.7,36.4,21.2,19.8,21.8,32.6,35.2,41.3,19.8,21.7,27.9,38.7,50.4,62.6,34.7
10-05,36.7,36.8,33.4,48.6,24.4,23.5,29.1,33.2,39.6,56.6,61.8,42.0,47.3,36.0,27.5,20.0,21.8,32.6,35.1,41.8,20.0,23.2,30.5,38.5,50.2,61.8,35.1
10-06,37.3,36.5,37.7,47.5,25.2,23.4,67.3,40.0,39.1,56.0,61.1,41.5,46.9,35.9,29.9,20.0,21.3,31.8,34.8,41.8,20.0,23.0,33.0,40.9,57.0,67.3,37.3
10-07,36.6,36.8,57.7,46.7,27.7,23.2,67.4,41.7,38.6,55.7,60.2,42.7,46.5,35.6,45.7,19.7,21.4,31.8,34.6,41.6,19.7,22.8,35.0,46.2,58.2,67.4,38.6
10-08,36.4,36.5,56.6,46.3,31.8,22.6,65.2,45.4,38.2,55.3,59.6,43.0,46.3,35.5,45.1,19.8,21.3,31.7,34.1,41.3,19.8,22.3,34.7,45.9,57.2,65.2,38.2
10-09,36.2,36.0,55.9,46.3,34.8,22.9,64.4,45.8,38.0,54.8,59.0,43.2,46.0,35.3,44.6,19.6,21.2,44.0,33.9,41.3,19.6,22.6,35.6,45.9,56.5,64.4,43.2
10-10,35.6,36.0,55.7,46.0,36.2,22.4,63.6,49.5,37.4,53.9,58.4,43.4,46.0,34.7,45.5,19.7,20.9,46.6,33.9,41.0,19.7,22.1,35.8,46.3,56.3,63.6,43.4
10-11,34.8,35.7,56.9,45.7,35.7,22.8,63.6,49.6,37.5,55.8,57.7,43.4,45.9,34.6,45.5,19.1,20.9,45.9,33.1,40.6,19.1,22.4,35.1,45.9,57.1,63.6,43.4
10-12,34.6,35.6,56.9,45.4,34.7,22.8,63.1,53.7,37.0,60.0,57.2,43.2,45.7,34.7,46.4,18.6,21.0,45.7,33.3,40.1,18.6,22.5,34.7,46.1,57.7,63.1,43.2
10-13,34.6,35.8,56.2,44.8,34.0,22.7,61.9,53.5,39.6,59.4,56.1,43.0,45.2,34.5,46.1,18.6,21.0,46.7,32.8,39.6,18.6,22.4,34.6,46.4,56.9,61.9,43.0
10-14,34.2,35.6,56.3,44.4,34.6,22.3,61.0,52.9,42.3,58.6,55.3,42.6,44.9,34.3,45.8,18.5,20.7,47.3,32.6,39.2,18.5,22.0,34.4,46.7,56.8,61.0,42.6
10-15,34.2,35.3,62.3,44.2,35.6,22.7,60.2,56.0,45.1,58.3,54.8,42.5,44.4,34.0,46.2,18.6,20.8,47.2,32.5,39.1,18.6,22.3,34.6,46.8,58.7,62.3,44.2
10-16,34.1,35.3,64.8,44.0,36.0,23.0,59.8,55.7,45.4,57.9,54.1,42.1,44.5,33.9,47.4,18.6,20.8,51.1,32.1,,18.6,22.5,34.6,49.6,58.3,64.8,44.0
10-17,33.4,37.8,64.8,43.4,36.2,23.0,59.1,55.8,45.1,57.4,53.2,41.9,44.3,33.5,47.7,18.6,20.5,51.5,32.0,,18.6,22.5,34.6,50.0,57.8,64.8,43.4
