date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,23.2,20.4,53.3,28.7,25.5,22.4,24.4,30.1,23.3,35.4,66.2,39.5,52.2,53.9,17.2,43.6,17.7,30.7,30.2,38.0,17.2,19.9,23.7,37.9,53.4,66.2,30.1
10-02,27.6,20.4,53.1,29.5,25.0,22.1,24.2,29.9,23.3,35.3,66.8,39.2,51.1,54.0,17.2,43.4,17.7,30.4,29.9,39.3,17.2,19.8,24.5,37.6,53.2,66.8,29.9
10-03,27.3,20.1,54.8,29.6,24.8,23.2,23.8,29.5,23.2,34.8,66.4,39.9,51.2,53.4,23.5,43.2,17.9,30.7,29.6,45.2,17.9,22.5,24.2,37.9,53.6,66.4,29.6
10-04,27.3,18.1,55.4,30.1,24.7,25.4,24.2,29.5,23.0,35.4,65.7,40.6,52.0,53.0,26.6,43.0,17.8,30.4,29.3,50.0,17.8,22.0,25.9,38.5,53.5,65.7,29.5
10-05,27.2,21.3,56.5,30.0,30.2,27.9,25.0,30.0,22.8,35.4,65.2,41.0,53.4,53.1,37.5,42.7,17.7,30.4,29.2,54.7,17.7,22.5,28.4,39.6,54.0,65.2,30.2
10-06,27.1,21.1,58.5,31.0,36.1,29.7,24.4,34.4,22.8,36.6,64.5,41.4,53.9,52.8,42.9,42.2,17.7,30.3,29.2,55.0,17.7,22.4,29.4,41.9,54.8,64.5,34.4
10-07,27.0,21.7,65.1,33.1,37.1,31.1,25.1,35.0,22.7,38.1,64.3,41.8,53.7,52.5,42.9,41.8,17.3,31.4,29.2,55.6,17.3,22.5,29.9,41.8,55.8,65.1,35.0
10-08,26.8,22.4,65.1,35.2,36.7,31.7,25.9,35.2,22.4,37.8,63.8,41.8,54.0,52.3,43.3,41.5,17.5,31.9,28.9,54.5,17.5,22.4,30.0,41.7,55.9,65.1,35.2
10-09,26.9,23.1,64.8,38.7,36.4,31.4,28.2,36.8,22.0,37.9,63.2,41.8,53.8,51.6,43.2,41.3,17.5,41.7,28.7,54.3,17.5,22.9,29.8,41.8,55.7,64.8,37.9
10-10,27.0,23.2,64.5,45.1,36.0,31.9,29.7,40.2,22.1,37.9,62.7,41.6,53.7,51.4,44.0,41.0,17.6,46.2,28.6,53.4,17.6,23.0,30.6,44.7,55.5,64.5,40.2
