date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,41.0,51.9,35.1,46.3,33.8,32.8,34.7,31.0,37.0,24.7,62.1,52.1,24.4,47.7,20.3,18.8,23.3,22.5,25.4,26.6,24.0,18.8,22.3,25.2,38.2,51.9,62.1,33.3
10-02,40.4,51.4,35.2,45.6,33.8,32.2,33.8,31.3,36.6,24.7,62.0,53.2,24.0,47.6,19.9,17.9,22.9,22.8,24.6,26.2,23.6,17.9,22.5,24.6,37.7,51.5,62.0,33.0
10-03,40.1,51.5,35.3,46.1,34.4,31.8,33.0,31.4,36.0,24.7,61.7,52.4,23.7,47.7,19.8,18.8,22.9,22.4,24.9,26.9,23.6,18.8,22.1,24.8,37.3,51.6,61.7,32.4
10-04,39.4,51.1,35.3,45.8,34.1,31.5,33.1,31.4,36.2,24.4,60.7,52.4,23.4,51.5,19.6,18.8,22.0,22.6,25.4,28.9,22.9,18.8,21.8,25.1,37.1,51.6,60.7,32.3
10-05,39.1,50.8,35.2,45.4,34.2,31.7,32.4,31.5,35.0,24.9,60.7,54.4,22.4,72.2,19.3,38.4,21.9,22.6,25.4,32.3,22.5,19.3,22.4,29.7,38.6,55.0,72.2,33.3
10-06,38.7,50.9,33.7,45.9,35.1,31.1,32.4,32.1,34.9,24.5,61.1,56.0,22.7,71.6,19.9,38.8,22.0,22.9,25.0,33.7,23.5,19.9,22.7,29.3,38.7,56.5,71.6,33.7
10-07,38.2,50.2,33.6,78.9,33.7,30.7,31.6,31.1,53.5,24.1,62.9,56.7,23.2,70.4,19.4,40.0,21.8,23.1,25.2,34.5,22.6,19.4,22.9,29.0,43.1,63.6,78.9,33.6
10-08,38.0,50.5,34.1,79.5,34.1,30.7,31.1,30.8,53.6,23.8,65.2,57.2,22.6,69.5,18.9,46.0,21.5,22.2,25.1,34.7,23.2,18.9,22.1,29.0,47.4,65.6,79.5,34.1
10-09,37.3,50.3,34.5,77.7,33.8,31.0,31.7,30.4,53.2,24.4,65.9,57.8,21.9,68.8,19.8,46.0,21.5,22.6,24.4,34.5,22.9,19.8,21.8,28.6,47.3,66.2,77.7,34.1
10-10,36.8,49.5,33.6,80.5,33.8,30.3,31.6,30.0,53.6,23.8,65.5,58.2,21.7,68.7,19.6,44.6,21.2,22.2,24.3,34.7,22.6,19.6,21.7,28.3,46.1,65.8,80.5,33.7
10-11,36.4,49.1,33.8,79.7,34.2,30.8,32.0,30.5,53.3,24.2,72.1,58.1,22.3,68.0,18.4,45.7,20.6,22.2,24.0,34.2,22.9,18.4,22.1,28.7,46.7,68.4,79.7,34.0
10-12,35.8,49.4,33.8,77.7,34.5,30.7,31.3,30.8,53.4,24.1,73.3,57.9,22.3,67.7,18.9,46.0,20.5,22.5,23.9,34.0,22.0,18.9,22.1,28.7,47.0,68.2,77.7,33.9
10-13,35.0,49.0,33.1,76.9,34.6,29.3,32.0,31.2,52.7,23.7,71.8,57.9,22.9,67.4,19.2,45.1,20.5,21.4,23.5,33.7,22.3,19.2,21.3,27.6,46.3,67.8,76.9,33.4
10-14,34.7,48.7,33.6,76.0,34.6,29.6,31.4,31.0,52.1,24.1,70.8,57.5,21.7,66.7,18.6,44.3,20.1,22.1,23.2,33.1,22.2,18.6,21.6,27.9,45.6,67.1,76.0,33.4
