date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,77.9,77.1,70.4,79.6,47.8,49.4,35.1,66.2,76.4,50.4,72.9,70.6,23.8,51.4,22.9,63.1,67.7,60.3,22.9,30.6,50.2,71.1,77.4,79.6,66.2
10-02,77.4,76.9,70.2,79.7,47.6,48.9,35.1,65.7,74.9,49.9,72.0,69.8,23.4,51.1,22.8,62.9,66.1,60.5,22.8,30.4,49.7,70.5,77.1,79.7,65.7
10-03,77.7,79.1,69.9,79.0,47.3,49.1,34.8,65.3,73.9,50.5,72.0,69.2,36.8,50.5,22.4,62.5,67.0,61.6,22.4,36.0,50.2,70.3,78.2,79.1,65.3
10-04,77.8,78.7,71.3,78.9,47.1,48.9,34.8,65.5,73.1,51.1,72.0,70.0,38.3,50.4,22.5,61.9,65.7,61.7,22.5,36.9,50.1,71.5,78.2,78.9,65.5
10-05,93.5,80.3,73.2,79.0,46.9,54.6,34.6,64.8,72.5,51.5,71.1,71.0,54.6,50.1,22.5,61.4,64.9,61.7,22.5,42.0,53.9,71.3,79.5,93.5,64.8
10-06,90.6,87.1,76.0,78.7,52.7,55.4,34.3,64.5,72.2,51.9,70.0,70.4,50.8,50.0,22.0,61.3,63.7,61.8,22.0,43.7,52.5,70.8,82.1,90.6,63.7
10-07,94.4,88.4,76.8,78.0,68.0,58.8,34.7,64.3,71.7,64.6,69.7,69.6,49.0,49.8,21.9,66.5,62.5,62.8,21.9,43.2,61.8,70.1,82.2,94.4,66.5
10-08,93.9,87.5,77.1,79.2,72.4,62.3,34.5,64.2,70.9,61.2,69.0,67.5,51.5,49.8,21.4,67.9,62.2,61.8,21.4,43.7,62.0,71.2,82.5,93.9,67.5
10-09,94.0,89.9,77.4,79.8,72.0,66.1,34.9,64.1,70.8,59.5,68.9,66.3,53.3,49.5,22.0,70.6,61.5,61.0,22.0,43.7,61.1,71.0,83.8,94.0,66.3
10-10,93.7,92.7,76.7,80.3,70.8,68.1,34.9,63.9,70.1,58.2,68.0,65.6,54.8,49.6,22.0,70.3,60.7,60.4,22.0,43.7,60.2,70.4,85.3,93.7,68.0
10-11,93.9,92.7,76.1,80.8,70.5,69.3,34.5,65.0,69.5,56.9,67.8,65.5,55.7,49.6,21.3,69.8,59.9,59.8,21.3,43.6,59.3,69.9,85.6,93.9,67.8
10-12,94.0,92.3,75.4,81.3,69.3,70.1,34.7,66.0,69.2,55.7,67.3,64.6,53.9,49.5,21.6,69.6,59.2,59.3,21.6,43.6,58.5,69.7,85.7,94.0,67.3
10-13,94.1,92.2,74.6,81.7,67.5,71.9,36.3,66.7,69.0,54.6,67.0,64.4,53.9,49.5,21.7,69.7,58.6,59.2,21.7,44.2,57.8,70.1,85.9,94.1,67.0
10-14,93.9,91.9,73.7,55.1,66.4,72.1,36.4,67.5,68.9,53.2,65.2,63.5,53.6,49.3,21.3,69.8,57.6,59.1,21.3,44.1,54.8,69.1,81.0,93.9,65.2
10-15,93.7,91.1,74.6,57.2,64.6,71.8,34.5,68.6,68.8,52.4,64.7,62.9,52.1,49.6,21.5,69.6,57.2,59.1,21.5,43.5,56.2,69.0,81.2,93.7,64.6
10-16,93.8,88.8,74.7,59.1,64.1,71.0,36.2,68.7,68.0,51.4,64.3,62.3,52.4,49.3,21.4,69.0,56.5,,21.4,44.0,55.7,68.8,80.4,93.8,64.1
10-17,93.9,88.8,77.9,58.7,63.0,71.2,36.7,69.0,67.3,51.5,64.4,62.0,52.2,49.3,21.0,69.6,56.4,,21.0,44.3,55.6,69.1,82.3,93.9,63.0
10-18,93.4,88.4,79.1,58.5,63.7,70.0,35.6,68.4,67.2,52.1,64.7,61.8,52.3,49.4,21.3,69.7,56.0,,21.3,43.9,55.3,68.6,82.8,93.4,63.7
10-19,93.4,87.4,78.9,58.1,63.7,70.7,20.6,68.7,66.8,52.3,64.6,61.8,53.8,49.2,21.4,69.4,56.0,,20.6,38.1,55.5,68.9,82.3,93.4,63.7
10-20,93.4,91.7,78.6,58.3,62.6,70.5,36.1,68.4,66.5,70.6,64.5,61.7,54.6,49.1,21.4,69.6,55.0,,21.4,43.9,57.7,69.8,83.9,93.4,64.5
10-21,92.9,90.6,79.5,57.1,61.9,70.9,36.5,68.2,66.4,71.1,64.1,61.1,55.8,49.3,20.9,70.3,55.0,,20.9,44.2,56.8,70.4,84.0,92.9,64.1
10-22,93.0,88.1,78.5,57.0,62.0,69.4,36.1,68.2,66.4,69.8,64.7,60.7,57.4,49.0,21.3,71.2,54.4,,21.3,43.9,57.4,69.5,82.4,93.0,64.7
10-23,92.8,87.3,77.9,56.6,61.4,70.1,38.3,69.0,66.1,69.0,64.6,60.7,60.8,49.1,21.2,71.5,54.5,,21.2,44.8,59.9,69.3,81.7,92.8,64.6
