date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,54.9,54.2,45.0,55.2,26.9,60.9,56.2,52.9,50.3,33.4,59.6,33.8,52.2,36.0,55.0,45.2,43.9,40.2,26.9,33.7,44.7,54.9,57.6,60.9,52.2
10-02,52.2,46.5,39.1,54.0,35.7,60.6,53.8,55.0,46.3,38.0,42.3,27.7,53.2,34.7,54.1,47.4,48.6,34.9,27.7,35.3,41.6,53.3,54.5,60.6,47.4
10-03,42.7,46.6,51.3,49.1,40.7,55.2,51.6,50.4,30.7,43.2,41.5,35.3,47.8,46.5,53.7,49.6,48.3,36.0,30.7,38.6,43.1,49.8,52.4,55.2,47.8
10-04,30.3,48.1,51.7,38.3,33.7,45.8,47.2,47.4,25.8,45.2,46.5,40.6,42.0,39.7,53.9,52.0,47.4,39.3,25.8,32.3,40.4,47.4,51.8,53.9,45.8
10-05,32.0,47.3,41.6,36.6,25.3,44.5,38.5,40.1,32.4,46.7,47.2,40.9,35.6,36.0,54.8,49.5,49.1,44.9,25.3,32.3,36.5,46.8,49.2,54.8,40.9
10-06,39.7,41.7,27.9,39.6,30.4,42.3,27.4,36.0,46.8,49.1,44.9,37.0,34.9,37.5,53.7,44.4,50.3,48.3,27.4,29.4,36.8,44.5,49.6,53.7,39.7
10-07,50.4,37.0,28.8,46.0,38.3,41.0,27.9,36.7,51.5,50.8,47.4,47.5,33.7,46.4,55.9,46.1,50.4,50.2,27.9,31.7,38.0,48.1,51.1,55.9,46.1
10-08,42.5,39.5,43.5,48.7,33.1,37.6,32.1,46.0,45.4,50.7,50.0,35.8,32.9,50.2,58.3,41.4,50.3,50.9,32.1,33.0,39.1,48.9,50.4,58.3,43.5
10-09,33.5,38.1,49.3,43.8,36.7,40.0,34.3,47.9,41.8,49.9,51.9,30.4,32.5,33.6,55.4,34.1,49.7,51.3,30.4,33.1,34.3,48.2,50.7,55.4,40.0
10-10,35.9,34.9,48.6,28.1,34.3,43.2,37.5,49.6,33.6,48.1,56.1,40.1,30.1,19.9,54.2,35.7,49.6,51.9,19.9,29.3,34.8,48.2,51.5,56.1,37.5
10-11,36.5,37.4,44.4,25.0,40.5,43.2,40.9,50.0,33.0,46.7,52.5,46.3,33.0,29.7,37.1,36.1,47.7,35.6,25.0,31.7,36.4,44.8,48.6,52.5,40.5
10-12,40.2,40.9,45.7,20.4,43.7,41.3,41.8,39.7,38.3,34.2,52.0,37.0,34.5,38.3,45.3,29.4,48.3,31.0,20.4,32.3,38.0,42.2,46.7,52.0,40.2
10-13,43.6,44.4,35.9,25.4,38.7,45.0,46.8,37.1,35.7,38.2,55.0,39.8,36.1,43.4,51.7,25.6,49.0,35.4,25.4,31.7,36.9,44.5,50.1,55.0,39.8
10-14,51.5,43.0,38.4,35.6,39.4,49.0,49.7,41.4,30.7,50.4,55.0,27.7,23.5,42.6,46.9,24.6,49.5,41.8,23.5,26.5,37.8,49.1,50.9,55.0,42.6
10-15,48.6,43.6,42.6,42.4,41.0,49.2,55.1,46.7,27.6,50.5,54.8,43.1,28.8,44.7,36.3,29.7,47.9,,27.6,29.3,42.2,48.1,52.2,55.1,43.6
10-16,43.4,34.2,39.6,45.0,43.6,50.2,48.7,44.8,30.4,44.5,54.4,47.7,38.3,51.4,41.5,44.2,46.3,,30.4,36.7,43.1,46.6,50.6,54.4,44.5
10-17,46.6,28.3,28.5,48.2,50.4,45.9,37.7,33.9,34.1,48.8,47.3,50.4,37.9,45.4,47.9,45.5,48.2,,28.3,31.7,37.9,48.0,49.5,50.4,45.9
10-18,44.9,27.2,29.6,50.0,54.3,43.3,41.2,39.5,33.3,48.2,46.0,48.7,36.3,30.7,48.2,36.4,50.3,,27.2,30.3,36.4,48.2,50.1,54.3,43.3
10-19,40.6,33.6,47.2,46.6,45.3,43.3,46.1,46.9,38.6,49.2,41.4,50.3,42.8,30.8,47.9,30.6,51.4,,30.6,32.5,41.2,47.0,49.6,51.4,45.3
10-20,42.2,34.4,31.7,46.6,34.9,47.5,43.5,51.4,39.4,50.1,39.9,37.9,46.3,24.9,47.9,36.7,49.6,,24.9,33.3,37.7,46.8,49.8,51.4,42.2
10-21,42.8,29.9,23.7,34.2,34.3,45.3,45.6,44.8,39.4,42.9,40.1,29.7,45.0,31.6,50.1,44.0,48.2,,23.7,29.8,34.3,44.8,46.6,50.1,42.8
10-22,45.4,34.2,31.0,31.1,36.2,41.1,43.5,42.7,44.2,40.5,40.0,42.1,42.7,37.9,34.8,46.4,35.2,,31.0,33.0,36.0,42.7,44.7,46.4,40.5
10-23,47.7,44.4,45.7,38.7,37.8,36.6,45.6,33.7,45.8,50.4,38.5,42.4,40.6,33.0,32.6,36.0,23.7,,23.7,32.8,36.5,44.7,46.5,50.4,38.7
10-24,50.1,45.6,52.7,41.1,35.8,38.5,48.7,24.9,45.9,52.7,43.0,45.0,41.9,30.6,43.9,39.3,24.6,,24.6,28.3,39.1,45.6,51.1,52.7,43.0
10-25,46.2,27.5,51.4,46.1,28.3,25.3,35.0,22.2,44.8,52.4,44.9,47.8,36.9,41.6,20.1,43.4,29.6,,20.1,24.1,29.3,45.1,49.2,52.4,41.6
10-26,42.8,26.6,47.9,47.9,36.1,23.2,25.4,24.9,43.6,38.9,43.8,41.1,40.6,40.3,15.9,28.2,27.0,,15.9,24.2,26.9,41.4,45.4,47.9,38.9
10-27,41.7,37.0,45.5,50.5,23.4,23.5,29.4,34.2,43.7,29.5,36.9,38.8,47.1,19.1,30.6,33.4,24.5,,19.1,23.5,29.5,39.3,46.1,50.5,34.2
10-28,34.2,43.8,47.6,51.4,20.4,38.6,34.0,40.7,35.5,36.0,37.8,41.3,50.8,16.4,39.5,38.4,34.9,,16.4,28.5,35.4,40.8,48.9,51.4,38.4
