date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,46.5,36.6,47.1,45.4,39.1,46.0,27.1,50.8,48.5,46.5,44.7,31.4,51.3,42.0,31.9,46.9,35.3,48.7,40.0,38.3,36.4,27.1,31.8,38.8,46.6,48.9,51.3,45.1
10-02,43.3,38.8,48.2,44.2,35.7,45.7,29.5,49.9,44.7,48.3,44.3,34.4,42.0,42.3,24.1,46.8,33.1,49.3,40.2,40.1,35.2,24.1,32.7,39.7,45.0,48.4,49.9,42.8
10-03,42.3,38.4,45.4,38.5,42.3,43.5,34.2,50.6,45.3,45.6,31.5,39.1,38.8,32.9,27.5,43.1,40.6,46.3,42.0,40.3,34.0,27.5,32.8,38.7,43.2,45.6,50.6,41.3
10-04,41.2,37.5,33.4,41.4,44.7,36.3,33.0,44.5,42.1,40.8,23.7,43.6,40.9,29.7,39.1,38.8,39.2,46.2,42.9,39.9,36.6,23.7,32.6,38.4,41.6,44.5,46.2,40.4
10-05,42.1,38.3,28.7,41.1,40.7,33.5,22.8,42.0,35.5,36.7,31.4,44.7,40.4,28.3,37.5,35.2,32.3,47.7,44.1,40.0,41.0,22.8,28.7,34.7,40.8,44.1,47.7,37.9
10-06,44.6,39.5,33.0,39.4,28.4,34.2,24.7,40.2,28.3,30.1,40.1,45.1,40.8,27.1,35.2,33.1,32.8,46.5,39.1,41.2,40.9,24.7,28.2,33.0,40.1,44.7,46.5,37.2
10-07,45.9,41.0,39.6,35.3,26.4,38.9,31.8,38.5,24.8,32.1,40.8,45.3,42.5,31.5,41.2,30.9,38.5,45.2,40.5,41.2,42.0,24.8,30.5,34.3,41.1,45.2,45.9,39.3
10-08,46.7,41.4,40.3,35.3,33.8,41.4,28.8,32.7,29.3,39.9,39.6,43.0,46.0,37.7,35.2,27.8,42.2,47.1,38.4,42.0,43.8,27.8,29.3,35.3,41.6,46.1,47.1,39.7
10-09,49.9,42.1,32.2,33.4,40.2,41.0,32.7,35.8,30.4,42.0,39.5,41.8,44.2,41.4,23.2,27.9,37.1,47.7,33.0,40.2,42.3,23.2,30.2,33.3,41.5,44.6,49.9,39.9
10-10,41.6,40.7,29.0,31.0,43.8,32.6,31.9,40.3,31.2,42.9,32.8,39.1,46.8,41.4,29.6,29.2,18.1,48.0,33.8,41.8,43.3,18.1,29.2,31.7,41.5,44.1,48.0,36.4
10-11,34.3,40.6,34.6,35.3,40.9,30.0,35.7,41.0,35.7,45.0,31.6,40.8,48.9,40.5,36.8,28.3,26.4,35.4,34.3,42.9,34.7,26.4,29.9,34.6,40.6,43.1,48.9,35.7
10-12,43.8,40.4,35.1,37.9,40.9,18.7,37.2,37.9,35.4,35.3,30.6,31.6,45.0,38.1,37.8,29.7,32.3,38.7,28.2,45.8,30.7,18.7,29.5,34.2,38.2,43.9,45.8,37.5
10-13,33.3,35.6,38.2,38.4,36.1,20.1,36.5,38.1,40.1,36.6,34.0,35.0,48.2,42.6,34.0,31.9,34.4,44.1,24.4,43.5,29.5,20.1,31.2,34.3,38.2,43.6,48.2,36.3
10-14,35.6,43.8,41.3,34.2,34.1,31.2,37.3,40.5,41.8,37.0,29.5,40.3,48.0,46.0,26.7,18.3,36.6,42.8,22.9,43.6,32.1,18.3,26.3,34.2,41.4,44.0,48.0,37.1
10-15,41.4,44.2,41.1,37.3,36.1,33.9,37.3,41.4,43.9,39.9,23.8,40.9,44.7,47.5,35.2,24.1,38.7,33.9,26.4,40.4,,23.8,26.2,35.9,41.2,44.2,47.5,39.3
10-16,42.8,43.4,39.7,33.6,36.4,38.2,36.8,40.5,44.6,39.7,28.2,40.3,42.7,44.4,39.2,31.3,41.5,40.6,35.2,38.2,,28.2,33.4,37.8,40.9,43.5,44.6,39.7
10-17,45.7,37.3,40.0,25.0,27.8,40.3,39.3,38.8,35.4,34.6,31.5,40.2,43.2,35.2,41.0,32.5,41.4,44.7,37.6,39.1,,25.0,31.1,35.3,40.3,43.4,45.7,39.0
10-18,46.5,32.0,38.7,23.4,29.0,40.6,43.3,36.1,34.9,38.0,29.8,40.5,42.0,30.0,40.8,33.6,30.2,43.9,34.7,40.9,,23.4,29.7,33.1,40.7,43.4,46.5,37.0
10-19,48.3,32.1,39.3,31.1,37.3,39.3,43.8,36.6,37.3,40.0,37.2,40.8,37.0,27.8,41.3,36.9,27.1,43.1,26.4,42.9,,26.4,27.7,36.8,40.3,43.2,48.3,37.3
10-20,46.4,34.2,38.3,31.0,30.9,35.4,34.7,38.3,38.7,43.8,35.8,41.0,36.0,31.9,37.3,37.3,21.9,43.2,28.6,41.8,,21.9,30.6,34.5,38.4,43.2,46.4,36.6
10-21,48.6,33.1,36.8,24.9,20.7,29.8,30.6,40.6,38.6,40.3,34.3,39.9,35.5,38.5,26.7,40.4,27.3,43.2,35.3,41.2,,20.7,26.5,32.4,40.0,41.4,48.6,36.2
10-22,48.5,26.7,39.3,27.9,31.3,27.4,33.0,36.9,39.0,37.3,37.6,34.6,35.9,41.2,38.7,39.7,35.0,34.8,35.7,35.4,,26.7,27.9,34.8,37.9,39.8,48.5,35.8
10-23,46.7,26.8,39.0,35.1,40.4,38.3,33.9,35.3,39.4,34.6,37.3,40.6,34.8,43.8,39.7,35.7,28.8,25.4,31.9,20.9,,20.9,26.7,34.4,39.1,40.9,46.7,35.5
10-24,39.7,30.2,40.3,36.4,41.1,38.9,34.7,33.4,39.4,24.3,36.7,43.9,35.4,41.7,39.9,34.6,24.9,37.5,33.0,22.9,,22.9,24.8,34.3,39.5,41.2,43.9,36.6
10-25,29.6,30.3,39.0,27.4,40.9,43.8,25.2,24.1,33.4,17.1,38.4,44.3,36.9,37.8,40.5,33.1,36.9,15.6,40.6,27.1,,15.6,23.4,28.9,38.6,41.2,44.3,35.2
10-26,37.8,31.0,37.2,27.4,39.6,38.3,29.8,20.5,20.5,17.5,36.9,39.3,36.4,37.7,36.6,37.1,35.9,10.8,27.3,22.9,,10.8,20.2,27.4,37.1,38.4,39.6,36.1
10-27,46.3,33.5,38.4,35.4,37.1,40.2,21.4,20.4,24.7,29.2,36.2,26.6,30.6,41.7,36.7,39.7,16.0,29.5,29.9,20.4,,16.0,20.4,28.4,36.8,40.4,46.3,32.1
10-28,43.7,27.2,33.9,38.2,38.2,40.4,14.8,31.9,27.3,34.8,34.6,30.1,32.4,42.7,35.7,39.8,12.6,37.7,33.7,25.9,,12.6,24.8,31.4,37.8,40.6,43.7,34.3
10-29,41.7,21.6,29.6,34.0,40.5,40.2,13.8,36.1,34.1,36.4,25.0,36.1,31.5,40.6,40.5,38.2,4.2,36.2,34.9,30.3,,4.2,20.8,31.1,36.9,40.5,41.7,35.5
10-30,26.9,23.5,26.3,32.4,35.1,40.3,30.3,34.8,34.5,37.1,21.3,37.8,31.5,42.0,31.5,26.7,9.0,33.9,35.7,32.3,,9.0,23.3,29.2,34.9,38.1,42.0,32.4
10-31,23.5,19.5,26.8,26.1,32.1,40.2,34.0,30.6,35.1,38.2,26.5,38.8,36.1,36.6,33.9,26.5,27.7,35.2,36.0,32.8,,19.5,25.9,27.5,35.4,38.2,40.2,33.3
11-01,25.7,13.1,32.5,22.5,31.1,41.7,34.9,32.4,25.7,38.4,29.8,37.8,37.6,33.4,38.0,32.8,23.8,36.6,34.5,33.8,,13.1,23.7,30.7,35.4,38.0,41.7,33.1
11-02,26.1,27.3,35.7,31.3,29.8,34.6,34.2,42.6,16.2,34.6,29.8,29.9,37.3,29.4,36.5,36.2,29.9,39.1,33.5,30.1,,16.2,27.2,29.9,34.9,37.5,42.6,32.4
11-03,24.4,29.2,35.1,33.9,33.0,29.8,36.4,38.8,23.0,32.6,22.5,22.8,34.3,32.4,36.0,28.5,35.4,40.8,31.9,19.2,,19.2,22.7,29.0,34.5,36.7,40.8,32.5
11-04,16.5,29.1,31.2,29.9,38.4,27.6,36.7,38.5,30.6,37.8,14.6,26.7,25.9,36.9,33.6,28.2,32.7,39.9,36.7,18.9,,14.6,18.6,28.0,36.7,38.4,39.9,30.9
11-05,13.8,33.7,24.4,30.3,38.3,15.3,38.4,40.0,19.3,40.5,14.4,33.5,20.2,37.8,30.7,26.7,31.8,39.6,35.7,27.4,,13.8,15.2,26.0,36.3,39.6,40.5,31.2
11-06,14.1,32.8,32.1,37.9,35.8,18.0,38.6,38.8,15.4,38.1,24.8,37.0,18.6,35.7,28.9,21.2,33.1,40.0,37.6,26.6,,14.1,17.7,26.1,37.2,38.6,40.0,33.0
11-07,20.1,35.4,34.5,41.1,36.3,32.7,36.2,34.5,16.6,37.3,28.6,38.2,22.8,36.1,20.7,19.0,32.0,33.7,39.2,33.2,,16.6,20.0,31.0,36.1,38.3,41.1,34.1
11-08,26.7,35.3,35.1,38.7,36.7,33.6,28.9,30.1,14.5,36.7,31.5,34.9,24.2,36.6,24.3,17.6,35.9,19.5,34.2,32.5,,14.5,19.3,28.3,35.1,36.7,38.7,33.0
11-09,28.9,32.3,38.1,29.9,36.8,29.1,29.7,20.1,18.9,30.9,32.2,39.7,28.5,38.7,31.4,22.5,37.9,16.3,32.2,21.8,,16.3,19.9,28.8,32.3,38.2,39.7,30.4
11-10,28.2,31.7,40.7,21.7,38.1,27.7,33.6,15.4,22.1,12.7,32.8,25.9,24.7,38.2,31.3,24.6,36.3,12.0,28.1,9.7,,9.7,12.6,23.9,32.0,38.1,40.7,27.9
