date,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,32.5,55.0,43.8,55.0,52.6,42.4,54.4,27.7,58.3,55.9,51.8,46.3,33.6,58.3,49.8,32.4,49.6,35.0,52.0,46.2,41.1,42.9,27.7,32.5,42.4,52.6,55.9,58.3,49.6
10-02,33.6,49.9,45.8,44.7,46.8,37.2,53.4,32.3,58.7,53.1,52.7,42.4,37.5,45.1,48.8,28.7,52.7,32.7,51.0,47.8,45.4,38.1,28.7,32.7,42.4,49.9,53.1,58.7,45.8
10-03,33.3,48.3,46.8,36.3,45.4,45.9,48.9,38.8,56.8,51.9,44.6,31.0,41.4,43.9,35.5,34.3,48.9,42.4,51.2,48.5,46.2,37.4,31.0,34.3,41.4,48.3,51.2,56.8,45.4
10-04,34.9,48.9,46.7,32.1,46.9,48.5,41.0,34.8,48.3,46.8,40.3,29.1,44.2,45.2,34.5,38.2,42.5,37.1,51.1,50.7,46.7,39.8,29.1,34.5,38.2,46.8,48.9,51.1,44.2
10-05,38.4,50.1,45.2,32.0,48.2,42.0,37.5,27.6,48.1,41.5,35.9,33.2,46.4,48.4,32.8,38.6,35.6,33.6,50.9,51.9,48.4,42.8,27.6,32.8,35.9,48.1,50.1,51.9,41.5
10-06,40.7,51.2,45.5,37.3,43.5,30.3,38.7,29.0,48.0,30.0,33.5,42.5,47.8,46.9,32.0,36.7,35.7,35.4,50.8,46.8,49.6,45.9,29.0,30.3,35.7,46.8,49.6,51.2,40.7
10-07,43.2,49.6,47.9,45.5,37.4,30.6,44.2,34.2,42.4,30.9,35.5,48.3,49.0,47.7,37.7,45.3,36.6,42.3,52.0,45.0,49.6,48.4,30.6,34.2,37.7,47.7,49.6,52.0,44.2
10-08,42.4,51.2,50.5,42.0,38.7,40.1,43.8,32.6,36.9,34.1,42.1,42.5,48.5,48.9,44.6,33.1,35.1,46.4,53.6,40.0,49.0,48.8,32.6,34.1,40.0,46.4,50.5,53.6,42.4
10-09,42.5,55.0,51.3,35.4,36.7,48.3,38.9,34.2,40.4,35.2,44.4,41.9,48.5,49.9,47.2,30.7,32.2,31.0,52.4,36.1,49.3,50.0,30.7,32.2,36.1,48.3,51.3,55.0,41.9
10-10,46.8,36.9,42.0,36.9,35.6,48.1,28.0,31.7,43.4,37.9,47.7,37.0,46.7,54.4,48.8,37.9,30.9,18.8,51.6,37.0,47.7,49.5,18.8,30.9,36.9,46.8,48.8,54.4,37.9
10-11,37.8,36.7,44.3,38.5,38.4,40.6,26.8,33.6,43.1,39.3,50.6,32.9,44.4,50.0,44.5,43.0,32.3,27.0,34.0,36.9,46.3,36.7,26.8,32.3,36.7,43.1,46.3,50.6,38.5
10-12,33.4,44.1,43.8,40.0,40.1,44.8,23.0,40.5,39.8,39.1,45.7,37.0,35.1,47.9,39.5,34.5,34.3,35.5,41.3,29.2,45.9,33.5,23.0,33.4,35.5,41.3,45.7,47.9,39.8
10-13,39.9,33.0,41.7,42.5,42.6,39.4,24.8,40.9,42.2,43.7,39.1,36.9,37.1,51.1,46.3,35.3,33.1,40.2,48.2,26.9,46.3,36.9,24.8,33.0,37.1,42.5,46.3,51.1,40.2
10-14,40.1,38.5,44.7,49.2,43.6,40.1,33.2,39.9,46.7,46.8,41.5,31.6,47.2,51.3,49.3,26.6,23.0,40.8,41.2,26.1,46.5,39.8,23.0,26.6,39.9,46.5,49.2,51.3,41.2
10-15,41.2,41.3,46.5,49.0,43.3,41.4,39.3,40.1,46.9,50.6,44.5,28.5,47.9,51.4,47.4,36.6,28.1,42.2,33.0,29.3,45.7,,28.1,29.3,40.1,46.5,49.0,51.4,42.2
10-16,41.3,45.1,48.7,44.5,34.5,40.4,41.1,41.1,47.2,46.1,41.3,30.6,40.3,50.9,39.3,42.8,36.5,47.5,39.6,39.1,43.3,,30.6,36.5,40.3,44.5,47.5,50.9,41.3
10-17,41.3,50.2,41.9,44.9,29.9,29.9,45.0,46.0,46.5,36.6,32.3,33.3,45.8,50.1,33.0,45.5,39.0,44.7,46.4,44.2,46.7,,29.9,32.3,39.0,45.8,46.7,50.2,44.7
10-18,40.6,52.8,31.2,47.1,28.6,29.5,46.7,50.6,43.9,37.7,37.0,32.6,47.0,48.2,31.6,44.6,38.9,30.8,46.1,40.1,49.2,,28.6,30.8,37.0,46.7,49.2,52.8,40.6
10-19,40.4,51.2,34.0,45.5,34.0,42.4,44.7,43.0,41.8,42.5,43.9,36.8,46.6,41.9,30.7,47.2,41.2,30.0,45.1,34.2,49.4,,30.0,34.0,40.4,44.7,47.2,51.2,42.4
10-20,40.4,51.9,35.3,41.8,32.9,31.1,45.1,35.5,44.8,40.7,48.1,38.5,49.0,39.3,33.8,36.9,44.5,25.8,45.0,36.3,47.3,,25.8,32.9,36.3,44.8,48.1,51.9,40.4
10-21,41.1,54.0,33.8,41.0,28.8,25.0,32.3,34.5,45.6,43.2,43.3,37.8,40.7,40.0,42.1,30.1,45.3,30.3,45.4,42.2,47.5,,25.0,30.1,34.5,43.2,45.6,54.0,41.0
10-22,35.8,54.6,30.9,44.2,31.5,30.8,29.0,36.7,41.8,41.2,40.2,41.7,36.6,40.0,45.3,41.3,44.9,36.1,29.6,44.2,36.5,,29.0,30.8,36.1,41.7,44.9,54.6,40.0
10-23,32.6,46.5,33.2,46.0,39.4,40.9,37.5,36.6,38.1,42.6,29.6,43.3,45.5,38.5,46.4,39.8,39.7,30.7,28.7,34.5,25.4,,25.4,29.6,34.5,40.9,46.0,46.5,38.5
10-24,30.7,35.4,27.8,48.2,42.1,47.9,38.4,35.6,38.0,45.1,25.5,44.1,49.1,41.5,43.8,40.4,40.3,27.1,36.5,37.5,26.2,,25.5,27.1,35.6,42.1,47.9,49.1,38.4
10-25,31.8,32.4,30.1,47.1,29.8,47.9,42.5,27.2,26.8,31.9,23.3,42.9,51.2,43.7,42.9,44.0,37.0,37.2,14.8,41.5,29.2,,14.8,26.8,30.1,42.9,47.1,51.2,37.0
10-26,34.3,38.5,35.0,43.7,27.3,43.5,41.9,34.0,24.6,25.4,23.8,41.6,36.8,41.6,45.2,39.5,40.0,34.8,15.3,30.0,25.1,,15.3,24.6,30.0,40.0,43.5,45.2,35.0
10-27,33.7,42.5,39.2,43.4,33.7,40.8,46.4,24.1,23.2,28.5,32.6,42.3,29.7,33.0,49.6,37.6,44.7,17.3,27.9,33.7,24.4,,17.3,24.1,29.7,40.8,44.7,49.6,33.7
10-28,28.3,44.5,31.2,36.9,39.7,44.1,47.9,21.9,31.9,31.7,38.8,37.1,32.6,35.7,47.0,40.3,47.2,13.9,35.5,38.1,30.0,,13.9,28.3,31.9,39.7,47.0,47.9,36.9
10-29,22.2,36.7,29.0,32.4,40.2,47.0,45.8,20.4,40.0,36.7,41.8,29.9,39.3,33.8,45.0,42.1,38.4,7.5,38.3,40.6,34.1,,7.5,22.2,33.8,40.2,45.0,47.0,38.3
10-30,18.4,20.0,30.3,29.8,29.8,39.5,46.1,29.6,38.3,37.5,42.2,28.1,44.6,32.7,48.0,32.2,28.0,7.8,40.9,42.7,33.6,,7.8,20.0,29.8,39.5,44.6,48.0,32.7
10-31,16.3,17.1,22.4,32.1,24.0,33.5,46.6,36.6,35.0,39.2,45.5,30.8,47.3,40.0,34.3,32.8,27.0,22.8,39.7,40.9,36.6,,16.3,22.4,30.8,39.2,45.5,47.3,34.3
11-01,11.9,22.3,17.6,41.8,25.7,33.7,46.3,38.8,34.4,26.3,42.5,33.2,42.0,42.9,33.0,41.2,34.5,24.5,41.6,38.4,41.4,,11.9,22.3,33.0,41.4,42.5,46.3,34.5
11-02,11.3,22.8,26.1,45.4,35.1,32.5,38.0,37.2,40.4,22.0,35.9,37.6,30.2,41.9,32.8,42.1,38.2,29.9,45.4,36.2,28.2,,11.3,22.8,30.2,38.0,42.1,45.4,35.9
11-03,17.3,23.3,33.6,31.6,36.0,35.3,34.8,39.7,41.5,31.1,36.7,24.2,26.4,35.5,38.5,38.0,31.6,34.6,46.6,36.0,20.5,,17.3,23.3,31.6,36.0,39.7,46.6,34.8
11-04,22.0,18.1,35.5,29.3,34.0,39.4,28.9,44.0,43.3,34.6,39.6,18.8,30.6,27.1,41.9,33.0,31.0,34.0,44.9,42.0,21.4,,18.1,21.4,29.3,39.4,43.3,44.9,34.0
