date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.9,52.0,50.2,56.2,48.3,40.9,38.3,52.5,54.2,45.8,43.2,51.4,55.3,33.6,56.1,44.5,55.4,52.6,42.6,54.4,28.7,57.5,55.8,51.6,44.9,33.7,57.4,49.5,32.6,48.5,34.5,51.5,45.6,39.8,43.9,28.7,34.0,43.1,52.5,56.0,57.5,49.0
10-02,40.3,42.5,50.9,57.0,48.6,41.9,37.3,50.2,46.4,42.1,40.7,46.3,53.1,35.0,51.4,45.4,43.6,48.7,37.8,53.5,31.4,57.5,53.0,52.7,41.1,37.6,45.9,48.2,29.8,52.7,32.0,51.1,47.2,44.3,38.9,29.8,35.7,41.8,50.3,53.1,57.5,46.1
10-03,38.1,36.3,43.7,41.8,50.4,31.4,38.8,51.6,40.8,34.2,39.6,41.9,50.7,35.2,49.3,46.5,36.2,46.8,45.8,49.6,38.0,57.8,50.9,43.6,31.2,40.7,44.8,35.9,34.0,49.0,39.3,50.9,47.4,45.2,38.4,31.2,34.5,38.7,46.9,50.8,57.8,42.7
10-04,34.8,49.4,33.9,36.3,51.8,36.9,29.1,50.3,47.4,30.0,45.3,39.9,46.6,36.5,49.6,47.3,33.8,47.6,47.9,42.1,35.1,48.4,46.7,37.8,29.8,44.0,44.9,35.3,36.9,42.9,35.9,50.6,49.1,46.0,40.3,29.1,33.9,36.5,47.4,49.5,51.8,43.4
10-05,35.6,51.2,38.8,40.2,54.9,37.0,29.8,51.1,41.7,30.8,49.6,35.4,37.8,40.5,50.6,45.3,33.8,49.7,42.7,38.9,29.1,48.0,42.5,35.0,33.3,46.8,48.5,33.7,37.9,35.4,33.0,50.5,51.9,47.5,42.1,29.1,33.1,35.6,47.5,51.0,54.9,40.3
10-06,37.7,32.6,45.8,33.1,48.6,35.6,35.2,51.4,47.3,37.6,45.8,37.6,47.3,41.4,51.8,45.4,37.1,45.5,32.2,39.3,29.3,48.9,30.8,32.7,40.9,48.1,46.7,32.8,37.2,36.1,34.4,50.2,48.2,48.8,44.7,29.3,32.6,36.1,46.8,48.9,51.8,40.1
10-07,37.9,26.4,49.1,30.4,38.9,35.8,34.5,49.9,37.2,43.3,39.2,37.6,50.3,43.8,50.4,47.9,44.1,39.8,32.6,43.9,32.9,42.6,32.2,34.8,46.4,48.2,47.6,36.9,45.2,36.9,40.1,50.8,45.5,48.4,47.2,26.4,32.7,37.2,45.6,49.7,50.8,41.3
10-08,39.6,25.4,46.8,37.8,34.5,38.6,33.6,51.7,29.9,43.2,43.4,39.2,44.8,43.1,51.2,49.7,42.1,40.1,39.7,42.7,33.1,37.2,34.8,41.7,41.0,47.6,48.5,43.0,33.7,35.7,45.3,52.3,39.4,47.6,47.8,25.4,33.6,38.5,43.6,49.3,52.3,41.4
10-09,41.3,32.4,47.3,40.3,28.7,41.6,40.3,53.2,38.0,41.3,47.9,45.5,32.2,42.5,55.1,51.7,36.7,38.1,48.1,37.6,34.1,41.1,35.7,43.4,41.7,47.6,49.1,45.8,30.6,32.4,29.7,51.1,36.9,48.2,49.1,28.7,32.2,37.5,46.0,50.5,55.1,41.3
10-10,43.8,39.7,51.2,41.3,34.5,45.0,44.4,54.9,47.8,36.3,50.7,39.4,31.4,47.4,37.7,43.5,37.2,36.2,48.4,27.7,31.8,43.4,38.0,46.6,38.0,46.2,53.2,48.1,36.4,30.9,18.6,50.9,37.6,47.2,48.4,18.6,31.5,37.5,46.6,50.8,54.9,42.3
