date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,55.0,44.0,54.0,25.9,59.4,56.1,51.4,49.8,32.0,59.1,51.4,32.2,51.4,35.5,54.0,45.2,43.8,40.5,25.9,32.1,43.9,54.0,57.3,59.4,51.4
10-02,46.3,38.9,53.0,33.9,59.7,53.9,53.2,45.5,37.0,42.1,49.6,26.9,52.8,35.6,52.5,46.9,48.3,34.7,26.9,34.9,41.4,52.6,53.5,59.7,46.9
10-03,46.2,51.0,48.8,40.2,55.6,51.4,48.6,29.4,42.2,41.1,32.5,35.0,46.6,47.7,52.8,49.3,47.7,35.1,29.4,34.0,42.0,48.9,52.0,55.6,47.7
10-04,48.0,51.6,38.5,33.3,46.4,47.7,46.7,25.2,44.3,46.1,32.2,39.7,42.0,38.8,52.7,52.2,46.5,38.3,25.2,32.8,39.5,46.9,51.9,52.7,46.1
10-05,46.9,41.2,35.2,24.8,44.9,38.6,37.9,31.1,46.0,47.4,30.4,40.6,35.4,34.7,52.9,49.3,49.4,43.7,24.8,30.8,35.4,46.2,49.3,52.9,40.6
10-06,42.0,27.7,38.7,29.6,42.8,26.8,35.1,44.8,47.9,44.9,30.6,35.7,35.0,37.0,52.3,44.9,49.6,46.8,26.8,28.8,35.0,44.8,48.6,52.3,38.7
10-07,36.4,28.2,45.3,36.9,41.2,27.6,36.0,51.2,49.6,46.2,39.1,47.0,32.4,46.5,55.3,46.2,49.9,50.3,27.6,30.7,36.8,46.6,50.4,55.3,45.3
10-08,38.9,42.7,48.0,31.6,35.7,31.7,44.2,44.8,49.6,48.4,47.2,33.1,31.7,50.3,57.3,40.2,50.1,50.2,31.6,31.7,38.3,48.1,50.2,57.3,44.2
10-09,37.3,49.3,42.9,35.8,38.6,34.0,46.8,41.5,48.4,50.4,49.5,30.1,32.3,32.1,54.8,33.4,49.3,50.4,30.1,32.2,35.4,48.6,49.9,54.8,41.5
10-10,34.8,48.7,27.2,33.1,41.9,36.7,49.7,33.8,47.1,55.7,50.4,41.8,29.5,19.7,53.3,35.2,48.8,51.0,19.7,28.6,34.6,48.8,51.5,55.7,41.8
10-11,36.5,44.5,25.2,38.9,41.7,39.7,49.7,32.3,45.3,52.0,46.6,47.2,31.2,30.1,34.8,36.0,46.6,34.5,25.2,30.8,35.7,45.6,48.2,52.0,39.7
10-12,39.6,46.3,20.5,43.3,40.5,40.8,40.7,38.6,33.3,50.4,43.1,36.8,33.2,38.1,44.4,28.0,46.9,30.5,20.5,31.1,37.8,43.1,46.6,50.4,40.5
10-13,43.0,35.4,24.6,38.5,44.1,45.8,36.5,35.5,37.5,53.2,49.3,39.7,34.6,43.3,50.2,24.6,48.1,35.3,24.6,30.6,36.3,44.4,49.6,53.2,39.7
10-14,43.0,38.4,35.0,39.4,48.3,48.3,40.2,29.8,51.2,53.3,50.6,27.2,23.3,42.7,43.9,23.1,48.1,41.2,23.1,25.6,37.7,48.1,50.8,53.3,42.7
10-15,42.9,42.3,41.6,39.7,47.8,53.8,45.7,27.4,50.1,53.1,51.4,41.8,26.8,43.8,35.1,29.1,47.4,,26.8,28.4,41.3,47.5,52.1,53.8,42.9
10-16,33.0,39.7,43.3,42.7,49.1,47.4,43.7,29.5,43.8,54.2,46.8,46.6,36.8,51.0,42.3,43.5,45.6,,29.5,35.3,42.6,46.6,49.9,54.2,43.7
10-17,27.7,27.5,47.2,50.2,45.9,36.6,32.6,33.0,47.2,47.7,33.4,48.6,37.8,44.2,47.1,46.0,47.8,,27.5,30.6,36.0,47.2,48.2,50.2,45.9
10-18,25.5,28.9,50.1,53.6,43.2,40.1,39.3,32.5,47.5,46.6,32.0,46.9,36.1,28.8,47.4,35.9,49.8,,25.5,28.9,35.2,47.0,49.9,53.6,40.1
