date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,44.2,58.6,56.8,46.6,56.3,29.8,59.9,59.0,54.1,50.5,37.0,63.1,55.6,37.2,55.6,36.3,54.1,46.9,45.1,46.4,29.8,36.9,45.7,56.0,59.2,63.1,54.1
10-02,48.4,51.3,51.1,39.0,57.0,36.0,60.1,57.0,56.3,47.3,40.5,47.7,57.9,32.9,57.0,36.7,55.4,48.6,48.4,39.7,32.9,36.5,47.4,55.9,57.2,60.1,48.6
10-03,48.2,39.4,48.9,55.2,53.6,44.4,59.7,56.8,50.5,35.4,45.3,46.6,39.0,38.3,50.0,47.5,53.8,50.4,48.9,41.0,35.4,38.9,45.8,50.5,55.5,59.7,48.9
10-04,49.6,33.1,52.9,55.9,44.6,39.9,52.9,51.4,45.7,29.5,47.1,49.5,37.4,44.4,47.8,43.9,54.3,54.5,48.6,43.9,29.5,36.5,44.5,50.7,54.4,55.9,47.8
10-05,47.3,32.5,54.3,46.4,41.5,31.3,51.6,43.7,41.5,34.0,49.1,52.3,35.6,39.6,38.5,36.7,54.1,54.0,50.0,44.4,31.3,33.7,38.9,49.6,54.0,54.3,43.7
10-06,47.5,38.1,46.4,31.8,42.1,31.3,49.5,31.1,37.6,41.9,51.6,49.1,35.6,39.7,40.3,36.7,53.8,49.3,51.1,47.5,31.1,31.7,37.8,48.5,51.2,53.8,41.9
10-07,50.4,46.9,41.7,33.4,46.6,36.7,45.5,32.4,38.1,50.0,53.2,48.9,41.4,49.6,40.3,42.8,55.8,50.0,50.9,49.3,32.4,36.0,41.5,49.9,51.4,55.8,46.6
10-08,54.3,45.0,39.7,42.3,46.6,36.9,43.2,36.3,45.1,44.8,52.7,51.8,46.8,37.4,38.1,51.1,57.4,45.7,51.3,50.7,36.3,37.3,42.6,49.4,53.0,57.4,45.1
10-09,57.9,36.9,39.7,50.5,43.5,41.0,43.3,36.7,48.6,42.8,50.7,52.7,50.4,32.2,37.8,36.7,55.2,37.6,51.6,51.3,32.2,36.7,38.6,50.5,53.2,57.9,43.3
10-10,44.4,37.4,37.4,51.4,30.4,36.5,45.3,41.7,52.3,37.0,50.0,57.0,54.0,39.9,34.7,23.7,56.1,39.9,50.7,52.9,23.7,33.8,37.4,50.4,54.4,57.0,41.7
10-11,45.1,39.6,38.7,41.7,28.8,44.1,45.7,44.6,53.6,37.0,48.6,53.8,50.4,48.9,36.0,27.9,38.3,37.8,49.8,40.1,27.9,34.5,38.4,47.4,51.0,53.8,44.1
10-12,46.8,41.7,41.7,47.1,25.9,49.6,40.8,42.3,44.4,43.2,38.7,51.3,44.6,36.3,36.5,36.3,45.3,31.5,47.5,34.7,25.9,35.3,39.5,45.0,47.9,51.3,42.3
10-13,43.5,43.7,43.7,40.8,27.5,46.6,42.6,46.8,42.8,39.6,40.5,55.0,51.6,38.8,39.6,41.9,53.6,29.7,48.0,37.9,27.5,37.0,40.6,45.4,52.0,55.0,42.8
10-14,46.4,50.0,45.1,41.4,35.1,45.0,46.9,49.6,43.7,35.8,49.1,54.9,54.5,29.1,26.8,42.6,46.9,28.6,47.8,42.1,26.8,29.0,41.9,47.5,50.9,54.9,45.1
10-15,51.4,52.5,45.9,43.0,42.3,43.2,49.3,54.9,48.4,32.7,53.2,54.7,55.0,36.7,29.3,44.6,37.9,31.1,47.7,,29.3,32.4,42.5,50.6,54.7,55.0,45.9
10-16,52.5,44.8,37.6,44.6,44.8,43.5,52.2,51.4,49.5,34.2,45.3,55.8,50.4,43.9,37.4,50.4,44.8,41.5,46.2,,34.2,37.5,44.2,50.0,52.2,55.8,44.8
10-17,48.6,46.9,33.6,33.6,47.1,47.8,51.1,39.7,37.8,37.0,49.3,52.7,38.1,48.2,41.5,49.5,53.1,49.1,47.5,,33.6,36.4,40.5,48.9,51.4,53.1,47.5
10-18,38.3,48.6,33.3,34.7,49.8,55.9,46.4,39.4,40.6,35.4,49.3,49.6,38.7,46.8,39.4,33.8,51.6,42.3,48.9,,33.3,34.5,38.9,48.8,50.2,55.9,42.3
