date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,,48.9,43.7,44.0,31.6,54.1,44.7,29.3,45.0,32.6,43.7,40.3,38.8,39.7,29.3,31.7,39.2,44.5,48.5,54.1,43.7
10-02,,45.8,45.1,43.2,34.1,41.6,45.6,24.1,49.7,31.3,43.2,40.8,42.9,36.8,24.1,31.6,41.0,44.5,45.8,49.7,43.0
10-03,,45.9,44.6,29.2,37.9,39.1,33.1,30.6,47.5,42.6,43.2,42.0,40.6,35.3,29.2,30.9,38.2,43.0,45.7,47.5,41.3
10-04,,45.2,42.7,25.5,39.1,41.3,31.2,40.2,41.7,38.1,44.1,43.3,39.6,37.3,25.5,31.8,39.3,42.4,44.0,45.2,40.8
10-05,,40.9,33.9,30.4,40.3,42.6,27.6,35.7,33.1,33.6,43.3,45.9,40.6,39.1,27.6,30.7,33.7,40.8,43.2,45.9,38.0
10-06,,28.9,28.2,39.0,41.1,42.3,26.0,32.4,32.2,32.0,44.1,40.2,41.2,39.9,26.0,28.3,32.1,40.8,42.2,44.1,35.7
10-07,,28.8,30.3,45.0,43.0,41.7,33.3,44.7,32.1,39.4,42.6,41.8,41.6,43.0,28.8,30.5,35.1,42.4,44.5,45.0,41.7
10-08,,31.0,37.5,42.6,41.5,42.8,39.0,33.3,28.8,43.8,45.4,39.1,41.4,42.3,28.8,31.2,38.0,42.2,43.7,45.4,40.2
10-09,,31.0,39.1,39.5,40.7,43.6,41.6,25.9,28.5,34.7,46.3,34.3,41.0,42.2,25.9,28.7,34.4,40.9,43.4,46.3,39.3
10-10,,35.4,42.4,34.6,40.1,48.8,43.6,35.3,28.5,16.6,47.5,35.4,40.1,45.4,16.6,29.1,35.3,41.7,47.1,48.8,37.8
10-11,,39.4,46.5,29.2,41.2,48.4,41.2,42.4,28.6,24.1,31.0,37.2,40.4,34.2,24.1,28.7,32.9,41.2,46.1,48.4,39.9
10-12,,38.7,39.4,32.3,31.2,42.1,36.9,35.7,29.7,30.9,38.7,28.6,39.7,30.0,28.6,29.8,31.5,38.7,39.6,42.1,36.3
10-13,,40.1,36.6,36.5,32.5,43.8,43.6,36.7,32.5,36.0,46.5,26.8,38.5,31.0,26.8,32.5,36.1,39.6,43.7,46.5,36.6
