date,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,32.6,56.8,43.3,56.7,53.7,42.7,56.4,27.2,60.6,57.3,53.4,47.4,33.2,58.9,49.9,32.4,51.4,35.0,54.6,47.2,42.0,43.2,27.2,32.6,42.7,54.6,57.3,60.6,49.9
10-02,32.4,50.8,46.1,45.1,47.2,36.4,55.3,33.0,60.9,54.3,53.9,42.6,38.1,45.2,49.6,29.0,52.3,32.7,53.0,49.3,45.7,37.5,29.0,32.7,42.6,50.8,54.3,60.9,46.1
10-03,34.8,47.8,47.8,34.2,45.6,46.9,49.8,39.4,57.4,52.9,45.0,30.5,42.3,43.9,35.1,33.6,48.6,43.8,53.1,50.1,47.4,36.9,30.5,34.2,42.3,47.8,52.9,57.4,45.6
10-04,35.5,49.8,47.1,31.5,46.0,50.4,41.2,33.0,48.3,46.9,40.3,28.3,45.0,44.6,34.5,36.5,41.9,37.0,53.5,52.3,47.7,40.0,28.3,33.0,37.0,47.1,50.4,53.5,44.6
10-05,39.9,50.7,45.0,31.6,47.7,44.3,36.7,27.3,47.5,41.0,36.4,32.5,47.8,48.1,33.4,38.4,35.4,32.9,53.3,52.2,49.4,43.5,27.3,32.5,36.4,47.7,50.7,53.3,41.0
10-06,42.4,52.2,45.2,37.0,42.9,29.6,38.8,29.1,46.8,29.3,34.5,43.8,49.4,47.1,33.0,36.9,36.1,36.1,52.6,47.5,51.0,47.0,29.1,29.6,36.1,46.8,51.0,52.6,42.4
10-07,44.3,52.3,48.5,45.5,36.4,30.3,45.4,34.5,42.3,30.4,36.3,49.8,50.3,48.1,39.1,46.3,35.5,43.5,55.0,45.0,51.3,50.4,30.3,34.5,39.1,48.1,51.3,55.0,45.0
10-08,44.8,53.1,51.7,42.4,38.7,40.8,44.4,32.5,36.9,33.4,43.5,43.0,50.1,49.6,46.5,32.7,33.5,47.7,56.2,40.9,50.5,50.9,32.5,33.4,40.8,47.7,51.7,56.2,43.5
10-09,44.3,57.7,53.0,34.8,36.4,49.5,39.6,34.3,40.5,35.4,46.3,41.8,49.8,51.3,48.7,31.3,31.8,30.6,54.9,35.7,50.7,52.8,30.6,31.8,35.7,49.5,53.0,57.7,41.8
10-10,49.2,37.9,42.7,36.3,34.3,48.7,27.4,31.0,43.6,38.2,49.5,36.4,48.2,55.9,49.9,39.2,29.8,18.8,52.9,36.2,49.3,50.2,18.8,29.8,36.3,48.7,49.9,55.9,39.2
10-11,39.8,37.2,43.9,37.8,37.6,41.1,25.1,33.4,43.3,39.1,51.8,33.1,45.0,50.7,45.8,44.2,32.5,27.9,33.4,37.2,47.6,36.0,25.1,32.5,37.2,43.9,47.6,51.8,39.1
10-12,34.2,46.0,43.7,39.7,40.1,45.0,23.4,41.6,40.0,39.9,46.0,38.3,35.7,49.9,40.7,33.6,34.2,37.2,42.6,28.8,47.2,33.1,23.4,33.6,37.2,42.6,46.0,49.9,40.0
10-13,41.2,33.2,42.2,42.0,43.1,39.2,26.0,40.4,43.2,45.5,38.6,36.4,38.0,53.7,47.5,35.7,33.7,41.5,49.3,25.8,48.0,37.0,25.8,33.2,38.0,43.1,48.0,53.7,41.2
10-14,41.6,38.9,44.2,49.6,44.6,40.3,33.8,40.4,48.3,49.0,41.7,31.4,48.6,53.8,49.9,26.0,22.9,41.8,40.5,25.2,48.1,41.2,22.9,26.0,40.3,48.1,49.6,53.8,41.7
10-15,41.7,43.0,46.8,49.4,43.5,41.6,40.9,41.0,48.3,52.7,45.9,28.1,48.6,53.7,47.8,38.5,28.6,44.0,33.0,29.5,47.1,,28.1,29.5,41.0,47.1,49.4,53.7,43.5
10-16,42.6,46.2,49.5,45.0,34.5,40.9,42.3,42.3,48.9,46.8,41.6,31.2,41.2,52.6,36.8,44.8,37.2,49.4,39.6,40.1,43.2,,31.2,36.8,40.9,45.0,49.4,52.6,42.3
10-17,42.4,51.4,41.6,45.2,30.0,29.4,46.5,47.4,47.4,36.6,32.0,34.2,47.5,50.1,32.2,48.0,39.1,45.4,46.9,45.4,48.1,,29.4,32.0,39.1,47.4,48.1,51.4,45.4
10-18,41.3,54.7,30.8,48.2,28.1,28.8,48.1,51.9,44.7,38.8,38.1,33.3,48.3,48.6,31.4,46.2,39.3,30.6,46.3,40.0,50.8,,28.1,30.6,38.1,48.1,50.8,54.7,41.3
10-19,41.4,52.7,33.8,45.9,33.7,45.1,45.9,42.6,42.5,43.5,44.6,37.8,48.3,41.4,30.1,48.9,42.0,30.0,45.4,33.1,51.0,,30.0,33.1,41.4,45.4,48.9,52.7,42.6
10-20,41.8,53.5,34.1,42.5,32.3,31.2,46.2,34.8,46.5,41.8,48.8,39.1,50.8,39.6,35.1,36.9,45.8,25.3,45.2,36.4,49.0,,25.3,32.3,36.4,45.8,49.0,53.5,41.8
