date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.1,52.1,25.1,56.2,54.0,49.7,48.0,32.5,59.0,50.6,31.9,50.3,35.2,50.6,44.5,42.5,40.6,25.1,32.2,42.8,50.6,55.1,59.0,48.9
10-02,38.6,51.9,31.6,57.3,51.4,52.5,45.7,36.3,43.2,49.4,27.0,52.7,33.7,50.4,46.9,47.4,35.7,27.0,32.6,40.9,50.9,52.6,57.3,47.2
10-03,50.0,48.5,39.0,54.7,50.5,48.2,30.2,40.5,41.4,33.4,34.2,47.9,46.0,50.1,47.8,45.9,35.9,30.2,33.8,40.9,48.3,50.3,54.7,46.9
10-04,52.0,40.6,35.5,47.6,47.1,44.7,27.0,42.4,42.8,32.3,39.9,42.2,39.4,50.9,50.7,44.8,38.8,27.0,33.9,40.2,46.0,50.8,52.0,42.6
10-05,43.2,35.8,25.0,46.6,41.2,37.0,30.4,44.0,46.8,30.5,39.1,34.6,34.8,51.6,51.2,46.5,42.0,25.0,30.4,35.3,45.2,49.0,51.6,40.1
10-06,28.5,37.5,27.9,44.6,28.3,33.1,41.1,46.0,45.0,29.9,35.4,34.5,35.3,50.2,45.0,46.9,44.8,27.9,28.4,33.8,44.8,46.4,50.2,36.5
10-07,28.8,44.5,35.6,40.2,28.6,34.2,49.8,47.9,45.3,37.7,46.8,34.2,45.5,51.6,45.8,48.2,47.4,28.6,31.6,36.6,46.3,49.0,51.6,44.9
10-08,40.5,46.8,31.9,35.8,32.0,43.7,44.8,46.7,47.1,44.5,34.2,32.9,48.4,54.9,41.0,47.8,47.9,31.9,32.4,38.1,46.8,48.1,54.9,44.1
10-09,48.6,42.7,35.4,38.6,33.0,46.0,41.2,46.3,48.6,48.6,28.6,31.8,33.4,53.7,34.4,47.7,48.5,28.6,32.4,34.9,47.0,48.6,53.7,41.9
10-10,49.6,29.2,33.8,41.4,37.0,48.5,35.1,45.3,54.9,49.5,40.1,30.9,18.4,52.8,35.7,46.9,50.6,18.4,30.1,35.4,47.7,51.2,54.9,40.8
