date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.4,59.2,56.6,46.7,57.7,29.9,61.8,59.8,54.7,50.7,36.0,61.3,55.4,35.5,53.7,36.6,55.9,47.5,45.2,44.1,29.9,35.9,45.9,56.3,60.1,61.8,53.7
10-02,50.1,51.6,48.7,40.5,57.1,36.0,62.0,57.3,56.2,47.2,39.4,46.1,53.8,30.7,55.3,35.9,55.0,49.6,48.4,38.3,30.7,35.9,46.6,54.6,57.2,62.0,49.6
10-03,49.3,39.6,49.0,55.5,53.2,42.9,59.6,56.5,49.0,35.1,44.5,45.7,36.7,37.5,50.2,45.4,54.9,51.0,48.8,39.0,35.1,37.3,44.9,50.7,55.7,59.6,49.0
10-04,49.8,34.2,51.6,56.2,43.6,37.3,50.4,51.3,45.4,29.5,46.8,47.8,35.1,40.8,45.3,41.7,55.1,54.5,48.7,41.8,29.5,34.9,42.5,50.2,54.6,56.2,46.8
10-05,46.8,34.7,50.4,46.0,39.3,29.8,50.4,42.4,39.4,33.1,48.9,49.7,34.1,40.1,38.3,36.0,55.3,52.6,50.2,45.0,29.8,33.9,38.7,49.4,50.9,55.3,42.4
10-06,48.3,40.7,45.8,31.8,42.4,31.8,47.8,31.8,37.3,43.7,50.5,48.1,34.8,38.4,39.4,37.6,54.5,49.5,50.6,48.1,31.8,31.8,38.0,48.0,50.6,54.5,42.4
10-07,52.1,53.0,39.2,32.5,48.2,38.0,45.6,32.4,38.5,52.3,51.9,49.1,41.6,48.8,37.6,45.6,56.7,49.0,51.6,50.1,32.4,36.6,40.2,50.6,52.4,56.7,48.2
10-08,55.1,44.5,40.9,42.5,48.7,34.8,40.1,35.2,46.3,45.9,52.2,52.1,47.1,36.3,36.8,50.8,58.7,44.2,51.7,51.9,34.8,36.0,41.6,50.0,52.8,58.7,45.9
10-09,55.8,36.3,40.1,50.4,44.5,39.3,42.9,37.7,49.2,43.2,51.5,52.6,51.6,33.3,36.0,35.3,56.9,36.9,51.3,52.7,33.3,35.8,38.3,50.9,53.2,56.9,43.2
10-10,44.4,38.1,38.2,51.2,31.7,36.2,45.1,41.7,52.6,37.1,50.0,58.2,53.1,40.5,32.7,22.5,57.0,39.0,50.6,53.0,22.5,32.5,38.2,50.4,53.9,58.2,41.7
10-11,45.0,40.1,40.4,43.8,28.4,42.6,45.9,43.0,53.5,36.3,48.0,54.4,48.6,48.9,34.3,29.7,37.8,39.1,48.7,38.1,28.4,33.4,39.5,47.1,49.8,54.4,43.0
10-12,47.1,43.1,42.8,47.3,24.6,47.5,42.1,42.6,44.3,42.0,38.8,52.1,44.9,38.8,36.5,38.5,45.6,30.7,48.6,34.4,24.6,35.3,40.1,45.3,47.8,52.1,42.8
10-13,44.1,47.3,45.6,40.3,28.1,44.9,44.7,48.2,40.3,39.4,40.6,55.6,51.8,40.3,37.5,44.0,52.1,29.2,49.3,37.6,28.1,35.9,40.3,46.6,51.9,55.6,44.1
