date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,48.7,51.9,47.2,37.2,55.2,47.7,44.5,51.7,38.0,53.1,42.5,50.0,37.7,37.2,38.5,45.3,51.2,53.0,55.2,48.2
10-02,46.7,53.1,46.9,41.2,46.5,47.8,34.0,49.8,40.5,53.5,45.9,47.8,34.9,34.0,40.6,46.1,47.8,52.8,53.5,46.8
10-03,45.9,54.2,36.9,45.4,42.3,35.0,41.4,48.3,48.2,52.8,45.6,46.0,38.0,35.0,37.3,43.2,47.5,52.4,54.2,45.7
10-04,42.0,51.7,26.5,46.1,45.1,37.3,45.6,41.5,45.5,53.0,49.6,45.4,41.2,26.5,37.7,42.9,46.0,51.5,53.0,45.4
10-05,32.7,48.1,33.8,46.2,41.7,38.4,44.7,38.7,44.9,53.0,44.1,45.8,46.1,32.7,34.3,39.6,45.5,47.9,53.0,44.4
10-06,24.4,43.6,45.4,47.6,39.1,35.1,38.7,34.9,41.3,53.1,43.6,46.9,47.4,24.4,34.9,38.8,44.9,47.5,53.1,42.4
10-07,25.5,41.8,46.7,48.8,43.9,40.9,47.8,32.0,46.5,53.0,45.2,46.7,49.1,25.5,32.9,42.4,46.7,48.7,53.0,45.9
10-08,29.5,45.7,43.3,48.2,47.7,45.5,42.7,31.1,48.6,52.7,39.6,46.3,49.0,29.5,31.9,42.9,47.3,48.6,52.7,45.6
10-09,32.3,45.6,37.0,46.0,49.8,46.6,30.6,34.6,43.0,50.4,36.1,45.9,48.6,30.6,32.5,36.4,46.0,49.5,50.4,44.3
10-10,37.3,46.0,31.8,47.1,50.3,48.7,40.6,37.0,24.3,49.7,37.1,45.6,49.2,24.3,32.3,37.2,46.8,49.6,50.3,43.1
10-11,42.8,42.0,34.4,47.2,50.1,46.7,46.4,35.7,35.0,44.7,35.6,46.6,40.7,34.4,35.1,37.6,46.5,47.1,50.1,43.8
10-12,44.5,33.5,37.1,39.6,50.6,45.1,42.3,37.7,37.5,47.7,24.8,47.8,32.3,24.8,33.9,37.6,44.9,47.8,50.6,40.9
10-13,48.9,39.1,34.4,41.2,51.9,45.9,41.3,39.9,41.7,50.9,27.1,47.3,37.4,27.1,34.9,40.3,46.9,50.7,51.9,41.5
10-14,51.2,42.4,31.2,48.3,52.1,50.1,37.0,25.6,41.1,53.0,28.7,46.8,42.8,25.6,28.9,38.2,49.6,52.0,53.0,44.6
10-15,51.1,45.4,28.7,48.6,52.0,50.5,44.9,25.8,43.6,45.5,35.5,47.5,,25.8,29.3,44.0,48.3,51.0,52.0,45.4
10-16,49.0,47.7,31.6,44.6,48.8,48.5,46.4,32.5,49.2,47.3,43.1,45.1,,31.6,33.6,44.7,48.2,49.0,49.2,46.8
10-17,42.4,40.8,36.8,44.8,45.1,43.7,47.8,32.5,47.3,50.1,43.7,43.5,,32.5,37.2,42.8,45.0,47.8,50.1,43.7
10-18,46.8,43.7,36.0,43.4,42.7,40.8,47.8,33.3,34.6,51.2,31.9,45.4,,31.9,33.4,37.4,44.9,47.7,51.2,43.1
10-19,44.8,47.0,37.7,45.7,39.4,35.9,47.5,39.8,39.3,50.0,33.2,44.7,,33.2,36.1,39.4,45.5,47.5,50.0,42.3
10-20,43.7,46.4,39.7,46.5,37.7,42.7,40.7,42.5,30.7,49.1,38.7,43.5,,30.7,37.8,40.0,43.6,46.5,49.1,42.6
10-21,43.5,42.8,38.2,45.0,38.2,48.1,32.6,40.7,36.8,49.0,43.0,44.1,,32.6,36.9,38.9,43.9,47.7,49.0,42.9
10-22,44.4,40.0,39.7,42.7,37.9,50.0,44.7,38.2,41.3,46.7,44.5,39.6,,37.9,38.3,39.8,44.4,46.5,50.0,42.0
10-23,45.8,38.6,40.9,46.8,37.2,48.1,45.2,38.8,38.3,43.8,40.2,22.6,,22.6,37.3,38.6,44.8,46.7,48.1,40.5
10-24,44.8,30.0,42.3,50.6,40.1,43.2,44.1,39.0,33.9,44.8,41.1,25.0,,25.0,30.4,39.3,43.8,44.8,50.6,41.7
10-25,40.6,26.3,39.8,48.5,41.4,41.3,46.1,40.8,42.5,29.9,41.1,35.6,,26.3,30.5,40.1,41.4,45.7,48.5,41.0
10-26,23.3,30.4,40.3,43.1,41.7,45.8,43.4,43.3,46.1,12.8,27.0,33.7,,12.8,23.7,31.4,43.3,45.6,46.1,41.0
10-27,31.3,38.0,40.4,35.6,40.5,50.5,42.6,45.5,24.8,27.2,33.1,25.6,,24.8,25.8,31.8,40.5,45.2,50.5,36.8
10-28,36.7,41.7,32.7,40.2,41.4,48.2,42.9,48.1,23.5,37.4,41.3,34.1,,23.5,32.8,36.9,41.6,47.6,48.2,40.7
10-29,40.8,43.0,26.4,42.6,32.8,46.1,45.2,45.5,20.1,40.1,43.4,36.2,,20.1,27.1,37.3,43.3,45.4,46.1,41.7
10-30,40.8,42.7,26.3,46.0,32.2,46.6,45.2,31.6,17.2,40.2,43.8,34.4,,17.2,26.8,32.8,43.5,45.9,46.6,40.5
