date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.2,47.1,32.0,54.1,45.5,34.3,50.9,36.2,49.4,42.4,44.6,39.2,32.0,34.3,42.4,49.4,50.9,54.1,45.5
10-02,50.5,47.8,37.2,43.3,45.2,25.7,48.7,35.5,50.1,42.7,44.5,35.0,25.7,35.5,42.7,47.8,50.1,50.5,44.5
10-03,51.8,32.6,42.1,40.8,31.9,30.4,47.9,41.6,49.3,44.1,44.6,36.0,30.4,31.9,40.8,44.6,49.3,51.8,42.1
10-04,48.7,24.7,44.1,44.7,32.3,39.8,40.2,40.1,49.7,46.5,43.4,38.8,24.7,32.3,40.1,44.7,48.7,49.7,43.4
10-05,42.8,32.0,45.2,41.5,33.1,40.4,34.2,38.2,49.9,43.1,43.5,43.6,32.0,33.1,38.2,43.1,45.2,49.9,41.5
10-06,38.7,43.5,46.7,40.3,30.5,35.6,33.6,37.0,48.5,41.9,43.7,44.9,30.5,33.6,37.0,43.5,46.7,48.5,40.3
10-07,36.1,43.3,45.9,43.7,35.4,44.9,33.4,42.3,49.6,42.0,45.0,45.8,33.4,35.4,42.0,44.9,45.9,49.6,43.3
10-08,42.8,41.2,46.5,47.5,40.9,37.1,32.4,46.3,50.2,37.9,45.1,46.2,32.4,37.1,40.9,46.3,47.5,50.2,42.8
10-09,43.3,40.1,44.8,47.4,43.7,27.5,31.6,37.9,50.0,32.9,44.4,45.8,27.5,31.6,37.9,44.4,47.4,50.0,43.3
10-10,45.0,32.4,43.3,49.5,45.4,31.3,29.2,18.8,49.5,33.4,44.3,48.8,18.8,29.2,32.4,45.0,49.5,49.5,43.3
10-11,43.0,31.5,43.9,49.8,45.5,38.0,32.6,28.4,38.6,33.1,46.0,34.5,28.4,31.5,33.1,43.9,46.0,49.8,38.6
10-12,35.8,34.5,33.6,49.6,42.1,39.7,33.2,33.5,44.1,28.0,46.1,29.1,28.0,33.2,33.6,42.1,46.1,49.6,35.8
10-13,36.4,33.8,36.2,50.3,44.4,39.1,35.0,36.2,49.1,25.3,44.9,31.6,25.3,33.8,36.2,44.4,49.1,50.3,36.4
10-14,40.1,29.3,42.0,50.0,49.7,28.5,22.1,38.0,49.2,23.1,44.1,36.2,22.1,23.1,29.3,44.1,49.7,50.0,40.1
10-15,42.8,25.8,44.6,48.2,50.9,39.2,24.6,40.1,38.4,27.5,43.9,,24.6,25.8,38.4,43.9,48.2,50.9,40.1
10-16,44.4,28.3,43.8,46.6,49.2,42.3,32.2,43.8,41.9,36.9,42.1,,28.3,32.2,41.9,43.8,46.6,49.2,42.3
10-17,34.4,32.5,43.7,42.8,35.8,44.2,30.3,43.0,46.1,37.0,40.7,,30.3,32.5,35.8,43.0,44.2,46.1,40.7
10-18,39.3,31.5,43.5,42.1,35.7,44.9,30.6,29.8,46.2,32.0,43.1,,29.8,30.6,32.0,43.1,44.9,46.2,39.3
