date,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,32.0,36.1,50.4,48.0,48.2,39.9,36.0,52.3,53.1,42.1,42.8,48.4,54.7,30.2,54.5,43.2,56.3,52.0,41.7,54.3,27.5,57.9,56.1,52.0,44.8,32.9,57.0,49.1,32.0,48.9,31.6,52.2,44.8,38.8,42.1,27.5,32.0,41.5,52.0,55.7,57.9,48.1
10-02,32.0,39.9,39.2,48.4,48.7,39.0,34.9,50.9,43.7,39.2,39.9,44.2,52.3,29.3,48.9,45.3,43.2,46.9,35.1,53.8,30.4,59.2,53.4,53.4,40.5,36.0,43.9,47.8,28.2,52.9,30.9,50.9,46.6,43.3,37.6,28.2,31.2,39.2,48.4,53.3,59.2,43.8
10-03,32.0,35.1,32.2,41.4,50.0,30.0,36.7,50.0,40.3,31.6,38.3,41.2,50.2,30.0,47.3,45.5,34.9,44.8,45.0,49.5,37.0,56.5,50.7,41.5,29.5,39.9,44.1,34.3,32.2,48.4,40.8,50.7,46.9,44.6,36.3,29.5,31.7,36.5,45.6,50.1,56.5,41.3
10-04,32.0,31.8,48.2,31.6,52.5,34.9,24.3,48.7,48.4,25.9,45.3,40.1,45.5,32.2,48.2,45.7,31.3,45.1,48.7,40.5,33.4,47.7,45.9,38.8,28.2,42.8,44.2,34.2,34.7,41.7,36.0,51.6,50.2,45.5,38.7,24.3,31.4,34.6,45.7,48.7,52.5,42.3
10-05,32.0,34.5,50.7,37.2,55.2,34.7,28.9,51.4,42.4,27.3,49.5,33.8,37.8,36.3,49.3,43.0,30.7,46.8,43.3,37.0,27.5,47.5,40.6,34.2,31.5,45.5,47.7,32.5,36.1,33.6,31.5,51.6,50.7,47.8,40.5,27.3,31.0,34.1,46.8,50.7,55.2,37.5
10-06,32.0,36.1,30.2,44.6,46.4,32.5,34.0,51.3,46.2,34.3,43.3,37.2,46.6,38.8,50.7,43.9,35.2,42.6,29.5,38.1,27.1,48.2,28.8,32.7,40.8,47.7,46.4,32.2,36.5,34.7,33.3,49.3,46.8,48.4,44.2,27.1,30.7,34.3,46.2,48.3,51.3,38.5
10-07,32.0,37.8,23.7,48.0,35.2,35.4,31.8,49.3,34.3,41.9,36.3,36.7,48.4,41.2,49.8,47.3,43.3,35.6,30.7,44.4,31.5,42.3,31.3,34.3,48.4,48.7,46.6,36.7,45.1,37.4,40.5,52.7,44.8,48.6,46.8,23.7,31.6,35.6,45.3,48.7,52.7,40.8
10-08,32.0,41.4,22.8,45.1,30.0,37.2,32.5,50.4,26.6,42.3,43.2,40.8,40.6,41.9,53.1,50.0,41.2,37.2,40.3,41.4,31.5,36.9,34.0,41.9,40.6,48.0,47.8,43.9,30.9,35.8,46.4,55.2,37.9,48.2,46.6,22.8,31.1,37.2,43.2,49.5,55.2,41.0
10-09,32.0,43.9,30.0,45.7,28.2,42.1,38.7,52.0,36.1,39.0,49.3,46.6,25.9,41.5,57.2,50.7,34.3,35.8,47.3,38.3,32.7,40.3,34.7,43.9,40.6,47.3,49.5,47.5,30.2,31.6,27.9,51.6,34.5,48.2,49.1,25.9,30.1,34.7,46.7,50.3,57.2,40.5
10-10,32.0,48.2,38.1,49.5,34.7,45.3,45.1,55.9,45.0,33.8,53.1,36.3,27.7,46.9,35.2,41.7,35.2,33.6,46.6,26.4,29.7,42.1,37.2,48.7,35.8,46.2,55.2,50.0,36.9,30.0,15.8,51.4,35.2,47.7,47.8,15.8,29.8,35.2,46.6,51.0,55.9,39.9
10-11,32.0,47.1,29.3,49.8,37.0,38.5,49.3,53.8,26.1,34.2,52.9,27.7,27.0,34.9,36.5,44.1,36.1,37.2,38.7,26.4,31.5,41.9,37.6,50.4,31.6,43.3,48.7,43.5,42.1,31.5,25.3,32.5,35.1,46.0,35.2,25.3,27.2,32.5,43.4,49.7,53.8,37.1
10-12,32.0,48.7,34.9,51.3,35.4,38.8,33.3,50.4,19.4,43.7,48.9,27.9,25.5,31.1,43.5,42.6,38.5,38.8,43.5,22.8,39.4,37.9,38.1,46.0,36.3,33.3,47.1,37.6,32.5,33.3,33.8,40.8,28.8,44.8,32.9,19.4,28.1,33.3,42.7,48.3,51.3,38.0
10-13,32.0,48.9,34.0,43.5,36.3,43.0,28.2,48.7,24.1,43.7,47.8,28.2,35.2,39.0,31.1,41.0,40.5,40.3,38.1,25.2,39.7,41.7,42.8,38.5,35.8,34.9,51.8,46.0,34.7,31.1,39.9,47.5,25.3,45.1,35.8,24.1,28.2,34.9,42.8,47.7,51.8,39.4
10-14,32.0,46.9,35.8,43.9,33.8,36.5,39.0,34.2,34.2,37.9,46.9,30.0,36.1,38.5,36.3,43.2,48.4,42.3,38.7,32.9,39.2,46.6,46.9,40.8,29.8,46.4,51.4,47.8,24.4,21.9,40.5,38.5,25.2,45.1,37.4,21.9,29.9,35.6,43.2,46.9,51.4,38.6
10-15,32.0,35.2,42.3,47.5,32.2,25.5,45.7,37.0,40.1,27.7,30.4,31.3,33.8,38.7,39.6,46.0,48.4,42.4,40.1,39.2,40.3,47.5,50.4,44.6,28.2,47.5,51.1,44.4,35.2,27.1,41.5,32.0,28.0,45.5,,25.5,28.1,33.6,44.4,47.5,51.1,39.8
10-16,32.0,30.6,32.2,52.0,32.9,31.6,43.2,21.6,44.2,23.0,20.3,33.1,44.6,38.1,43.9,49.1,43.5,34.3,40.1,40.6,40.1,47.8,44.4,40.5,29.3,38.8,51.6,35.6,42.6,37.4,46.8,38.5,36.7,43.3,,20.3,29.7,34.2,43.4,47.5,52.0,39.5
10-17,32.0,30.9,25.3,43.9,,30.4,39.4,21.6,43.5,26.6,28.8,40.3,43.9,37.2,51.1,42.3,44.2,28.6,29.3,45.3,46.0,47.1,35.2,31.3,32.5,45.3,49.1,32.0,45.7,39.4,43.3,45.7,43.2,46.8,,21.6,28.6,32.0,44.0,46.6,51.1,40.3
10-18,32.0,36.1,35.8,36.7,32.0,29.3,38.5,34.3,41.4,30.0,31.8,42.4,33.3,36.0,53.1,29.8,47.1,27.1,28.9,47.3,51.3,43.2,35.8,35.8,31.8,46.4,47.8,30.9,43.5,38.1,30.0,45.1,39.7,48.6,,27.1,29.9,32.0,42.5,47.7,53.1,36.0
10-19,32.0,41.9,26.6,37.0,30.6,32.5,30.4,20.7,41.2,35.8,31.8,41.0,39.4,36.0,51.3,32.9,44.4,32.7,41.5,43.9,41.2,40.5,40.6,45.1,36.0,45.9,40.6,30.2,47.1,39.9,29.3,44.2,34.3,48.4,,20.7,30.3,32.9,41.2,45.6,51.3,39.7
10-20,32.0,43.7,20.7,33.6,32.5,35.8,40.8,15.8,39.6,35.8,37.6,40.8,42.4,36.9,52.2,34.5,40.8,32.4,29.8,44.8,34.7,44.2,39.2,48.2,37.6,48.9,38.1,31.1,35.2,44.1,25.2,43.7,35.2,46.4,,15.8,30.2,34.7,41.0,45.9,52.2,37.6
10-21,32.0,39.4,25.7,38.3,36.9,37.2,33.6,17.6,36.7,38.8,40.8,30.7,43.0,38.1,54.0,33.1,39.9,27.1,25.5,31.5,33.6,45.0,43.2,43.0,36.5,38.8,39.9,39.2,29.1,44.6,28.9,43.5,41.4,48.4,,17.6,27.7,33.6,40.0,44.3,54.0,38.2
10-22,32.0,36.9,30.0,41.0,40.3,33.6,19.6,22.6,36.3,37.0,39.6,28.0,35.6,34.3,55.6,30.0,42.8,29.8,29.7,28.4,36.0,41.4,39.9,38.1,40.6,35.2,38.3,44.4,39.7,43.9,35.2,27.0,44.2,34.9,,19.6,28.1,33.5,39.8,43.6,55.6,36.1
10-23,32.0,41.2,32.0,23.2,40.5,36.7,21.0,26.2,26.6,32.5,43.7,35.8,26.6,30.7,45.1,33.1,45.5,39.7,41.4,37.2,35.4,36.7,42.3,28.0,43.0,45.1,37.6,45.3,37.4,38.1,30.0,29.3,33.3,24.4,,21.0,26.3,31.9,39.8,44.7,45.5,36.2
10-24,32.0,42.3,38.3,19.0,41.0,37.6,26.4,27.7,19.6,36.1,44.1,33.8,22.3,27.9,32.4,26.6,47.7,42.4,48.4,37.8,34.2,37.4,44.2,24.8,43.9,49.5,40.5,43.0,39.6,40.3,25.3,34.3,35.4,26.4,,19.0,25.0,31.6,40.5,44.2,49.5,36.8
10-25,32.0,37.4,43.3,23.0,35.2,37.9,33.1,21.0,18.9,38.7,45.0,32.9,28.8,29.1,31.1,29.3,47.1,29.7,48.0,42.1,26.1,25.2,29.5,23.2,41.9,51.3,43.3,41.2,43.3,36.0,36.5,13.8,39.4,27.7,,13.8,23.1,29.3,39.6,44.5,51.3,34.2
10-26,32.0,24.1,43.0,30.7,29.3,40.8,32.5,21.9,24.3,41.7,47.3,34.3,38.1,32.2,36.9,33.8,42.4,25.3,43.3,41.4,33.3,23.7,24.6,24.8,40.6,34.3,41.2,44.2,38.3,39.6,32.0,16.0,29.1,23.7,,16.0,23.8,29.3,39.7,42.8,47.3,33.5
10-27,32.0,27.0,42.8,19.9,31.6,44.2,32.7,22.3,31.1,37.0,40.3,34.2,45.3,31.5,40.8,37.6,42.3,32.5,40.8,46.6,22.5,23.9,27.7,32.2,43.2,28.6,32.2,49.6,36.9,45.0,16.0,26.1,33.3,23.2,,16.0,22.7,30.8,40.3,44.7,49.6,32.6
10-28,32.0,17.4,46.4,11.3,32.4,31.1,35.8,28.8,32.5,31.6,32.7,32.2,44.4,24.4,41.9,31.1,35.8,39.4,44.2,47.7,20.5,30.0,31.3,39.6,36.0,30.6,34.9,45.3,39.9,48.7,12.0,34.3,36.7,27.1,,11.3,21.7,31.1,36.9,45.0,48.7,32.6
10-29,32.0,18.9,43.0,10.9,21.0,22.5,39.7,25.3,30.9,30.2,20.5,32.7,44.6,16.7,32.9,28.2,32.2,40.6,46.9,45.9,18.9,40.1,36.5,43.2,29.5,39.4,32.4,43.9,41.9,36.3,6.8,37.0,39.6,32.2,,6.8,18.9,29.4,39.6,43.7,46.9,32.5
10-30,32.0,19.8,42.4,7.9,,23.2,35.6,26.8,36.5,31.1,27.7,30.7,41.5,14.4,15.3,29.3,28.8,27.5,38.8,46.8,28.9,37.6,37.2,43.0,27.3,44.8,31.3,47.8,30.0,27.0,7.5,41.7,42.4,31.8,,7.5,16.2,27.6,37.4,42.9,47.8,31.1
10-31,32.0,16.5,38.1,12.9,,32.2,27.0,28.2,31.6,30.0,35.1,29.7,30.4,13.1,11.8,22.1,31.1,22.6,31.1,46.2,35.8,34.7,38.1,46.4,29.5,46.2,40.6,32.5,30.9,26.2,21.4,38.3,39.2,35.6,,11.8,17.5,29.0,35.3,40.4,46.4,31.1
11-01,32.0,15.1,24.6,15.8,24.4,34.3,11.7,26.6,25.3,28.0,27.0,20.7,30.7,5.9,19.0,16.9,42.3,24.6,32.9,46.0,37.9,33.4,24.3,41.9,31.8,40.3,42.1,31.8,39.6,33.6,23.0,40.6,37.2,40.8,,5.9,16.1,24.6,34.6,41.6,46.0,31.3
11-02,32.0,21.4,18.5,5.7,24.8,17.8,10.9,32.5,26.1,27.3,32.5,17.8,33.3,7.0,18.7,25.3,45.3,34.3,31.5,37.8,36.7,39.0,22.5,34.3,36.3,28.4,41.9,32.0,40.8,36.9,28.6,45.3,35.2,27.3,,5.7,17.8,25.3,34.4,40.3,45.3,31.7
11-03,,27.5,18.9,10.6,32.2,12.9,17.6,,33.8,23.0,37.6,20.5,36.3,14.5,20.7,34.3,30.2,35.1,34.7,34.3,38.5,41.5,30.7,36.3,22.3,24.4,33.4,39.0,36.1,30.6,33.6,47.3,34.5,19.0,,10.6,17.7,23.4,34.6,38.4,47.3,32.8
11-04,32.0,30.7,24.4,25.7,21.7,13.8,20.3,30.2,35.4,23.5,43.2,25.9,41.4,18.3,14.5,34.0,28.2,33.4,39.4,28.2,45.1,43.2,33.8,39.7,18.5,28.9,25.9,42.1,31.1,30.0,33.1,45.9,40.5,20.8,,13.8,19.0,25.9,34.1,42.8,45.9,30.5
11-05,32.0,27.0,20.8,30.7,16.2,26.6,29.7,17.1,35.1,26.4,42.8,17.1,41.9,25.0,14.4,36.3,25.5,34.7,39.4,19.4,47.1,45.1,18.7,39.2,18.5,34.7,23.0,42.3,27.9,27.9,34.7,45.7,39.7,28.4,,14.4,17.5,25.5,35.2,42.6,47.1,29.0
11-06,32.0,22.8,13.8,31.5,18.9,33.8,23.2,15.1,39.2,19.4,44.8,14.4,41.0,32.7,16.5,38.5,36.9,39.2,39.4,22.5,41.7,44.4,20.7,42.1,28.8,42.4,23.4,40.5,25.9,23.9,36.1,47.5,43.5,26.2,,13.8,17.2,23.3,39.2,43.2,47.5,32.4
