date,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,48.2,33.6,55.0,50.7,35.8,51.6,31.8,52.9,42.1,42.1,34.5,31.8,33.4,40.2,51.0,53.1,55.0,45.1
10-02,44.2,40.8,40.5,47.3,28.4,50.9,34.5,53.8,45.3,47.7,35.1,28.4,33.9,40.7,47.4,51.2,53.8,44.8
10-03,30.2,44.2,41.7,30.4,34.3,44.8,43.0,51.4,48.6,46.9,37.2,30.2,30.4,39.5,45.4,48.8,51.4,43.6
10-04,25.3,46.2,43.2,32.9,37.2,41.5,37.4,53.2,50.9,45.9,40.5,25.3,32.1,37.3,46.0,51.1,53.2,42.3
10-05,33.8,47.5,44.1,32.0,37.9,35.8,37.8,53.2,46.0,45.7,42.8,32.0,33.6,37.2,45.8,48.1,53.2,41.0
10-06,46.0,49.6,40.8,32.4,37.9,33.1,36.9,52.5,43.9,47.1,45.7,32.4,33.0,37.6,46.4,49.9,52.5,42.4
10-07,49.1,49.3,44.4,39.2,48.4,30.7,45.5,53.6,42.6,47.8,46.8,30.7,38.4,43.9,48.6,49.7,53.6,46.7
10-08,42.1,49.1,49.3,43.5,34.7,31.5,49.6,54.0,38.8,48.2,48.6,31.5,34.4,41.1,49.2,50.1,54.0,45.9
10-09,35.6,47.7,50.0,47.3,29.1,33.1,33.4,51.8,32.4,48.2,50.4,29.1,32.0,33.3,47.8,50.2,51.8,41.4
10-10,32.4,46.0,54.3,47.8,41.0,31.5,20.8,50.4,36.1,46.9,48.0,20.8,30.4,35.0,47.2,50.8,54.3,43.5
10-11,33.4,45.7,51.1,45.9,44.4,32.4,31.5,40.3,29.1,48.2,34.2,29.1,31.2,33.1,45.7,48.5,51.1,42.4
10-12,37.9,36.1,50.9,43.9,35.4,32.7,36.9,46.6,22.8,47.7,31.5,22.8,31.7,35.9,44.7,48.0,50.9,37.4
10-13,32.2,40.8,52.7,48.6,38.7,35.6,40.5,51.3,25.5,46.2,35.6,25.5,31.5,37.7,46.9,51.4,52.7,40.6
10-14,30.9,49.5,51.6,51.3,29.3,21.0,40.8,48.9,26.1,45.7,41.9,21.0,25.6,30.4,49.1,51.3,51.6,43.2
10-15,27.3,48.7,51.3,50.7,43.5,25.5,43.5,40.3,30.0,45.1,,25.5,27.1,37.2,46.2,50.8,51.3,43.5
10-16,30.9,44.4,51.3,46.4,46.6,32.9,50.4,44.2,40.8,43.3,,30.9,32.7,42.6,46.5,50.4,51.3,44.3
10-17,34.9,47.1,43.9,35.6,49.1,34.0,43.0,48.4,43.0,44.1,,34.0,34.8,40.8,45.0,48.5,49.1,43.4
10-18,34.5,44.8,40.8,34.0,46.0,34.9,32.4,47.8,32.4,45.3,,32.4,32.4,34.4,44.9,46.2,47.8,37.8
10-19,38.3,46.0,37.0,31.1,47.3,38.5,33.1,46.2,32.7,46.0,,31.1,32.6,35.9,46.0,46.3,47.3,38.4
10-20,39.0,48.7,35.4,41.0,35.4,41.9,27.3,46.9,36.7,45.7,,27.3,34.6,36.3,43.0,47.1,48.7,40.0
10-21,37.6,41.5,35.4,48.4,32.2,39.4,35.8,48.4,41.7,46.6,,32.2,35.1,37.0,43.2,48.4,48.4,40.5
10-22,38.8,41.5,37.2,48.0,43.3,36.9,39.6,36.5,43.3,35.4,,35.4,36.4,37.1,42.1,43.8,48.0,39.2
10-23,39.4,49.5,36.9,48.4,41.7,38.5,35.6,36.5,36.0,21.4,,21.4,34.2,36.3,40.1,48.5,49.5,37.7
10-24,41.0,50.4,41.2,42.1,42.6,40.6,31.5,44.1,39.7,24.3,,24.3,30.7,40.4,42.2,44.7,50.4,41.1
10-25,41.2,48.6,42.8,41.0,46.6,38.5,41.5,19.4,36.0,32.4,,19.4,31.1,37.7,41.9,46.8,48.6,41.1
10-26,40.1,37.0,41.4,47.5,41.9,42.1,39.6,16.9,27.1,27.0,,16.9,26.0,34.1,41.5,42.6,47.5,39.8
10-27,42.1,30.6,38.5,60.1,41.7,45.7,15.6,29.7,34.0,23.7,,15.6,22.9,30.3,41.8,47.1,60.1,36.2
10-28,30.9,37.6,38.1,45.0,42.1,46.8,21.7,39.0,37.8,33.8,,21.7,30.0,36.4,39.9,45.1,46.8,37.9
10-29,25.5,42.3,31.1,,46.2,38.8,9.9,38.8,41.0,34.3,,9.9,22.4,32.4,40.1,43.1,46.2,38.8
10-30,26.2,45.5,32.9,,43.0,26.2,12.4,42.1,43.0,33.8,,12.4,23.5,28.9,42.6,43.5,45.5,33.8
10-31,30.4,45.9,40.6,,37.8,29.7,28.6,41.9,41.7,38.1,,28.6,29.4,33.3,41.3,42.7,45.9,38.1
11-01,34.7,33.8,45.1,,45.1,36.0,30.6,44.2,41.5,39.9,,30.6,33.2,35.2,43.2,45.1,45.1,39.9
11-02,42.3,25.2,42.3,,42.3,39.7,35.1,48.7,37.6,23.7,,23.7,24.9,36.1,42.3,43.6,48.7,39.7
11-03,25.7,21.9,28.0,39.4,36.7,32.9,39.0,46.4,38.5,17.6,,17.6,21.5,27.3,38.6,40.1,46.4,34.8
11-04,20.3,31.6,20.7,41.0,36.0,36.5,36.5,44.2,45.0,26.1,,20.3,20.6,30.0,37.8,44.3,45.0,36.2
11-05,22.1,36.7,21.9,40.6,34.5,32.4,36.1,46.2,43.2,35.1,,21.9,22.1,33.9,37.9,43.5,46.2,35.6
11-06,32.0,43.2,23.0,41.0,30.2,27.9,37.9,46.4,43.2,32.7,,23.0,27.4,31.5,41.6,43.5,46.4,35.3
11-07,40.1,41.2,31.5,40.6,24.8,25.7,37.2,32.0,35.6,34.9,,24.8,25.6,31.8,38.1,40.7,41.2,35.2
11-08,38.8,41.2,35.8,41.9,38.1,19.6,38.8,19.8,34.5,30.9,,19.6,19.7,33.4,38.8,41.3,41.9,37.0
11-09,38.5,45.7,30.0,42.3,39.7,27.5,41.4,15.1,36.5,20.7,,15.1,20.1,29.3,40.2,42.6,45.7,37.5
11-10,38.7,31.6,21.7,41.4,37.4,29.3,39.2,18.0,31.8,12.9,,12.9,17.5,27.0,37.8,39.4,41.4,31.7
11-11,40.3,30.9,19.9,41.7,32.4,18.5,32.0,21.2,34.7,16.2,,16.2,18.3,20.8,33.1,40.4,41.7,31.5
11-12,42.3,27.5,23.2,39.7,39.6,19.4,39.4,20.7,37.6,25.0,,19.4,20.5,24.4,39.4,40.0,42.3,32.5
11-13,39.0,33.1,28.6,39.4,41.0,29.5,39.0,30.7,39.6,17.6,,17.6,27.5,30.4,39.1,39.7,41.0,36.0
11-14,35.6,31.1,35.6,44.4,36.7,34.2,41.9,22.6,42.4,16.7,,16.7,22.0,33.2,38.2,42.6,44.4,35.6
11-15,25.9,20.8,32.7,47.1,41.4,35.1,40.6,36.1,45.7,13.3,,13.3,20.1,30.7,40.9,45.8,47.1,35.6
11-16,28.4,12.9,16.9,32.7,41.2,35.8,35.2,41.2,37.8,20.8,,12.9,16.5,26.1,36.4,41.2,41.2,34.0
11-17,31.5,23.5,22.1,15.1,27.5,30.6,39.6,43.2,27.1,25.7,,15.1,21.4,25.1,30.8,39.9,43.2,27.3
11-18,37.6,28.2,30.2,24.3,23.4,26.4,42.3,40.5,36.9,12.9,,12.9,22.3,25.8,37.1,40.6,42.3,29.2
11-19,34.0,32.9,32.5,39.4,35.8,30.6,41.5,31.3,36.9,21.9,,21.9,29.7,32.2,36.1,39.6,41.5,33.4
11-20,32.2,32.5,28.0,38.3,39.0,32.2,28.4,28.9,28.9,28.0,,28.0,28.0,28.8,32.3,38.4,39.0,30.6
11-21,20.1,31.5,26.8,31.3,40.1,35.8,26.2,28.8,28.8,27.9,,20.1,25.6,27.5,31.3,36.2,40.1,28.8
