date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,54.5,49.0,49.7,47.8,33.6,55.1,46.0,39.8,50.9,39.1,50.6,42.2,46.2,38.9,33.6,39.2,44.5,50.0,53.8,55.1,47.8
10-02,52.7,47.3,50.8,47.9,37.9,46.0,46.5,27.8,48.0,38.5,52.8,43.9,44.9,35.8,27.8,38.0,44.5,47.9,52.4,52.8,46.5
10-03,48.9,46.9,52.8,33.9,43.4,41.1,33.9,33.4,48.4,45.3,50.4,44.8,43.6,37.2,33.4,33.9,42.5,47.5,50.1,52.8,44.8
10-04,42.2,44.9,50.5,24.7,45.6,44.3,34.1,44.3,40.9,44.2,51.3,47.1,42.8,40.3,24.7,35.5,42.5,45.2,49.8,51.3,44.3
10-05,40.0,36.4,45.0,32.6,45.7,40.4,35.8,43.7,36.3,42.1,51.9,43.0,42.8,43.9,32.6,35.9,38.5,43.3,45.6,51.9,42.1
10-06,38.0,25.3,40.6,42.9,47.1,39.1,32.2,37.1,34.0,38.3,51.4,42.2,43.3,45.0,25.3,32.6,37.6,42.5,46.3,51.4,39.1
10-07,38.6,25.1,38.4,44.8,47.7,43.3,36.7,46.7,32.6,43.2,51.5,43.5,44.5,46.4,25.1,33.5,38.5,44.6,47.5,51.5,43.3
10-08,37.0,31.0,43.7,43.0,47.0,47.1,42.3,40.2,32.3,47.8,52.6,38.9,44.7,47.5,31.0,33.2,39.7,45.7,47.6,52.6,43.0
10-09,38.0,30.8,44.5,40.1,44.6,47.9,45.1,27.8,33.0,41.0,51.8,34.1,43.9,46.9,27.8,31.3,36.5,44.5,47.4,51.8,41.0
10-10,41.3,36.2,45.8,32.4,44.2,50.2,46.6,33.3,32.3,20.9,50.1,34.6,44.1,47.8,20.9,32.3,34.1,44.8,49.4,50.2,41.3
10-11,43.2,41.8,43.5,32.4,45.0,50.5,46.0,42.2,34.5,29.7,41.9,35.0,46.1,36.7,29.7,32.8,39.1,44.1,46.0,50.5,42.2
10-12,41.2,42.0,35.5,34.9,35.4,50.8,44.7,41.8,34.3,34.5,45.9,26.9,46.7,30.8,26.9,34.4,35.2,43.1,46.5,50.8,41.2
10-13,40.9,44.1,37.7,34.5,37.7,51.1,45.9,41.2,37.5,38.7,50.2,26.4,45.3,33.7,26.4,35.1,37.7,44.6,49.3,51.1,40.9
