date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.6,38.9,48.2,48.4,38.4,48.9,27.7,54.1,50.1,49.0,47.0,32.8,53.4,44.4,32.8,48.0,36.9,50.5,42.7,41.0,38.2,27.7,32.8,40.4,48.9,50.9,54.1,47.5
10-02,44.7,41.2,50.4,44.7,36.5,48.8,32.8,53.3,47.1,50.2,46.4,36.0,42.5,44.5,26.3,47.9,34.5,50.2,43.1,43.1,35.3,26.3,34.3,42.1,47.4,50.2,53.3,44.6
10-03,42.3,40.4,47.3,41.8,44.3,44.4,36.2,52.0,46.3,48.0,32.0,41.1,40.4,33.4,30.1,46.4,40.9,49.6,45.5,43.6,35.3,30.1,33.2,40.8,45.8,48.1,52.0,43.0
10-04,43.3,40.2,33.8,42.6,47.0,37.6,33.9,44.6,43.3,43.9,25.8,43.5,43.4,31.8,39.5,40.1,39.0,49.5,46.5,43.6,37.8,25.8,33.6,39.4,43.5,46.5,49.5,42.9
10-05,44.8,39.7,30.4,43.1,41.8,35.2,24.7,41.9,36.7,39.5,33.1,45.3,42.2,30.8,39.4,36.0,35.1,49.8,45.4,43.7,42.1,24.7,30.8,35.7,42.5,45.3,49.8,39.6
10-06,46.5,41.5,35.8,39.7,28.3,36.5,27.8,40.3,27.6,33.5,42.0,46.2,41.7,29.5,36.2,33.8,35.6,49.6,40.7,44.9,43.6,27.6,28.2,35.0,41.5,46.2,49.6,38.1
10-07,47.0,44.0,42.1,36.2,27.8,41.7,35.2,38.2,26.4,34.6,43.2,46.8,44.2,35.1,43.4,33.0,41.3,49.4,41.6,45.5,45.6,26.4,32.5,35.9,43.6,46.8,49.4,41.6
10-08,48.8,45.0,39.8,37.2,36.5,44.2,31.5,34.4,30.9,41.9,41.5,45.4,47.7,40.5,35.1,31.1,44.8,50.6,38.6,45.5,46.7,30.9,31.5,37.0,44.8,47.8,50.6,41.0
10-09,51.1,45.6,33.7,34.8,41.6,42.0,35.2,37.3,31.5,44.3,40.3,43.7,47.0,43.6,27.7,29.6,36.1,50.4,33.9,44.6,46.2,27.7,31.3,35.1,43.9,47.4,51.1,40.9
10-10,39.6,40.8,32.8,33.0,44.9,33.2,34.2,41.0,34.1,45.8,32.9,42.3,50.1,44.5,32.5,30.1,19.7,50.3,34.9,44.6,46.5,19.7,32.3,33.1,42.9,46.2,50.3,37.2
10-11,35.6,41.2,36.2,36.7,41.9,28.2,38.1,41.8,38.1,45.8,31.8,42.5,50.3,42.6,37.8,30.5,28.0,36.0,34.7,44.8,35.7,28.0,30.3,35.9,41.8,44.9,50.3,37.9
10-12,45.2,42.7,37.6,39.4,41.5,19.6,40.3,39.5,38.3,37.1,33.5,33.0,47.6,41.0,37.4,32.8,34.9,42.0,29.2,46.6,30.9,19.6,32.4,36.4,41.1,45.3,47.6,38.8
10-13,33.0,39.4,41.1,40.6,36.7,23.0,38.5,40.7,42.6,37.2,34.4,35.7,49.7,44.4,36.8,34.5,37.6,47.6,25.6,45.6,31.7,23.0,32.3,36.4,40.8,45.8,49.7,38.0
10-14,39.0,44.2,43.9,36.4,36.1,32.9,38.3,43.6,44.6,39.1,29.2,41.2,49.6,47.5,27.9,21.4,39.0,45.1,23.8,45.5,35.8,21.4,27.5,36.3,44.0,45.7,49.6,39.1
10-15,44.0,44.8,42.5,39.2,38.1,36.8,38.9,44.3,47.8,42.6,24.1,42.5,47.3,49.5,38.0,25.6,41.0,35.7,28.3,43.4,,24.1,28.0,38.1,43.6,47.3,49.5,41.7
10-16,44.9,46.1,41.5,34.4,36.3,41.1,39.9,43.7,46.3,41.8,28.4,41.9,46.1,46.8,42.2,32.8,44.2,41.1,37.8,39.7,,28.4,34.2,39.8,43.8,46.1,46.8,41.6
10-17,48.4,38.6,42.7,27.9,28.0,42.9,42.6,42.4,36.5,34.8,31.8,43.3,43.6,34.8,43.9,33.4,42.2,45.6,38.5,42.1,,27.9,31.4,36.0,42.7,44.1,48.4,42.2
10-18,49.4,32.0,39.8,25.6,29.7,42.9,46.3,38.2,37.3,39.2,31.5,43.5,43.1,31.5,44.0,33.5,31.0,45.3,34.0,44.4,,25.6,30.9,33.0,43.2,45.4,49.4,38.7
10-19,48.9,33.2,39.5,32.8,41.1,41.9,45.2,38.9,40.4,43.0,36.5,43.2,38.6,29.3,44.7,38.1,29.0,45.0,28.7,46.2,,28.7,29.3,37.6,43.1,45.3,48.9,39.9
10-20,50.0,35.2,39.4,32.7,30.8,39.0,36.1,40.8,40.2,45.8,36.8,43.0,36.8,34.6,36.2,39.0,22.8,44.9,31.5,45.3,,22.8,31.4,35.9,40.4,45.4,50.0,37.9
10-21,51.8,32.7,39.4,27.3,22.2,32.4,33.6,42.1,41.2,41.7,35.9,40.7,37.2,41.3,28.3,40.7,28.3,46.2,38.0,43.5,,22.2,28.2,33.3,41.2,43.8,51.8,38.7
10-22,51.3,27.3,42.0,30.8,31.3,30.2,34.9,38.7,40.6,39.6,39.6,37.6,38.1,43.1,40.6,39.8,35.9,37.2,37.7,35.1,,27.3,30.7,35.7,39.7,42.1,51.3,37.9
10-23,47.3,29.5,42.2,37.9,41.9,38.0,35.8,35.7,41.9,35.6,39.8,42.8,36.6,45.1,41.1,37.2,30.5,29.0,33.2,22.6,,22.6,29.5,35.6,41.3,43.0,47.3,37.6
10-24,38.3,30.9,43.2,39.6,43.2,39.4,35.3,35.5,42.8,25.8,39.6,45.1,37.9,41.1,41.6,36.8,27.0,40.1,34.6,24.3,,24.3,26.9,35.4,40.4,43.2,45.1,38.9
10-25,32.0,31.2,40.8,27.4,43.4,43.7,27.0,24.9,35.6,19.1,40.4,45.1,38.5,39.6,43.2,35.0,38.9,19.9,39.8,28.1,,19.1,24.4,30.3,40.0,43.5,45.1,37.0
10-26,38.6,32.5,39.0,28.3,42.1,41.8,31.2,21.4,23.8,21.3,39.2,39.8,38.7,39.9,38.5,38.5,39.1,12.5,27.6,24.9,,12.5,21.4,28.1,39.0,40.1,42.1,38.5
10-27,43.1,34.4,39.5,36.0,39.8,43.3,23.9,21.0,26.8,31.4,38.5,28.7,33.7,42.6,37.5,42.4,18.3,28.3,30.9,22.9,,18.3,22.7,28.5,38.8,42.6,43.3,34.1
10-28,43.0,27.4,34.2,39.9,41.3,44.1,19.0,28.1,29.7,37.0,34.2,33.6,35.0,43.8,37.9,42.5,14.9,37.6,36.2,29.6,,14.9,26.6,32.5,38.5,43.0,44.1,35.6
10-29,43.7,24.6,30.2,37.5,42.0,43.3,17.6,35.0,35.1,39.5,25.6,39.1,32.5,42.6,41.8,39.5,8.9,37.8,38.0,32.9,,8.9,23.9,32.8,39.5,42.7,43.7,37.6
10-30,27.4,27.3,28.3,34.8,37.3,43.5,30.1,34.3,36.8,40.0,23.9,40.0,32.8,43.7,34.2,27.4,10.2,37.9,39.5,33.6,,10.2,26.9,29.6,37.4,40.4,43.7,34.3
10-31,22.0,19.9,30.6,29.4,33.7,41.9,35.8,32.3,37.9,40.5,28.6,40.6,37.5,36.6,35.2,26.7,27.5,39.2,38.5,35.4,,19.9,26.2,30.2,37.6,40.5,41.9,35.3
11-01,25.1,15.7,35.6,26.2,33.5,42.9,37.5,34.4,27.1,38.9,31.8,37.8,41.1,34.6,40.7,32.5,26.9,40.9,37.5,34.2,,15.7,26.1,32.3,37.6,40.9,42.9,34.5
11-02,25.4,27.8,36.8,34.0,31.9,35.2,37.5,42.9,19.2,36.4,33.0,29.8,39.2,31.8,39.4,36.5,32.0,43.2,34.9,29.5,,19.2,27.6,31.8,36.6,39.8,43.2,34.4
11-03,22.5,31.2,36.2,35.2,36.0,32.2,40.6,40.9,24.6,35.3,23.6,24.3,34.6,35.4,36.4,29.4,36.1,43.6,34.4,20.0,,20.0,23.5,30.6,36.0,40.6,43.6,34.9
11-04,18.0,31.0,31.2,31.8,39.6,27.9,39.9,41.3,30.4,38.9,16.3,29.4,26.2,39.3,34.5,30.3,34.6,42.4,39.6,21.3,,16.3,20.9,30.0,39.0,40.0,42.4,31.5
11-05,17.6,34.8,26.4,32.2,39.8,16.7,40.1,42.1,19.2,41.1,16.8,35.7,21.8,39.6,31.7,28.5,34.4,42.3,39.2,29.8,,16.7,17.5,27.9,39.3,41.2,42.3,33.3
11-06,17.7,36.3,35.5,39.1,38.7,19.4,39.7,40.0,18.4,40.2,26.4,39.8,20.9,38.5,30.4,23.0,35.3,40.9,38.6,27.2,,17.7,19.3,27.0,38.8,40.0,40.9,35.9
11-07,23.9,38.4,36.0,43.5,39.6,31.5,36.6,36.1,19.2,39.9,31.6,39.2,26.0,38.8,21.9,21.8,34.7,34.5,39.0,35.0,,19.2,21.9,31.6,38.5,39.6,43.5,35.5
11-08,28.2,35.9,35.1,41.9,40.1,33.9,30.8,30.1,17.2,38.6,35.4,37.8,26.7,39.5,27.2,19.5,38.0,20.5,35.0,34.4,,17.2,20.4,29.6,36.5,39.6,41.9,34.7
11-09,29.2,32.4,39.4,29.9,39.0,30.2,31.4,18.5,21.9,30.6,36.2,41.6,28.7,41.0,32.0,24.5,40.5,17.3,32.0,23.0,,17.3,21.5,29.0,33.5,40.6,41.6,31.0
11-10,27.7,32.7,39.9,23.8,39.4,28.6,35.0,17.6,27.0,14.1,35.8,27.2,24.9,40.9,33.5,26.0,38.4,14.2,28.6,13.7,,13.7,14.2,25.7,33.9,39.5,40.9,28.1
11-11,25.5,30.6,34.3,25.5,34.2,27.4,37.9,17.7,27.9,10.2,38.1,23.3,20.7,39.5,29.7,17.1,29.6,17.1,31.5,15.0,,10.2,16.9,22.5,30.9,37.9,39.5,27.7
11-12,27.7,29.0,28.6,19.5,32.9,32.4,35.3,22.0,26.9,21.2,36.7,11.2,21.2,38.0,31.5,15.7,33.0,15.9,36.0,18.6,,11.2,15.8,21.2,32.6,36.1,38.0,28.1
11-13,27.9,28.9,26.1,25.5,37.7,36.7,22.5,21.6,27.2,25.1,36.2,20.4,27.2,37.3,36.2,27.6,35.5,24.0,37.1,19.3,,19.3,21.5,25.4,35.7,37.1,37.7,27.4
11-14,24.4,27.3,24.4,21.9,29.4,29.3,16.1,25.6,27.6,28.4,31.5,27.3,28.9,40.6,34.7,32.7,34.6,17.3,39.7,16.6,,16.1,17.2,25.3,30.0,35.2,40.6,28.0
11-15,24.8,28.3,15.3,23.1,34.4,35.1,17.1,27.1,24.7,28.2,26.0,17.1,27.0,41.4,32.4,32.9,37.0,29.0,41.6,13.0,,13.0,16.9,24.8,32.6,37.5,41.6,27.7
11-16,26.2,32.0,27.3,31.7,36.8,39.6,25.4,26.3,21.4,29.9,22.6,11.8,24.3,37.0,35.7,33.1,33.1,35.2,35.4,19.4,,11.8,21.2,26.0,33.8,36.9,39.6,30.8
