date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.3,56.4,55.6,46.0,57.6,28.8,62.3,59.1,54.9,51.9,35.0,61.1,54.4,34.7,53.7,36.0,54.7,46.7,44.7,41.9,28.8,34.9,45.6,55.3,59.5,62.3,53.7
10-02,48.9,51.0,46.9,40.6,56.3,36.3,62.6,56.6,56.8,46.8,39.9,44.4,52.6,30.1,54.7,35.6,55.1,49.2,48.4,36.1,30.1,36.1,45.4,53.8,56.6,62.6,48.9
10-03,49.2,38.5,46.1,53.3,51.9,41.6,59.1,54.9,50.1,33.1,45.6,43.9,35.2,36.0,49.8,46.8,54.4,50.8,48.4,37.1,33.1,35.8,44.6,50.5,54.5,59.1,48.4
10-04,48.8,32.2,47.9,55.0,41.8,35.3,48.9,49.8,45.7,28.5,47.5,46.5,34.6,40.4,44.5,41.0,54.8,53.7,47.8,40.1,28.5,34.1,41.4,48.4,53.9,55.0,46.5
10-05,47.1,32.9,46.6,44.6,38.1,28.0,47.8,40.6,40.2,34.0,49.5,48.6,33.6,40.2,37.8,36.2,55.1,51.4,49.6,44.0,28.0,33.4,37.9,47.5,49.9,55.1,40.6
10-06,47.8,39.6,42.3,30.6,41.7,31.6,45.1,29.6,37.0,46.3,51.3,47.3,34.1,38.7,37.6,37.6,54.3,46.9,50.4,47.1,29.6,31.4,37.6,46.7,50.6,54.3,41.7
10-07,51.4,50.2,37.2,32.1,48.9,38.3,43.3,30.7,38.7,53.7,52.9,49.1,42.1,50.0,35.2,45.7,56.4,47.4,51.2,50.0,30.7,34.6,40.1,50.1,53.1,56.4,47.4
10-08,54.4,42.8,39.3,44.1,49.9,34.3,39.0,33.9,47.2,46.5,52.6,51.5,48.3,35.6,34.8,51.0,59.0,42.6,51.0,51.7,33.9,34.7,40.6,50.6,53.0,59.0,46.5
10-09,54.9,33.6,38.0,50.7,44.4,38.1,42.1,36.6,50.0,42.4,51.2,53.0,52.6,31.8,34.0,34.2,56.6,35.2,50.9,52.3,31.8,33.9,37.2,50.8,53.4,56.6,42.4
10-10,44.0,35.8,35.1,50.7,30.2,35.3,44.9,39.9,52.8,36.1,50.3,58.7,53.2,41.4,31.6,21.6,55.9,37.3,50.4,52.6,21.6,31.3,35.9,50.4,53.8,58.7,41.4
10-11,44.0,38.2,38.5,44.2,26.8,40.9,45.1,42.1,52.9,35.9,48.3,54.3,48.6,48.6,33.8,29.9,36.0,37.8,48.6,36.4,26.8,33.0,37.9,47.0,49.5,54.3,42.1
10-12,46.4,40.6,41.4,46.9,23.2,46.2,42.3,42.8,43.5,41.1,37.2,53.6,45.6,38.4,36.5,38.9,45.0,29.1,48.7,32.2,23.2,35.0,39.6,45.3,47.3,53.6,42.3
10-13,43.2,45.0,44.1,38.8,27.0,41.8,45.3,48.7,39.6,38.2,41.1,56.8,52.4,40.8,37.3,44.0,52.2,27.1,48.7,35.8,27.0,35.2,40.1,45.2,52.2,56.8,43.2
10-14,47.6,51.0,42.8,41.4,36.3,42.4,50.7,51.9,44.1,32.7,51.3,56.6,53.2,29.2,25.3,44.2,45.5,25.9,49.3,41.8,25.3,28.5,41.8,50.1,52.1,56.6,44.2
10-15,49.5,50.2,43.2,45.0,44.2,42.9,51.3,56.5,48.6,30.1,52.0,55.7,53.4,42.2,28.8,45.9,36.4,30.0,48.1,,28.8,30.1,43.0,49.9,53.8,56.5,45.9
10-16,52.9,45.1,32.5,42.3,46.5,44.8,52.3,51.1,46.3,33.3,45.2,54.0,46.1,49.0,37.7,52.2,43.3,41.3,44.4,,32.5,36.8,43.7,48.0,52.4,54.0,45.2
10-17,44.8,47.8,28.2,30.4,50.3,51.0,49.3,39.1,35.1,36.4,50.7,50.3,35.5,51.7,38.7,46.8,48.9,46.0,47.7,,28.2,34.2,38.9,49.1,50.8,51.7,46.8
10-18,35.1,46.4,26.7,32.1,52.3,56.4,46.1,41.4,41.9,35.5,51.0,48.7,34.9,50.2,38.8,31.4,49.0,38.4,50.2,,26.7,32.0,36.7,48.9,51.3,56.4,41.9
10-19,37.5,43.2,33.5,49.2,49.0,46.6,45.3,46.1,49.3,40.3,50.7,44.1,33.4,52.4,43.5,31.7,48.7,32.8,51.5,,31.7,33.3,41.5,48.9,50.9,52.4,45.3
10-20,37.5,43.4,33.1,33.9,48.0,35.9,48.0,45.4,53.2,41.3,52.5,40.6,40.9,38.5,46.6,25.7,48.4,37.4,49.9,,25.7,33.7,37.9,47.4,50.4,53.2,41.3
10-21,34.9,43.5,29.6,26.1,35.4,35.7,47.7,46.9,47.3,40.9,44.8,40.0,51.3,31.9,47.1,31.7,50.1,44.6,50.3,,26.1,31.3,35.5,47.0,50.2,51.3,43.5
10-22,31.2,45.9,34.1,33.1,31.8,38.7,44.4,45.0,45.9,45.3,42.2,41.7,52.5,44.2,43.9,38.8,32.9,47.4,37.9,,31.2,32.7,38.2,44.8,46.2,52.5,42.2
10-23,34.5,48.3,42.9,44.4,40.6,40.1,39.2,48.1,32.6,47.0,51.9,40.5,53.1,42.9,43.0,33.5,32.0,36.4,25.4,,25.4,32.5,37.5,43.8,49.0,53.1,40.6
10-24,32.5,51.2,44.4,52.8,42.9,37.8,40.8,50.3,27.4,47.4,54.9,45.3,46.2,43.8,44.2,30.2,43.9,40.4,26.0,,26.0,29.6,40.6,45.8,51.5,54.9,43.9
10-25,33.3,48.8,27.8,53.8,46.6,29.4,27.7,35.8,24.4,47.1,54.8,47.1,46.3,48.1,39.0,40.6,16.7,44.2,31.5,,16.7,27.0,32.2,46.9,49.8,54.8,40.6
10-26,37.5,44.2,26.5,49.2,47.1,38.5,25.9,26.9,25.8,45.8,40.8,46.0,50.1,42.7,43.5,41.0,13.9,30.1,28.1,,13.9,25.9,28.9,44.0,47.5,50.1,40.8
