date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.6,45.9,51.0,31.2,57.4,49.8,51.4,49.2,35.0,55.4,46.8,42.2,51.5,39.1,52.3,42.9,48.5,37.3,31.2,37.5,45.3,51.1,53.5,57.4,49.2
10-02,48.7,42.0,50.8,40.1,53.0,48.6,52.2,47.7,39.5,45.9,47.1,31.4,48.4,40.3,53.5,45.6,46.1,34.0,31.4,39.9,44.8,48.6,52.5,53.5,47.1
10-03,45.7,46.7,47.9,41.5,49.3,47.8,54.1,35.6,44.9,41.4,34.6,36.9,48.5,47.3,52.0,45.7,44.2,36.4,34.6,36.4,43.6,47.8,50.4,54.1,45.7
10-04,45.8,48.3,36.6,37.6,41.6,44.5,51.5,25.3,45.9,44.1,35.9,46.1,40.9,44.8,52.8,48.6,44.5,39.8,25.3,36.3,41.4,46.0,49.8,52.8,44.5
10-05,44.3,41.2,35.2,29.5,39.0,35.4,47.1,32.7,46.2,40.2,37.3,45.1,37.5,43.0,53.2,42.6,44.8,44.7,29.5,34.2,37.5,44.4,46.5,53.2,41.2
10-06,40.2,26.6,38.3,31.7,37.2,25.5,42.9,45.6,47.9,38.9,34.0,37.3,34.3,40.4,52.2,42.1,45.2,46.4,25.5,29.7,36.6,42.3,46.6,52.2,38.9
10-07,36.5,28.1,44.9,36.2,38.9,25.6,40.8,47.1,49.0,43.6,39.4,47.5,32.1,45.1,52.7,43.7,45.7,48.3,25.6,30.5,38.4,45.2,48.1,52.7,43.6
10-08,40.0,39.7,48.2,36.3,37.9,30.3,45.3,43.6,48.1,47.9,44.4,41.5,32.0,47.9,53.4,39.1,46.2,48.4,30.3,34.6,39.6,46.6,48.2,53.4,43.6
10-09,35.5,44.9,47.0,41.4,39.0,32.2,46.7,39.0,45.8,49.2,46.6,29.2,34.1,41.0,50.6,34.8,45.1,47.9,29.2,33.3,38.3,45.9,47.9,50.6,41.4
10-10,35.7,46.5,40.0,41.7,41.7,37.7,46.7,31.5,46.6,51.2,47.5,36.4,33.9,21.5,49.4,35.9,44.6,48.3,21.5,33.0,36.3,46.6,48.2,51.2,41.7
10-11,37.6,45.6,25.8,41.5,44.1,42.3,42.3,33.7,46.5,50.0,46.5,44.6,35.0,31.7,43.1,35.8,46.3,37.1,25.8,32.9,37.3,44.8,46.5,50.0,42.3
10-12,41.4,43.6,18.3,40.5,42.3,43.2,34.3,36.2,36.4,50.7,45.4,42.4,36.1,36.9,46.7,25.7,47.3,29.3,18.3,30.8,36.4,43.3,46.9,50.7,41.4
10-13,43.8,36.3,21.6,38.4,44.0,47.7,38.0,34.3,39.5,52.4,46.3,41.5,38.9,40.9,50.3,26.9,46.3,34.5,21.6,31.3,38.3,44.5,48.7,52.4,40.9
10-14,34.7,36.1,32.9,40.9,46.9,50.5,41.6,30.3,46.0,52.3,48.5,34.4,24.8,41.4,52.8,26.7,46.0,40.5,24.8,28.9,34.7,46.2,51.2,52.8,41.4
10-15,36.7,40.1,40.3,43.3,45.9,52.2,46.1,28.4,48.0,51.6,49.5,43.3,24.9,43.5,43.0,31.9,46.6,,24.9,30.5,40.3,46.2,50.3,52.2,43.3
10-16,39.6,37.2,43.2,45.5,46.7,49.6,47.6,31.4,45.7,47.8,47.7,46.1,32.4,48.0,45.0,40.7,42.5,,31.4,35.3,42.2,46.9,47.9,49.6,45.5
10-17,28.1,31.6,45.9,47.7,42.4,40.9,39.4,36.0,46.5,43.1,41.7,47.9,30.5,46.7,48.3,41.5,42.6,,28.1,31.2,40.6,46.0,47.7,48.3,42.4
10-18,25.8,32.0,46.2,50.6,38.1,42.2,42.7,35.1,45.0,42.3,39.6,47.9,31.3,33.7,49.6,32.6,43.9,,25.8,31.8,34.8,44.1,48.6,50.6,42.2
10-19,33.8,44.3,44.5,46.3,40.4,45.0,47.0,38.3,45.5,38.6,34.0,47.0,37.3,37.6,50.0,31.4,44.3,,31.4,33.9,38.1,45.1,47.0,50.0,44.3
10-20,37.5,38.7,43.0,34.1,42.3,42.9,47.6,38.9,44.7,37.0,41.0,39.4,39.4,27.4,49.1,36.6,44.6,,27.4,35.6,38.5,42.9,45.8,49.1,39.4
10-21,31.2,22.2,40.2,32.8,39.1,43.7,43.5,38.1,44.6,37.5,47.1,31.2,39.1,34.5,49.0,41.9,43.7,,22.2,31.2,36.9,43.6,45.6,49.0,39.1
10-22,37.5,34.1,33.5,34.9,35.9,42.7,41.7,40.9,42.7,37.5,48.1,43.8,37.0,39.4,46.8,43.0,38.6,,33.5,34.6,37.4,42.7,45.0,48.1,39.4
10-23,41.2,45.1,40.4,38.4,35.6,44.6,39.8,41.3,47.4,36.7,46.9,44.1,37.7,36.7,43.9,39.0,20.9,,20.9,36.2,38.2,44.0,45.8,47.4,40.4
10-24,39.7,46.7,41.6,39.5,38.9,45.4,29.0,41.6,49.4,39.7,43.4,44.0,38.2,30.7,44.4,40.0,22.6,,22.6,30.1,39.4,43.5,45.9,49.4,40.0
10-25,27.8,47.6,47.1,30.9,27.5,40.3,24.2,39.8,48.1,40.4,41.6,46.0,38.5,42.3,28.6,42.8,33.1,,24.2,27.7,32.7,42.4,47.3,48.1,40.3
