date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,44.1,56.8,55.2,44.6,56.8,27.0,61.2,57.7,55.0,49.6,33.6,59.0,54.1,33.4,51.6,35.6,56.1,46.8,43.5,41.9,27.0,33.6,44.3,55.8,58.0,61.2,51.6
10-02,49.1,49.6,46.8,39.7,55.8,34.9,61.7,54.3,56.5,46.0,38.1,44.1,51.3,28.4,53.6,33.6,55.6,49.1,47.7,35.6,28.4,34.6,44.9,52.7,55.9,61.7,49.1
10-03,48.6,,48.2,52.3,50.7,40.5,58.5,53.4,48.2,32.0,44.1,43.2,34.2,34.9,48.6,45.0,54.3,51.1,48.2,36.1,32.0,34.7,44.2,50.5,53.7,58.5,48.2
10-04,49.5,,48.6,53.6,40.5,34.3,47.8,48.0,46.4,27.3,46.8,44.8,33.8,38.5,42.8,39.2,55.2,53.8,47.8,39.6,27.3,34.2,40.7,48.0,53.7,55.2,46.6
10-05,46.0,,48.0,43.2,36.5,26.2,47.1,39.2,38.3,32.2,48.9,48.2,32.5,39.0,36.7,34.5,55.2,51.1,49.3,44.2,26.2,32.4,36.8,47.9,49.8,55.2,41.2
10-06,47.5,40.3,43.3,28.9,40.8,29.5,45.1,28.6,36.7,45.0,50.0,46.4,33.8,37.0,37.4,36.9,54.7,47.1,50.0,47.5,28.6,29.4,36.9,45.9,50.0,54.7,40.8
10-07,51.1,50.5,36.5,29.8,48.4,37.8,42.6,28.6,38.8,52.3,51.4,48.6,42.1,49.1,34.0,48.0,56.7,47.8,51.1,50.4,28.6,33.2,40.1,50.0,51.6,56.7,48.0
10-08,54.3,42.1,40.1,43.2,48.7,32.0,37.4,32.4,47.1,45.0,51.8,51.4,48.4,34.0,33.6,51.6,59.0,41.7,51.3,52.7,32.0,33.4,40.7,50.3,52.3,59.0,45.0
10-09,52.9,35.4,38.3,49.8,43.3,36.3,40.8,36.1,49.1,41.9,51.3,52.3,52.9,30.6,33.8,32.7,56.7,34.7,50.9,53.2,30.6,33.6,36.2,50.5,52.9,56.7,41.9
10-10,43.3,36.9,36.1,49.8,29.1,32.9,44.6,39.7,52.5,34.9,50.2,58.5,53.4,39.9,30.7,19.8,55.9,37.4,50.2,52.7,19.8,30.4,36.4,50.0,53.9,58.5,39.9
