date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.4,48.0,30.9,55.6,46.6,33.7,51.0,36.0,50.4,42.3,45.1,38.7,30.9,33.7,42.3,50.4,51.0,55.6,46.6
10-02,50.9,47.6,35.7,42.9,46.6,25.5,48.7,36.8,50.5,44.1,46.0,33.1,25.5,35.7,42.9,47.6,50.5,50.9,46.0
10-03,50.5,31.3,41.1,40.2,30.5,31.9,47.4,44.9,49.7,44.7,45.8,34.6,30.5,31.3,40.2,45.8,49.7,50.5,44.7
10-04,48.1,23.0,42.4,45.8,31.3,41.4,39.4,40.2,51.1,48.7,44.0,37.5,23.0,31.3,40.2,45.8,48.7,51.1,42.4
10-05,41.2,30.1,43.4,41.8,32.7,40.4,33.3,36.7,51.9,44.2,45.2,42.6,30.1,32.7,36.7,43.4,45.2,51.9,41.2
10-06,36.5,44.2,45.3,40.5,30.2,33.9,33.1,36.7,50.1,42.1,45.2,45.1,30.2,33.1,36.5,44.2,45.3,50.1,40.5
10-07,35.4,46.2,46.4,43.9,37.2,45.0,32.4,44.7,51.7,43.3,46.0,46.9,32.4,35.4,43.3,46.0,46.4,51.7,44.7
10-08,44.0,41.8,47.1,47.1,43.3,36.2,31.6,48.6,52.1,38.6,46.4,47.5,31.6,36.2,41.8,47.1,48.6,52.1,44.0
10-09,45.0,39.4,45.5,48.0,45.1,26.4,31.3,37.0,50.8,31.4,46.0,47.2,26.4,31.3,37.0,45.5,48.0,50.8,45.0
10-10,45.9,31.3,44.3,51.2,46.5,34.1,28.7,17.1,49.8,32.3,45.9,49.0,17.1,28.7,32.3,45.9,49.8,51.2,44.3
10-11,44.6,30.5,44.4,49.8,45.3,41.4,32.8,29.1,37.3,33.0,45.9,34.6,29.1,30.5,33.0,44.6,45.9,49.8,41.4
10-12,35.0,34.6,32.4,49.9,43.1,38.8,32.6,35.7,44.7,26.5,44.8,27.6,26.5,32.4,34.6,43.1,44.8,49.9,35.7
10-13,34.6,34.2,36.5,51.9,45.3,39.4,34.5,38.4,50.3,23.5,45.3,32.1,23.5,34.2,34.6,45.3,50.3,51.9,38.4
10-14,39.1,28.3,46.2,51.2,50.2,28.0,20.9,39.6,47.4,21.6,45.1,38.0,20.9,21.6,28.3,46.2,50.2,51.2,39.6
10-15,43.8,25.5,48.1,50.7,50.1,42.6,24.0,41.7,36.5,27.7,45.7,,24.0,25.5,36.5,45.7,50.1,50.7,42.6
10-16,45.1,26.3,43.9,49.8,48.1,44.8,33.2,46.7,41.5,39.6,44.8,,26.3,33.2,41.5,45.1,48.1,49.8,44.8
10-17,33.1,31.6,45.1,43.0,34.8,46.5,30.6,44.8,45.6,39.9,42.1,,30.6,31.6,34.8,44.8,45.6,46.5,42.1
10-18,37.9,29.7,44.7,42.3,35.4,46.0,30.4,28.5,46.0,32.4,45.2,,28.5,29.7,32.4,44.7,46.0,46.0,37.9
10-19,44.8,34.0,44.5,39.2,29.7,46.5,36.6,32.7,45.4,27.1,45.0,,27.1,29.7,34.0,44.8,45.4,46.5,39.2
10-20,48.3,35.7,45.3,36.2,39.9,36.0,39.3,21.5,45.7,33.6,45.0,,21.5,33.6,36.0,45.0,45.7,48.3,39.3
10-21,42.8,35.1,43.1,37.3,45.6,27.1,41.1,30.1,48.3,39.6,45.0,,27.1,30.1,37.3,43.1,45.6,48.3,41.1
10-22,41.4,39.4,39.1,36.3,47.2,40.3,38.6,35.1,39.1,39.7,35.5,,35.1,35.5,38.6,39.7,41.4,47.2,39.1
10-23,35.8,40.5,46.7,35.4,47.7,39.8,37.5,31.9,36.9,34.9,21.1,,21.1,31.9,35.4,39.8,46.7,47.7,36.9
10-24,24.3,40.9,49.1,39.0,43.5,40.8,37.4,27.1,43.0,38.8,20.1,,20.1,24.3,37.4,40.9,43.5,49.1,39.0
10-25,19.2,40.6,48.7,39.9,40.1,44.2,34.9,40.5,22.6,41.8,28.5,,19.2,22.6,34.9,40.6,44.2,48.7,40.1
10-26,23.2,39.3,39.4,40.4,41.7,38.7,37.9,42.3,10.7,24.5,26.8,,10.7,23.2,26.8,39.4,41.7,42.3,38.7
10-27,32.4,39.9,28.5,37.0,45.5,35.5,43.8,18.0,25.2,28.8,19.8,,18.0,19.8,28.5,37.0,43.8,45.5,32.4
10-28,39.1,33.8,34.8,37.8,47.5,37.7,45.9,16.6,35.7,35.2,28.9,,16.6,28.9,34.8,37.8,45.9,47.5,35.7
10-29,40.8,25.6,40.8,31.0,44.7,41.7,41.0,10.2,37.2,40.6,31.4,,10.2,25.6,31.4,40.8,41.7,44.7,40.6
10-30,41.1,24.6,43.6,29.1,46.0,40.9,26.5,8.7,39.2,40.5,30.7,,8.7,24.6,29.1,40.9,43.6,46.0,39.2
10-31,43.0,26.2,43.9,36.6,37.8,35.1,25.0,29.1,40.2,41.3,34.8,,25.0,26.2,34.8,40.2,43.0,43.9,36.6
11-01,41.4,30.0,37.8,44.1,33.2,40.8,28.6,27.4,42.2,39.1,35.5,,27.4,28.6,33.2,40.8,42.2,44.1,37.8
11-02,36.6,38.1,27.4,42.4,31.4,39.3,35.4,32.5,45.4,35.0,30.0,,27.4,30.0,32.5,38.1,42.4,45.4,35.4
11-03,35.7,24.6,20.9,34.3,40.9,37.0,28.6,36.4,43.5,34.6,19.3,,19.3,20.9,28.6,36.4,40.9,43.5,34.6
11-04,37.4,17.4,27.4,23.9,40.8,35.5,30.7,34.7,42.6,42.4,19.6,,17.4,19.6,27.4,37.4,42.4,42.6,34.7
