date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.8,45.8,49.9,31.1,55.2,50.0,49.5,48.4,35.9,54.9,45.4,43.4,50.0,40.0,50.4,41.5,48.2,38.4,31.1,38.3,45.0,50.0,52.4,55.2,48.4
10-02,49.5,42.0,50.1,39.4,51.6,46.8,51.5,47.3,39.1,46.0,46.1,31.0,47.3,40.1,52.8,43.7,46.3,36.9,31.0,39.3,43.4,47.8,51.6,52.8,46.3
10-03,45.3,47.7,48.3,41.7,49.2,45.9,54.0,35.4,44.7,41.0,34.1,35.5,48.6,46.6,50.8,43.2,43.2,38.7,34.1,35.4,42.9,47.8,49.8,54.0,45.3
10-04,46.4,48.3,36.9,38.0,41.0,43.3,51.8,24.3,45.9,43.0,35.7,46.4,40.2,45.1,52.2,46.9,43.6,41.4,24.3,36.4,40.8,46.4,49.7,52.2,43.6
10-05,43.8,39.8,35.1,29.6,38.5,34.7,47.7,31.1,45.5,39.0,37.4,46.1,38.0,44.1,52.3,41.6,43.1,45.2,29.6,33.3,37.9,43.9,46.7,52.3,39.8
10-06,40.2,25.7,37.6,30.0,36.6,25.2,43.5,42.4,47.3,37.1,33.3,38.3,34.2,39.7,51.3,40.9,43.7,46.3,25.2,28.3,36.1,41.2,45.1,51.3,38.3
10-07,36.0,28.5,42.8,34.9,38.0,24.7,40.6,45.1,47.5,41.4,37.1,47.7,31.4,43.8,51.8,43.0,44.4,47.9,24.7,30.3,36.9,43.9,47.6,51.8,41.4
10-08,38.8,38.6,47.0,36.3,37.6,30.0,45.0,43.6,46.4,46.0,42.6,42.8,31.0,48.5,53.9,38.2,45.0,48.1,30.0,34.1,38.5,45.2,47.6,53.9,42.8
10-09,34.7,44.0,47.7,41.4,38.6,30.8,46.5,38.3,43.8,47.2,45.1,27.9,32.8,43.0,51.2,34.6,43.5,48.2,27.9,32.0,37.6,44.2,47.4,51.2,43.0
10-10,35.7,46.6,41.3,42.0,39.9,36.7,45.7,30.8,44.9,49.6,47.0,34.1,33.8,22.3,49.1,35.1,43.7,47.7,22.3,32.6,35.6,45.1,47.9,49.6,41.3
10-11,37.5,46.0,26.5,41.4,42.8,42.1,40.6,33.2,46.1,49.8,45.9,44.0,34.5,29.9,43.9,34.9,46.3,39.7,26.5,31.9,37.0,44.4,46.2,49.8,42.1
10-12,39.7,43.2,18.9,40.5,41.2,42.7,33.7,35.3,36.2,49.0,44.8,43.1,34.7,34.9,46.7,25.3,46.6,33.4,18.9,30.3,35.2,43.1,46.6,49.0,40.5
10-13,42.6,35.6,21.1,38.5,41.5,46.5,37.4,34.1,38.3,50.7,45.7,41.6,38.3,40.1,50.6,26.3,45.4,36.7,21.1,31.0,38.1,43.2,48.2,50.7,40.1
10-14,34.2,35.3,31.3,41.0,44.8,49.9,39.6,29.8,44.5,50.6,49.2,35.3,25.8,40.9,53.6,26.1,45.6,42.0,25.8,28.3,35.1,45.0,50.2,53.6,40.9
10-15,35.6,39.6,37.9,42.5,43.9,51.7,44.6,27.6,47.2,49.3,49.5,41.6,22.2,42.0,44.3,29.9,45.8,,22.2,29.0,39.2,44.9,49.4,51.7,42.5
10-16,39.5,35.9,41.1,43.7,45.4,50.1,47.0,30.1,45.1,46.3,47.3,45.0,29.6,46.4,45.5,37.8,40.2,,29.6,33.6,40.1,45.6,47.1,50.1,45.0
10-17,28.0,31.2,43.5,45.4,42.0,41.2,40.1,35.6,45.1,42.4,42.2,47.3,28.3,46.1,49.5,40.2,40.6,,28.0,30.1,40.2,43.8,46.6,49.5,42.0
10-18,25.2,33.0,46.3,50.5,37.6,40.7,42.5,34.6,43.8,42.0,39.5,47.4,29.2,34.3,50.3,31.9,41.9,,25.2,30.8,34.5,42.8,48.6,50.5,40.7
10-19,32.9,45.4,44.0,46.5,38.3,43.8,45.9,37.4,43.2,38.0,33.2,46.3,34.0,37.8,50.6,31.1,42.8,,31.1,33.1,37.7,44.2,46.3,50.6,42.8
10-20,37.4,37.1,42.2,34.2,40.1,41.8,47.2,39.6,43.3,35.8,38.7,39.5,37.0,27.4,47.9,34.7,43.6,,27.4,34.5,37.1,41.9,45.0,47.9,39.5
10-21,30.0,20.8,40.5,32.5,37.4,42.1,43.4,36.5,44.1,35.6,45.8,30.9,38.0,34.1,48.7,39.8,43.6,,20.8,30.5,35.3,42.4,44.7,48.7,38.0
10-22,35.2,31.2,32.2,34.2,35.0,42.5,41.0,38.3,42.6,36.3,48.6,44.3,36.5,39.2,47.6,41.5,39.2,,31.2,33.4,36.1,41.7,45.6,48.6,39.2
10-23,38.6,42.8,38.9,37.4,34.8,42.4,39.6,39.1,46.7,35.3,47.4,44.9,36.2,36.6,44.8,38.9,21.4,,21.4,35.1,37.2,42.5,45.6,47.4,38.9
10-24,38.8,43.5,40.2,39.7,38.3,45.4,29.4,39.8,49.5,37.5,43.2,42.4,36.8,30.2,44.6,39.8,22.9,,22.9,29.9,38.1,42.6,44.9,49.5,39.8
