date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,49.4,44.8,47.4,29.3,52.7,48.4,47.1,46.9,34.9,53.9,44.3,42.0,49.1,39.1,48.3,40.3,46.9,37.6,29.3,37.4,43.8,48.4,50.7,53.9,46.9
10-02,48.6,40.6,48.3,37.3,49.5,44.7,49.3,46.1,38.1,45.1,45.3,29.3,46.6,38.9,51.0,42.0,44.9,36.7,29.3,37.8,41.7,47.0,49.4,51.0,45.1
10-03,43.8,46.7,47.1,40.2,47.9,44.2,52.3,33.9,43.2,39.8,33.0,34.0,47.9,45.6,48.9,41.5,42.1,38.0,33.0,33.9,41.3,46.8,48.3,52.3,43.8
10-04,45.0,47.4,36.0,37.0,40.2,42.2,50.6,22.6,44.6,42.0,34.3,45.3,39.6,44.4,50.3,45.3,41.8,40.6,22.6,35.3,40.1,45.1,48.6,50.6,42.2
10-05,42.6,39.2,33.9,27.7,37.6,34.2,46.0,29.3,44.3,38.1,36.1,45.1,36.9,43.1,50.4,41.0,41.2,43.9,27.7,32.0,36.8,42.7,45.4,50.4,39.2
10-06,39.3,24.5,35.6,27.9,35.6,23.9,41.7,40.3,45.8,36.1,31.7,37.3,33.5,38.2,49.4,40.1,41.9,44.9,23.9,26.5,35.2,40.1,43.4,49.4,37.3
10-07,34.5,26.8,40.6,33.5,36.7,23.0,38.6,43.4,46.1,40.1,35.5,46.4,31.0,42.4,50.2,42.0,42.6,46.1,23.0,29.3,35.3,42.4,46.2,50.2,40.1
10-08,37.1,37.2,44.8,34.6,36.1,29.2,43.2,42.5,45.4,44.7,41.2,41.9,30.4,47.2,52.8,37.4,43.3,46.4,29.2,33.0,37.1,43.6,46.1,52.8,41.9
10-09,33.1,42.4,46.5,39.7,36.7,29.1,44.9,37.4,42.4,45.6,43.6,26.6,31.5,42.3,50.3,33.6,42.0,46.8,26.6,30.5,36.1,42.6,46.0,50.3,42.0
10-10,34.4,45.4,40.2,40.2,38.2,34.9,43.8,30.1,43.3,48.3,46.0,33.0,32.3,21.3,48.2,33.9,42.0,46.4,21.3,31.4,34.3,43.4,46.8,48.3,40.2
10-11,36.0,44.5,26.1,40.2,40.9,40.5,39.5,31.6,44.9,48.6,44.7,43.2,33.8,28.4,42.8,33.8,44.9,39.0,26.1,30.3,35.5,43.5,44.9,48.6,40.5
10-12,37.6,42.4,17.5,39.6,39.3,40.8,33.0,33.4,35.0,47.1,43.2,42.1,33.5,33.2,45.1,24.9,45.0,33.1,17.5,29.8,33.5,42.1,45.0,47.1,39.3
10-13,40.8,34.1,19.5,37.6,39.1,44.1,36.0,33.2,36.9,48.8,44.2,40.3,37.0,38.5,49.2,25.3,43.5,36.1,19.5,30.0,36.7,41.3,46.0,49.2,38.5
10-14,33.6,33.6,29.4,40.6,42.4,47.6,37.6,28.6,43.2,48.6,48.7,34.1,24.8,39.4,52.5,24.6,43.7,41.1,24.6,27.1,33.6,43.3,48.7,52.5,39.4
10-15,34.5,37.6,35.4,40.7,41.5,49.8,42.6,26.2,46.2,47.1,48.8,40.4,20.6,40.1,43.5,28.6,43.8,,20.6,27.7,37.1,43.5,47.8,49.8,40.7
10-16,38.4,34.6,38.7,41.2,43.3,48.8,45.1,28.3,43.8,45.2,46.6,43.2,28.2,44.8,44.2,36.5,38.5,,28.2,32.1,38.5,44.3,45.8,48.8,43.2
10-17,27.0,29.5,40.9,43.2,40.6,39.9,38.8,33.7,44.0,41.7,41.2,45.5,27.6,45.2,48.2,39.1,39.0,,27.0,28.7,38.9,42.0,45.3,48.2,40.6
10-18,23.7,31.8,44.7,49.2,36.4,38.6,40.5,33.1,42.4,41.3,38.3,46.0,27.7,33.3,48.9,31.1,40.0,,23.7,29.7,33.3,41.5,47.2,49.2,38.6
10-19,31.2,44.3,42.0,45.4,36.4,41.8,43.3,35.1,41.4,37.2,31.8,45.2,32.3,36.6,49.3,29.6,41.0,,29.6,31.6,36.2,42.2,45.3,49.3,41.0
10-20,35.8,36.0,40.0,33.4,38.5,39.2,45.7,37.9,41.8,35.0,37.5,38.6,35.6,26.0,46.4,33.2,41.9,,26.0,33.3,35.7,39.4,43.4,46.4,37.9
10-21,28.3,19.0,38.8,31.3,36.5,39.7,42.6,34.3,43.0,34.7,44.6,29.7,37.0,32.9,47.5,38.3,42.4,,19.0,29.1,34.1,40.3,43.6,47.5,37.0
10-22,33.3,29.8,30.9,32.8,34.0,40.2,40.0,36.1,41.3,35.3,47.8,43.0,35.7,38.0,46.8,40.1,38.3,,29.8,32.0,35.1,40.1,44.5,47.8,38.0
10-23,36.7,40.7,37.0,35.5,33.9,40.0,38.7,36.6,45.5,34.0,46.6,43.8,35.1,35.4,44.0,38.0,20.7,,20.7,33.9,35.5,40.2,44.6,46.6,37.0
10-24,37.8,41.5,38.0,38.1,38.2,44.1,27.8,38.1,48.5,36.1,42.3,41.0,35.2,29.3,44.0,39.2,21.7,,21.7,28.7,37.4,41.1,44.0,48.5,38.1
10-25,26.2,43.5,43.7,29.9,25.6,39.3,22.0,36.8,46.7,38.0,39.6,42.6,36.9,40.4,28.4,41.4,32.8,,22.0,26.0,32.2,40.6,43.6,46.7,38.0
10-26,25.8,43.2,41.5,33.0,22.7,23.4,24.5,37.1,41.8,39.3,40.6,39.9,39.2,44.6,9.5,24.9,30.9,,9.5,23.1,25.6,40.1,42.4,44.6,37.1
10-27,33.7,40.2,42.4,23.5,20.8,26.4,34.3,38.3,33.3,38.2,46.6,38.9,42.5,27.4,24.0,31.5,20.4,,20.4,22.5,27.2,38.4,42.5,46.6,33.7
10-28,37.2,40.9,43.5,13.9,32.6,29.8,38.2,33.5,36.9,38.7,46.4,38.1,45.6,20.2,34.4,38.0,28.3,,13.9,25.1,33.3,38.3,44.3,46.4,37.2
10-29,38.4,42.9,45.0,14.6,39.6,36.7,38.8,24.2,39.2,31.6,44.5,42.1,44.2,15.4,35.5,40.6,32.4,,14.6,20.7,34.9,40.9,44.3,45.0,38.8
10-30,36.3,39.3,43.8,28.2,34.1,37.0,37.9,22.3,41.3,30.8,44.9,42.6,30.4,11.2,37.4,42.3,31.3,,11.2,25.8,31.2,39.7,43.1,44.9,37.0
