date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.7,58.1,55.9,47.2,56.0,28.9,60.0,59.2,53.3,49.1,35.6,60.8,55.5,35.3,53.9,35.5,54.9,45.4,45.3,43.9,28.9,35.4,45.5,55.7,59.3,60.8,53.3
10-02,48.0,50.1,48.6,39.0,55.3,34.5,60.7,56.2,55.1,45.9,39.1,45.7,55.3,30.3,54.1,35.3,54.4,48.0,47.9,38.0,30.3,35.1,45.8,54.3,55.5,60.7,48.0
10-03,47.9,37.8,47.3,53.0,53.2,42.6,59.4,56.2,47.8,33.9,43.6,45.0,36.7,36.4,50.7,46.6,54.3,50.0,48.6,38.3,33.9,36.7,44.2,50.4,54.7,59.4,47.8
10-04,49.4,32.7,52.4,54.4,42.9,35.1,51.4,49.6,44.2,28.8,46.4,47.5,34.9,40.0,44.5,40.4,54.3,52.7,48.8,40.9,28.8,34.4,41.4,49.5,53.0,54.4,46.4
10-05,47.0,32.8,50.9,43.9,38.9,28.3,50.1,41.7,38.6,32.4,48.3,48.8,34.8,38.9,37.1,35.2,54.6,52.6,50.0,44.1,28.3,32.7,37.7,48.6,51.2,54.6,41.7
10-06,45.3,38.4,45.2,30.7,41.0,29.5,47.4,30.4,36.3,42.4,49.3,47.6,34.2,38.1,39.1,36.4,53.0,49.4,50.5,47.5,29.5,30.7,37.1,46.6,49.6,53.0,41.0
10-07,49.4,49.4,38.3,31.6,46.8,35.2,44.9,31.1,36.8,51.7,49.6,48.3,40.4,48.9,37.1,44.1,55.8,48.8,51.4,49.7,31.1,34.5,39.1,49.2,51.5,55.8,46.8
10-08,53.3,44.9,39.4,41.4,46.8,33.7,39.4,34.3,44.9,45.0,50.7,51.4,46.6,35.1,36.1,49.3,58.0,45.4,51.7,51.0,33.7,34.9,40.2,48.3,52.1,58.0,45.0
10-09,56.5,37.0,38.5,49.8,42.1,37.9,41.7,36.4,47.4,42.9,50.4,51.8,50.3,32.1,35.4,33.6,56.2,36.0,50.7,51.8,32.1,35.1,37.4,50.1,52.7,56.5,42.1
10-10,44.6,37.7,36.6,50.9,29.9,34.5,44.1,40.4,51.7,36.3,48.1,57.2,52.5,39.9,31.8,21.5,56.3,37.6,49.8,52.0,21.5,31.4,37.0,49.1,53.2,57.2,40.4
