date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.8,48.3,32.2,54.4,46.3,36.6,51.1,37.6,50.8,42.4,45.9,38.7,32.2,36.6,42.4,50.8,51.1,54.4,46.3
10-02,52.0,48.2,37.6,44.7,46.0,26.4,48.7,37.0,52.5,43.5,44.8,33.9,26.4,37.0,43.5,48.2,52.0,52.5,44.8
10-03,52.1,33.3,43.1,40.1,32.7,31.2,47.4,43.0,50.0,45.0,43.9,36.1,31.2,32.7,40.1,45.0,50.0,52.1,43.1
10-04,49.6,24.6,45.7,44.0,32.8,41.5,39.7,41.8,51.6,47.1,43.2,39.2,24.6,32.8,41.5,45.7,49.6,51.6,43.2
10-05,43.8,33.1,45.8,41.2,34.8,41.5,34.5,39.6,52.2,43.2,43.5,43.3,33.1,34.5,39.6,43.5,45.8,52.2,41.5
10-06,39.3,44.1,47.7,39.8,31.7,36.1,33.4,37.5,51.4,42.3,43.8,44.7,31.7,33.4,37.5,43.8,47.7,51.4,39.8
10-07,37.7,45.3,47.7,43.6,36.5,47.1,33.1,43.2,50.9,42.7,45.2,46.2,33.1,36.5,42.7,45.3,47.7,50.9,43.6
10-08,44.2,42.6,47.1,47.4,41.8,37.7,32.7,47.7,51.9,38.4,45.6,47.7,32.7,37.7,41.8,47.1,47.7,51.9,44.2
10-09,44.4,39.9,45.0,47.8,44.8,27.9,32.4,38.7,51.5,33.0,45.0,47.1,27.9,32.4,38.7,45.0,47.8,51.5,44.4
10-10,46.3,32.2,44.1,50.5,45.6,32.4,30.5,19.7,49.9,33.8,45.3,48.7,19.7,30.5,32.4,45.6,49.9,50.5,44.1
10-11,44.0,32.2,44.5,51.1,45.1,40.3,33.6,30.1,39.9,34.2,46.6,35.1,30.1,32.2,34.2,44.5,46.6,51.1,40.3
10-12,35.7,34.5,34.7,52.3,44.4,40.0,33.0,34.6,46.0,27.1,46.9,28.1,27.1,33.0,34.6,44.4,46.9,52.3,35.7
10-13,37.2,34.3,38.1,51.7,46.2,40.4,36.3,37.6,50.2,25.7,45.6,31.5,25.7,34.3,37.2,45.6,50.2,51.7,38.1
10-14,39.4,29.2,43.2,51.6,51.0,29.5,22.2,40.0,49.9,23.4,44.5,36.8,22.2,23.4,29.5,44.5,51.0,51.6,40.0
10-15,44.0,25.3,46.2,48.7,50.7,40.8,22.8,41.8,40.2,29.5,44.2,,22.8,25.3,40.2,44.2,48.7,50.7,41.8
10-16,46.0,29.3,45.5,47.9,49.2,44.5,29.4,46.0,44.2,37.8,40.9,,29.3,29.4,40.9,46.0,47.9,49.2,44.5
10-17,36.3,33.5,44.0,43.1,38.0,45.8,30.4,45.3,47.1,39.1,40.8,,30.4,33.5,38.0,44.0,45.8,47.1,40.8
10-18,40.9,32.6,43.9,41.9,37.7,46.5,30.4,31.2,47.3,32.8,42.4,,30.4,31.2,32.8,42.4,46.5,47.3,40.9
10-19,45.9,36.6,42.4,38.6,31.2,46.4,35.1,34.3,46.8,27.6,43.3,,27.6,31.2,35.1,43.3,46.4,46.8,38.6
10-20,48.4,37.3,44.5,36.9,37.9,37.3,37.9,23.8,46.0,32.3,44.4,,23.8,32.3,37.3,44.4,46.0,48.4,37.9
