date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,52.8,48.7,47.2,46.8,34.6,55.1,45.6,42.0,50.4,40.0,49.5,41.6,46.2,38.8,34.6,40.3,44.1,49.0,52.3,55.1,46.8
10-02,51.2,46.2,48.4,47.1,37.8,46.9,46.5,28.5,47.3,39.2,52.4,43.6,44.9,36.8,28.5,38.0,44.3,47.2,50.6,52.4,46.5
10-03,47.8,46.7,52.9,34.3,43.3,41.6,34.7,34.9,49.0,46.7,49.9,44.1,43.1,37.7,34.3,34.7,42.5,47.2,49.7,52.9,44.1
10-04,41.7,44.5,50.9,24.2,45.0,44.2,34.9,46.3,41.5,45.6,50.6,46.7,41.8,40.6,24.2,36.2,41.7,45.9,49.8,50.9,44.5
10-05,39.7,36.2,46.1,30.7,45.0,39.7,36.3,45.1,37.5,43.6,51.3,42.7,41.7,43.5,30.7,36.2,38.8,44.2,45.9,51.3,41.7
10-06,37.6,24.9,42.0,40.5,45.9,38.3,32.3,37.9,34.3,38.4,50.4,41.9,42.3,44.4,24.9,32.7,37.8,41.9,45.2,50.4,38.4
10-07,38.7,24.4,38.4,44.1,46.9,42.4,36.5,45.8,31.9,42.9,51.3,43.8,43.2,46.0,24.4,32.8,38.6,43.9,46.7,51.3,42.9
10-08,37.0,30.7,42.2,42.9,46.3,46.3,42.3,41.8,31.7,47.5,52.6,39.1,43.6,46.8,30.7,32.8,40.7,44.7,47.3,52.6,42.3
10-09,37.2,30.4,43.6,39.8,43.7,47.5,44.7,27.3,33.1,42.5,51.6,34.7,42.6,46.1,27.3,30.9,36.2,43.6,46.9,51.6,42.5
10-10,40.0,35.7,44.5,32.2,43.4,49.5,46.8,33.8,33.3,21.6,49.8,35.0,42.5,46.6,21.6,32.4,34.5,43.9,48.9,49.8,40.0
10-11,42.3,42.0,42.5,32.4,45.0,49.7,46.3,43.6,34.8,29.0,43.2,35.3,45.3,37.6,29.0,32.8,39.3,44.2,46.1,49.7,42.5
10-12,40.2,41.4,35.0,34.9,35.8,49.1,44.5,42.7,34.4,33.9,45.5,26.4,45.9,32.4,26.4,34.0,35.0,43.4,45.8,49.1,40.2
10-13,39.6,43.0,37.9,34.5,36.9,50.3,45.4,41.4,37.8,39.1,49.7,26.5,44.2,35.0,26.5,35.0,37.9,43.5,48.9,50.3,39.6
10-14,42.6,47.1,38.8,29.8,43.7,50.2,49.2,33.7,25.4,40.4,53.3,25.6,43.7,39.3,25.4,26.5,36.7,45.0,50.0,53.3,42.6
10-15,42.3,49.3,41.6,27.3,48.2,48.5,49.9,40.9,21.7,41.1,44.2,29.4,43.6,,21.7,27.7,41.0,45.8,49.2,49.9,42.3
10-16,43.5,48.6,45.7,29.9,45.1,46.9,48.6,43.5,29.5,45.5,44.3,38.5,38.7,,29.5,31.6,41.6,45.6,48.2,48.6,44.3
10-17,41.7,40.0,38.5,33.6,45.1,42.7,42.2,46.0,29.6,46.5,47.7,40.9,39.1,,29.6,34.6,39.6,43.6,46.4,47.7,41.7
10-18,37.4,38.0,40.1,33.0,43.6,42.9,39.3,46.6,29.5,34.0,49.5,32.9,39.9,,29.5,32.9,36.0,41.2,46.0,49.5,39.3
10-19,37.2,41.5,41.7,34.6,42.5,38.6,32.5,47.0,34.4,37.3,49.4,29.3,41.3,,29.3,32.9,36.1,41.6,46.1,49.4,38.6
10-20,39.8,38.5,45.8,36.6,42.9,36.5,38.2,39.8,37.7,26.7,48.0,34.1,42.7,,26.7,34.6,37.2,41.0,45.2,48.0,38.5
10-21,38.7,39.5,43.6,34.5,44.1,36.2,45.1,30.2,38.7,33.9,48.9,39.6,42.5,,30.2,34.0,37.7,42.9,44.9,48.9,39.5
10-22,35.6,39.1,42.4,36.5,41.6,36.9,47.8,43.3,37.6,39.4,47.7,41.6,38.4,,35.6,36.6,38.1,41.9,46.8,47.8,39.4
10-23,36.0,40.5,40.7,36.9,45.8,35.6,46.8,44.3,36.8,36.7,43.6,38.5,21.4,,21.4,35.7,36.7,41.8,45.5,46.8,38.5
10-24,40.4,44.2,28.4,38.4,48.2,37.5,43.3,41.6,36.6,29.7,45.5,40.0,22.1,,22.1,28.7,37.2,42.3,45.2,48.2,40.0
10-25,26.3,39.1,21.8,37.4,47.9,39.6,40.9,43.9,37.4,40.6,29.2,43.3,31.7,,21.8,26.9,35.1,40.7,43.8,47.9,39.1
10-26,23.9,24.0,23.4,37.8,43.3,40.6,41.7,41.3,40.0,44.9,10.6,26.5,30.4,,10.6,23.5,25.5,40.9,43.0,44.9,37.8
10-27,21.9,26.1,34.0,38.9,34.2,38.6,47.4,39.5,43.7,26.7,24.7,32.7,20.4,,20.4,22.4,26.5,38.7,42.9,47.4,34.0
10-28,33.1,29.1,37.4,34.8,36.6,39.2,48.0,38.6,46.0,20.8,37.1,38.8,27.7,,20.8,28.0,34.1,38.7,44.6,48.0,37.1
