date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,49.1,49.0,38.9,48.9,27.8,54.8,50.5,50.2,47.1,34.3,54.7,45.9,33.4,47.8,37.2,51.3,44.2,41.4,38.4,27.8,34.1,41.7,49.1,52.3,54.8,47.5
10-02,51.5,44.0,37.0,49.8,32.6,54.1,48.1,50.8,46.3,38.6,43.0,45.4,27.8,49.2,34.2,50.1,44.4,43.8,35.7,27.8,33.8,43.1,49.1,51.0,54.1,44.9
10-03,48.1,41.5,44.3,45.0,36.0,53.1,47.2,49.0,32.4,42.4,40.8,34.0,31.0,47.8,41.0,50.6,47.2,44.9,35.2,31.0,33.5,41.1,47.2,49.5,53.1,44.6
10-04,35.4,43.2,47.0,38.7,33.9,45.4,43.8,44.2,28.2,44.6,43.7,32.7,39.0,40.7,37.5,50.3,48.1,45.1,37.9,28.2,33.5,38.7,44.6,47.4,50.3,43.4
10-05,32.4,44.0,42.9,36.7,25.9,43.1,37.8,40.3,34.5,46.1,43.6,31.2,40.2,36.2,36.9,50.1,46.3,45.0,42.9,25.9,32.1,36.7,43.6,46.2,50.1,40.2
10-06,36.7,40.4,29.7,38.0,28.3,41.5,29.2,34.4,42.7,47.8,43.1,30.2,37.9,34.8,37.1,50.8,40.5,46.5,44.9,28.3,29.5,35.0,41.4,46.9,50.8,38.0
10-07,42.9,36.1,29.5,42.4,35.2,38.8,29.0,35.7,44.1,48.3,45.6,35.8,43.9,34.8,42.7,51.1,41.8,47.0,47.0,29.0,33.2,35.8,43.8,47.4,51.1,42.1
10-08,40.6,37.5,37.7,44.2,32.2,35.4,34.0,41.9,41.9,46.9,49.0,41.6,34.5,32.1,45.1,52.2,38.5,46.8,48.0,32.1,33.4,37.5,43.9,47.6,52.2,41.1
10-09,34.7,35.6,42.4,41.1,36.4,38.5,32.6,44.4,41.4,45.4,48.0,44.3,29.8,30.1,34.5,51.4,34.3,46.6,48.0,29.8,31.9,34.8,44.1,47.1,51.4,39.8
10-10,34.3,34.5,45.1,34.8,34.7,42.3,35.8,46.9,34.3,43.7,51.4,44.9,33.5,31.1,21.5,50.9,34.8,45.2,47.6,21.5,32.8,34.5,44.8,48.1,51.4,35.3
10-11,37.0,38.4,42.2,29.5,38.1,42.8,38.8,47.5,32.4,43.5,50.5,43.2,38.1,31.7,29.1,34.6,35.5,44.3,35.4,29.1,31.1,35.7,42.7,45.3,50.5,38.3
10-12,38.6,40.1,42.5,21.6,40.6,40.6,40.4,38.8,34.7,33.7,48.3,41.5,36.8,33.1,35.6,41.5,29.8,46.0,31.1,21.6,32.1,35.7,40.6,43.6,48.3,39.4
10-13,41.9,41.2,38.1,24.9,38.4,41.4,43.1,38.9,35.7,37.0,49.6,44.6,36.2,35.5,38.5,47.5,25.7,46.5,31.7,24.9,32.6,37.1,41.9,46.8,49.6,38.7
10-14,45.0,37.6,37.1,34.8,38.8,44.5,44.2,40.5,30.4,43.0,49.9,47.0,28.3,23.0,39.6,43.6,24.3,46.3,36.3,23.0,27.1,37.2,44.2,46.5,49.9,40.1
10-15,43.6,39.8,39.3,37.6,38.8,44.9,48.3,43.7,25.0,42.7,48.9,50.7,38.1,26.5,41.7,35.2,28.6,44.1,,25.0,28.0,38.2,43.7,48.5,50.7,40.8
10-16,42.8,34.3,36.3,41.5,39.9,44.2,46.4,42.1,29.6,42.2,47.4,47.8,42.6,33.8,45.5,40.6,39.0,40.3,,29.6,34.2,40.0,42.8,46.7,47.8,41.8
10-17,43.9,29.1,28.9,43.6,42.5,43.7,37.2,35.4,32.8,44.7,45.3,34.8,44.5,34.7,43.1,45.4,39.5,43.7,,28.9,31.7,35.6,43.7,44.9,45.4,42.8
10-18,41.0,26.6,31.3,43.6,46.5,40.1,38.5,40.8,33.3,44.5,44.8,31.6,44.2,34.5,31.3,45.6,34.0,46.4,,26.6,31.3,34.0,44.2,45.9,46.5,40.5
