date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.1,39.3,51.3,50.1,40.2,50.5,24.8,55.9,51.9,50.9,47.8,32.3,57.5,49.1,31.6,49.3,35.5,52.4,44.5,42.6,39.4,24.8,32.2,41.9,50.6,52.8,57.5,49.2
10-02,45.5,42.1,50.0,44.7,36.4,50.4,31.0,56.3,49.9,51.7,45.2,36.5,42.2,47.8,26.2,51.2,33.9,51.4,46.4,46.9,34.6,26.2,33.6,42.2,49.9,51.5,56.3,45.9
10-03,41.7,42.2,40.7,42.4,47.0,46.5,36.6,52.6,48.4,47.7,29.7,41.4,40.5,32.4,33.3,46.9,46.3,51.5,47.9,46.0,34.9,29.7,33.2,41.2,46.9,48.7,52.6,44.2
10-04,43.7,41.7,29.5,45.0,49.2,38.6,33.6,45.1,45.2,45.1,26.4,43.4,44.0,31.6,40.0,40.7,37.9,51.5,50.0,45.2,37.8,26.4,31.4,39.6,45.1,49.3,51.5,43.5
10-05,45.3,41.2,28.7,45.4,41.6,34.9,24.0,43.8,38.5,37.2,31.0,45.0,46.0,30.3,39.5,34.6,35.1,51.8,48.6,46.8,42.4,24.0,30.2,35.0,45.0,46.9,51.8,40.3
10-06,46.8,41.5,36.4,40.5,27.5,36.7,27.2,42.0,27.3,34.3,42.3,46.5,44.7,29.8,35.2,34.4,36.5,51.4,43.2,47.7,45.4,27.2,27.5,35.0,42.5,46.9,51.4,38.6
10-07,46.9,44.5,46.0,35.9,27.9,43.0,34.6,38.8,27.5,35.3,47.9,48.2,45.7,37.7,44.9,34.2,45.3,52.8,44.5,48.5,48.1,27.5,33.6,37.2,45.8,48.2,52.8,44.5
10-08,49.3,47.4,39.7,37.0,37.9,44.9,30.6,35.0,31.8,42.8,43.4,47.3,48.1,44.9,32.6,32.4,46.9,54.3,39.7,47.9,48.6,30.6,32.3,37.6,47.0,48.2,54.3,43.1
10-09,52.6,47.4,30.7,35.3,44.8,40.9,34.0,37.8,31.9,45.5,40.9,46.7,48.8,47.2,29.1,31.0,33.0,53.1,33.6,47.9,48.7,29.1,31.0,33.9,46.8,49.2,53.1,40.9
10-10,35.7,39.7,33.3,33.6,46.7,29.5,32.3,41.1,35.0,47.9,34.3,45.2,53.5,47.3,38.0,30.2,19.1,51.8,34.9,46.6,49.4,19.1,30.1,34.1,45.7,48.3,53.5,36.9
10-11,36.6,39.3,34.8,36.0,41.4,25.0,36.5,41.4,38.0,49.2,31.4,43.8,49.7,44.3,43.5,31.6,28.7,34.5,36.0,44.8,34.7,25.0,31.1,35.6,42.0,45.3,49.7,37.3
10-12,44.6,41.7,36.8,38.8,43.4,20.3,40.6,38.7,38.1,40.5,35.8,33.1,48.8,41.9,36.4,32.8,36.6,42.1,29.1,45.8,30.1,20.3,32.5,36.6,41.7,44.7,48.8,38.7
10-13,30.5,38.1,41.4,41.3,36.4,22.8,37.7,41.0,43.1,36.1,35.4,36.7,51.4,47.2,37.3,34.3,40.7,48.7,25.0,46.7,33.2,22.8,29.9,36.3,41.3,47.4,51.4,37.9
10-14,40.0,42.7,47.2,39.8,37.3,32.8,38.3,45.9,45.4,39.9,29.6,47.3,51.3,49.9,26.3,22.2,40.9,43.1,23.7,46.8,38.9,22.2,26.1,38.0,45.5,47.5,51.3,40.4
10-15,43.1,44.1,44.5,40.7,39.8,38.5,37.8,45.2,50.0,44.1,25.8,47.6,51.4,50.8,40.6,26.2,42.7,33.9,28.1,45.6,,25.8,27.9,39.4,44.7,50.1,51.4,42.9
10-16,43.7,46.3,41.0,32.2,37.9,41.2,39.6,45.7,45.9,41.4,28.6,42.6,50.9,46.6,44.8,35.1,48.5,40.9,40.5,42.0,,28.6,34.8,40.8,45.1,46.8,50.9,41.7
10-17,49.5,37.2,43.0,27.6,27.3,44.2,45.4,43.4,34.9,31.8,32.3,46.7,46.9,33.3,46.9,35.9,44.0,45.2,43.1,45.3,,27.3,31.4,35.6,45.3,46.9,49.5,43.3
10-18,51.4,30.1,41.6,25.1,28.4,45.3,48.9,41.3,37.2,38.2,31.7,46.2,45.8,31.3,45.7,35.4,28.8,45.5,35.9,47.5,,25.1,28.7,34.3,45.5,47.7,51.4,39.7
10-19,49.2,33.5,39.2,31.9,42.8,42.8,43.7,40.3,42.7,44.4,36.1,46.3,40.5,30.1,47.6,40.2,28.7,44.9,30.7,48.8,,28.7,30.6,38.3,43.9,47.7,49.2,41.6
10-20,50.0,33.9,38.8,31.6,30.6,42.9,33.8,43.5,40.2,48.4,37.7,47.1,38.8,37.6,35.3,42.9,22.3,44.9,34.5,47.3,,22.3,31.5,35.1,43.1,47.4,50.0,38.8
10-21,52.3,31.9,39.4,27.0,22.2,31.5,32.8,43.0,41.8,42.8,36.7,41.1,37.4,46.5,28.1,43.3,27.9,46.7,41.5,46.1,,22.2,27.8,32.5,42.9,46.5,52.3,40.2
10-22,53.0,26.1,42.6,30.0,28.7,29.1,34.7,39.7,40.2,41.4,41.4,38.2,39.0,47.0,40.6,41.9,34.7,32.8,42.7,34.8,,26.1,29.1,34.7,41.4,43.2,53.0,39.4
10-23,45.6,30.2,43.5,38.5,39.7,37.3,35.8,35.9,42.2,32.7,42.8,46.7,37.3,47.5,39.9,38.8,29.0,30.7,35.2,22.9,,22.9,30.1,35.6,40.6,45.7,47.5,37.9
10-24,35.5,29.6,45.6,40.6,46.9,38.4,34.2,36.5,45.0,25.1,43.2,49.2,41.0,42.6,41.4,39.1,26.6,40.4,37.2,24.0,,24.0,26.5,36.2,41.7,45.7,49.2,39.7
10-25,28.7,30.7,42.1,26.8,46.4,42.0,25.8,24.3,33.4,20.9,42.2,49.7,42.7,42.4,45.3,35.2,38.8,17.2,40.4,28.3,,17.2,24.0,28.6,42.1,45.4,49.7,37.0
10-26,36.4,32.8,39.7,25.6,43.5,42.5,33.8,21.9,23.2,22.3,40.8,38.1,41.5,44.9,39.1,39.0,38.4,13.1,27.4,24.9,,13.1,22.3,26.9,39.3,42.6,44.9,37.2
10-27,41.7,34.5,39.6,33.1,41.4,46.0,23.0,21.6,27.5,31.9,40.9,28.6,34.3,48.4,38.1,44.5,18.4,28.1,31.1,22.8,,18.4,22.7,28.4,40.0,44.6,48.4,33.7
10-28,41.7,27.0,33.1,38.3,43.1,46.3,18.4,31.8,31.6,38.0,34.5,34.3,36.3,48.2,38.9,46.8,14.9,36.6,35.9,31.4,,14.9,26.2,32.7,38.5,46.3,48.2,36.1
10-29,39.4,24.7,29.5,38.5,45.2,44.9,16.9,37.8,35.4,41.2,27.0,40.5,32.4,45.4,42.7,40.0,8.7,38.7,40.6,33.4,,8.7,23.9,33.1,40.5,44.9,45.4,38.6
10-30,23.5,27.7,26.5,32.9,37.8,45.0,28.5,35.9,36.5,42.6,25.7,44.3,31.6,46.7,36.6,26.7,8.8,40.5,42.3,33.0,,8.8,25.5,28.3,38.6,44.4,46.7,34.4
10-31,21.0,18.4,30.5,27.6,33.5,44.2,35.0,33.2,39.2,44.4,28.8,45.8,38.8,34.3,34.5,25.8,28.0,40.2,41.6,36.2,,18.4,25.4,30.0,38.9,44.2,45.8,34.4
11-01,22.7,13.5,39.3,26.2,33.2,45.0,37.4,33.2,26.1,41.8,32.1,40.0,42.7,33.8,40.9,32.2,26.7,43.7,40.3,38.5,,13.5,25.7,32.2,40.1,42.8,45.0,35.6
11-02,23.2,27.9,40.8,35.3,31.4,35.6,37.1,40.9,19.8,36.5,38.1,28.9,42.8,32.3,41.0,36.5,33.2,47.0,35.1,27.5,,19.8,27.1,32.1,37.4,41.2,47.0,35.5
11-03,20.7,32.8,33.0,34.3,34.9,32.2,39.6,41.6,30.5,36.4,23.4,24.5,34.9,38.7,37.5,29.6,36.5,47.1,35.3,19.6,,19.6,23.2,31.7,36.4,39.8,47.1,34.6
