date,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,59.2,48.9,45.2,52.0,43.8,55.1,42.9,49.7,40.8,42.9,43.5,45.6,51.8,56.3,59.2,49.3
10-02,49.9,48.7,29.4,48.7,42.6,56.7,47.3,49.4,39.0,29.4,38.7,47.4,49.3,51.9,56.7,48.7
10-03,46.2,36.7,39.8,51.2,49.7,54.6,48.7,46.4,39.6,36.7,38.9,46.2,49.6,52.2,54.6,47.5
10-04,48.3,37.2,50.2,43.2,48.3,56.4,50.6,46.0,42.7,37.2,41.4,46.3,50.0,52.4,56.4,48.3
10-05,41.4,40.3,50.2,41.6,45.9,56.8,45.3,46.8,47.0,40.3,41.0,42.0,46.7,52.2,56.8,45.6
10-06,41.3,36.2,42.0,37.7,41.8,56.7,43.9,47.8,48.4,36.2,37.2,41.3,43.7,50.4,56.7,41.9
10-07,45.1,40.5,50.6,33.3,47.3,57.6,46.7,48.4,50.6,33.3,38.3,45.3,48.3,52.7,57.6,47.0
10-08,49.3,47.0,46.7,32.9,52.2,57.3,41.6,48.3,52.7,32.9,39.0,46.7,49.2,53.8,57.3,47.7
10-09,51.6,49.2,29.5,35.1,47.3,55.9,37.1,47.3,52.3,29.5,33.4,38.1,49.0,52.9,55.9,47.3
10-10,53.4,50.0,37.2,36.0,24.9,53.2,37.6,48.3,51.6,24.9,32.7,37.3,49.8,53.2,53.4,42.9
10-11,53.8,48.7,46.2,36.0,33.7,46.0,39.3,49.9,41.6,33.7,35.3,40.0,48.5,51.1,53.8,46.1
10-12,54.7,49.2,46.8,37.0,39.5,49.0,27.6,50.5,32.7,27.6,34.2,40.2,49.2,51.8,54.7,47.9
10-13,56.3,50.4,45.9,41.4,44.6,54.5,28.5,49.7,35.9,28.5,37.6,44.7,50.4,55.0,56.3,47.8
10-14,55.8,50.9,38.3,28.4,44.8,55.8,28.2,50.1,42.2,28.2,28.3,38.9,50.8,55.8,55.8,47.4
10-15,54.3,51.1,45.9,23.4,46.7,48.2,31.0,50.4,,23.4,28.7,45.9,50.1,52.1,54.3,47.4
10-16,51.1,48.9,50.2,31.7,50.7,48.0,42.8,43.2,,31.7,39.5,43.7,50.1,50.8,51.1,48.5
10-17,44.5,44.3,51.5,31.2,48.6,52.3,45.0,44.7,,31.2,40.4,44.5,48.2,51.8,52.3,44.9
10-18,45.6,42.6,51.4,32.7,37.8,52.7,36.0,46.0,,32.7,35.0,38.2,46.0,51.8,52.7,44.1
10-19,40.5,35.9,49.9,37.0,39.8,52.9,32.6,48.5,,32.6,34.9,37.2,47.7,50.8,52.9,40.1
10-20,38.0,41.5,43.2,42.2,28.8,52.7,38.5,49.4,,28.8,35.2,38.8,43.1,50.4,52.7,41.9
10-21,37.3,50.2,32.1,44.2,35.2,52.7,44.2,47.6,,32.1,34.2,38.0,47.2,50.9,52.7,44.2
10-22,38.6,50.9,47.1,41.6,41.2,51.1,45.6,42.3,,38.6,40.4,41.7,47.0,51.0,51.1,43.9
10-23,38.2,51.0,47.4,40.4,39.5,46.9,40.7,24.7,,24.7,34.2,39.6,46.3,48.5,51.0,40.6
10-24,40.6,46.1,45.7,40.3,30.5,47.3,42.2,26.1,,26.1,29.1,40.3,45.3,46.5,47.3,41.4
10-25,42.7,42.7,48.3,39.7,44.0,32.5,45.0,36.1,,32.5,35.1,40.0,43.8,46.0,48.3,42.7
10-26,41.6,45.7,44.9,43.6,48.3,9.8,28.6,34.3,,9.8,22.9,35.1,44.7,46.5,48.3,42.6
10-27,41.4,51.0,42.1,48.6,31.2,26.3,33.3,24.4,,24.4,25.7,31.4,42.0,49.3,51.0,37.4
10-28,41.7,50.5,41.2,50.3,20.8,39.0,39.8,32.9,,20.8,29.3,39.1,41.7,50.4,50.5,40.5
10-29,34.9,46.8,47.3,47.4,19.8,41.3,44.6,37.1,,19.8,30.4,37.5,46.6,47.3,47.4,42.9
10-30,33.0,48.0,47.1,32.5,13.6,42.9,46.8,36.3,,13.6,26.8,33.3,46.4,47.4,48.0,39.6
10-31,40.9,43.6,44.2,30.2,37.8,45.1,44.2,40.2,,30.2,35.5,40.3,44.2,44.5,45.1,42.3
11-01,47.3,38.8,45.3,35.2,36.7,46.4,43.1,40.2,,35.2,36.2,38.9,45.1,46.7,47.3,41.6
11-02,43.6,37.0,43.7,40.8,39.3,49.0,40.1,34.8,,34.8,36.3,39.4,43.3,45.3,49.0,40.5
11-03,35.5,41.7,38.7,33.6,44.1,47.8,39.2,24.4,,24.4,30.9,35.8,41.5,45.2,47.8,38.9
11-04,26.6,40.2,39.8,38.3,42.1,46.9,45.7,24.4,,24.4,26.0,38.5,41.9,46.1,46.9,40.0
11-05,25.1,38.9,36.6,35.4,42.3,47.9,47.1,37.8,,25.1,32.3,36.7,42.0,47.4,47.9,38.3
11-06,24.2,42.3,35.6,34.2,41.3,47.3,46.4,39.4,,24.2,31.2,36.0,42.2,46.7,47.3,40.3
11-07,26.7,42.3,34.0,31.9,41.1,37.0,43.9,39.0,,26.7,30.3,34.3,40.9,42.7,43.9,38.0
11-08,33.7,42.8,37.9,24.1,41.9,21.4,42.1,36.5,,21.4,23.3,34.0,41.5,42.3,42.8,37.2
11-09,35.3,43.9,40.6,30.2,46.2,18.5,37.6,25.6,,18.5,23.5,30.7,40.3,44.6,46.2,36.5
11-10,26.2,44.1,42.5,34.7,45.9,20.9,34.4,19.8,,19.8,20.6,27.0,41.7,44.6,45.9,34.6
11-11,25.9,43.1,38.5,20.5,36.9,28.9,35.8,21.6,,20.5,21.2,26.2,36.8,39.9,43.1,32.4
