date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.8,44.6,31.1,55.4,45.1,29.4,46.8,32.1,43.2,38.3,38.0,38.7,29.4,31.1,38.0,44.6,46.8,55.4,43.2
10-02,47.8,42.4,35.7,40.3,44.5,24.2,50.9,31.4,44.4,40.4,42.5,36.1,24.2,31.4,40.3,44.4,47.8,50.9,42.4
10-03,44.9,27.7,38.8,38.8,32.6,30.4,46.0,42.8,42.9,41.4,40.3,35.7,27.7,30.4,38.8,42.8,44.9,46.0,40.3
10-04,40.6,23.5,40.9,41.1,30.4,41.3,42.0,38.0,45.7,45.0,38.7,36.7,23.5,30.4,38.7,41.3,45.0,45.7,40.9
10-05,33.6,30.6,41.7,42.8,28.0,35.4,33.6,33.4,45.8,46.5,38.8,38.6,28.0,30.6,33.6,41.7,45.8,46.5,35.4
10-06,27.3,38.8,44.6,40.6,25.3,34.0,30.9,31.2,43.9,39.7,39.7,37.8,25.3,27.3,31.2,39.7,43.9,44.6,38.8
10-07,29.9,45.4,44.7,41.0,31.9,46.0,29.3,38.9,42.8,41.2,40.8,41.0,29.3,29.9,38.9,42.8,45.4,46.0,41.0
10-08,39.9,42.5,40.9,43.2,38.5,31.7,25.8,44.8,48.6,38.1,40.6,43.7,25.8,31.7,38.5,42.5,44.8,48.6,40.6
10-09,42.0,39.6,39.5,42.6,44.2,21.6,26.4,35.0,47.3,33.8,40.8,41.3,21.6,26.4,35.0,42.0,44.2,47.3,39.6
10-10,43.8,33.8,39.1,48.6,45.3,31.8,25.1,16.0,47.8,35.4,41.4,45.0,16.0,25.1,33.8,43.8,47.8,48.6,39.1
10-11,46.4,28.6,41.8,49.6,41.2,42.4,25.7,24.4,32.1,36.0,42.9,33.4,24.4,25.7,32.1,42.4,46.4,49.6,41.2
10-12,38.7,32.0,29.8,45.1,37.8,34.7,27.7,30.8,42.5,24.6,41.4,28.9,24.6,27.7,30.8,38.7,42.5,45.1,34.7
10-13,36.5,35.7,32.6,45.6,44.9,34.1,32.2,35.4,48.3,25.5,39.5,28.7,25.5,32.2,34.1,39.5,45.6,48.3,35.7
10-14,37.0,27.0,44.1,46.3,50.1,23.8,14.6,37.8,42.2,23.0,39.9,32.4,14.6,23.0,27.0,42.2,46.3,50.1,37.8
