date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.1,47.8,32.4,55.0,46.0,34.4,51.0,37.0,51.2,44.1,44.8,39.2,32.4,34.4,44.1,51.0,51.2,55.0,46.0
10-02,51.3,47.9,37.5,43.7,46.0,26.3,48.9,35.0,51.5,45.1,46.2,35.0,26.3,35.0,43.7,47.9,51.3,51.5,46.0
10-03,51.8,32.6,42.7,41.5,32.2,31.7,47.7,42.6,50.6,46.9,46.1,36.0,31.7,32.2,41.5,46.9,50.6,51.8,42.7
10-04,48.2,25.1,45.4,45.6,32.2,41.0,40.2,39.7,50.5,47.8,45.5,39.4,25.1,32.2,40.2,45.6,48.2,50.5,45.4
10-05,42.5,32.3,46.5,42.4,33.6,41.4,34.7,38.2,50.2,44.5,45.7,44.7,32.3,33.6,38.2,44.5,46.5,50.2,42.4
10-06,38.7,44.3,47.5,41.1,31.4,36.0,34.2,37.9,49.5,42.3,46.7,46.0,31.4,34.2,37.9,44.3,47.5,49.5,41.1
10-07,36.7,44.7,47.7,44.9,36.7,45.1,33.5,43.4,51.5,43.4,48.2,47.4,33.5,36.7,43.4,45.1,48.2,51.5,44.7
10-08,42.7,41.9,47.8,48.1,42.4,36.9,32.1,46.3,51.4,38.9,47.5,47.7,32.1,36.9,41.9,47.5,48.1,51.4,42.7
10-09,43.8,40.6,46.1,49.0,45.0,28.2,31.8,37.8,50.7,33.6,46.6,47.3,28.2,31.8,37.8,46.1,49.0,50.7,43.8
10-10,46.0,32.4,44.8,50.6,45.6,32.0,29.1,19.4,50.3,34.5,46.3,49.4,19.4,29.1,32.4,46.0,50.3,50.6,44.8
10-11,44.5,31.6,43.9,50.6,45.7,38.6,32.5,29.4,39.0,34.0,47.1,35.9,29.4,31.6,34.0,44.5,47.1,50.6,39.0
10-12,36.1,35.9,33.9,50.2,43.1,39.7,34.2,35.3,44.2,29.0,48.7,29.7,29.0,33.9,35.3,43.1,48.7,50.2,36.1
10-13,36.4,34.2,36.8,51.1,45.8,38.9,34.8,37.9,49.1,26.0,46.8,32.6,26.0,34.2,36.4,45.8,49.1,51.1,37.9
10-14,41.1,29.1,42.1,51.0,49.4,28.6,22.4,39.0,48.8,24.1,46.5,37.8,22.4,24.1,29.1,46.5,49.4,51.0,41.1
10-15,43.4,25.9,43.8,49.6,51.4,40.9,25.9,41.2,38.2,29.4,45.5,,25.9,25.9,38.2,43.8,49.6,51.4,41.2
