date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,46.8,54.7,57.2,49.8,56.8,39.7,61.9,56.1,58.3,53.6,44.4,60.6,52.9,52.2,56.8,45.0,58.1,48.9,55.4,45.0,39.7,44.9,50.8,56.8,58.7,61.9,54.7
10-02,48.0,58.3,55.2,48.7,55.9,45.1,58.8,56.1,59.4,52.2,45.1,52.5,52.9,41.5,54.3,46.4,59.4,51.4,53.2,41.4,41.5,45.1,49.8,55.7,58.9,59.4,52.9
10-03,47.3,58.6,52.9,52.7,53.8,49.1,55.0,52.9,62.2,44.8,50.0,48.7,42.8,45.7,55.6,49.6,59.2,48.6,50.5,44.8,42.8,45.5,48.9,53.4,58.7,62.2,50.5
10-04,49.3,47.5,53.8,55.4,44.4,47.1,46.6,50.7,57.9,35.2,51.6,49.1,43.3,52.2,47.1,52.2,58.1,53.4,51.8,47.8,35.2,44.2,47.3,52.2,55.9,58.1,50.7
10-05,48.2,41.4,53.2,48.2,43.0,39.0,43.9,40.6,55.9,39.6,52.7,46.9,46.2,49.8,45.9,49.3,60.1,47.7,52.2,51.1,39.0,40.4,44.7,49.6,53.8,60.1,47.7
10-06,49.1,45.0,48.0,34.5,45.5,39.4,44.1,33.1,50.9,48.0,53.4,43.3,42.8,45.0,40.5,47.7,57.7,47.5,51.3,52.5,33.1,38.4,43.6,48.0,51.7,57.7,45.5
10-07,50.9,51.6,43.7,37.4,49.6,39.9,45.7,34.5,48.4,49.8,51.6,48.4,45.1,50.7,38.3,49.3,57.2,48.6,52.2,54.1,34.5,38.1,45.4,50.4,51.7,57.2,48.6
10-08,52.0,49.6,46.0,45.3,52.5,43.7,44.1,38.3,51.3,48.6,54.3,53.8,48.6,49.6,39.7,53.4,57.7,44.6,53.1,54.5,38.3,42.9,45.6,52.3,53.9,57.7,49.6
10-09,52.2,42.6,43.0,51.3,53.6,48.2,46.6,39.4,52.9,44.2,52.2,54.3,51.8,37.9,41.7,50.5,56.1,43.3,51.4,54.7,37.9,41.3,43.7,52.0,53.7,56.1,50.5
10-10,45.9,41.0,43.5,51.8,47.5,50.0,48.4,44.2,52.3,36.5,53.4,55.2,53.2,41.0,45.9,32.4,53.8,42.6,50.9,54.7,32.4,40.1,43.8,51.4,53.5,55.2,47.5
