date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,44.3,44.0,34.7,42.2,24.4,48.9,45.8,44.4,43.2,29.4,48.3,40.0,28.3,44.5,34.2,45.7,38.4,36.6,34.5,24.4,29.1,36.7,44.4,46.6,48.9,42.7
10-02,45.7,40.7,33.1,43.8,28.8,48.0,42.5,46.0,42.3,33.1,38.4,39.9,21.4,44.7,31.8,44.2,38.2,39.1,31.8,21.4,30.9,38.2,43.7,45.8,48.0,40.3
10-03,43.8,37.9,40.0,39.9,31.6,47.5,41.5,43.9,28.0,38.1,36.0,29.3,26.0,42.9,37.6,44.7,41.2,40.1,31.8,26.0,28.9,37.7,41.5,44.1,47.5,40.0
10-04,31.6,38.5,41.8,34.4,29.8,40.9,38.9,40.8,22.0,40.9,38.4,27.6,36.2,36.8,35.4,43.8,41.7,39.3,34.4,22.0,29.1,35.4,40.7,41.7,43.8,38.4
10-05,26.2,39.4,37.7,31.8,18.3,37.3,32.8,35.1,31.9,41.0,38.0,26.4,35.7,33.1,32.1,44.4,41.2,39.3,39.6,18.3,26.4,32.1,38.0,41.1,44.4,35.4
10-06,31.7,36.2,24.8,32.9,22.1,37.0,24.1,29.2,40.3,43.6,37.5,24.6,33.3,30.4,32.3,43.9,37.5,41.0,39.7,22.1,24.5,30.6,37.4,41.8,43.9,33.1
10-07,37.8,32.4,23.6,37.4,31.4,34.2,23.1,31.6,41.4,43.3,39.4,31.3,41.4,30.7,39.7,42.5,37.6,41.5,42.1,23.1,28.6,31.7,39.7,41.8,43.3,37.5
10-08,36.0,32.6,32.6,40.6,28.0,29.9,27.9,38.8,38.4,41.4,43.2,36.8,31.6,28.2,41.4,44.8,34.9,41.0,42.7,27.9,28.1,32.6,40.4,41.9,44.8,36.4
10-09,30.6,31.9,36.9,38.4,30.2,33.0,27.1,39.7,35.9,39.3,42.5,40.1,23.6,25.1,32.7,45.8,30.8,40.2,41.6,23.6,26.5,30.9,39.2,40.9,45.8,34.4
10-10,29.7,30.0,40.4,31.1,30.9,36.7,30.3,41.5,29.8,38.4,46.8,40.8,30.1,26.9,15.9,46.0,32.1,40.5,42.1,15.9,28.8,30.2,40.2,42.9,46.8,31.6
10-11,33.2,33.3,37.6,25.4,33.2,37.0,33.6,41.5,27.1,39.1,46.6,37.8,34.4,26.4,26.5,31.9,30.6,40.8,32.4,25.4,26.5,32.1,37.5,41.0,46.6,33.5
10-12,32.7,36.0,38.4,14.9,35.8,35.3,33.0,33.7,28.3,28.3,43.5,37.3,33.7,29.6,32.5,39.5,26.0,43.1,28.0,14.9,27.6,32.5,36.0,40.6,43.5,33.7
10-13,37.8,37.0,33.8,19.8,34.0,36.7,37.8,33.9,30.2,32.5,45.0,40.7,33.4,30.4,35.4,44.5,22.2,42.5,27.9,19.8,27.8,33.4,37.7,43.1,45.0,34.7
10-14,39.5,32.4,32.3,30.1,35.0,40.3,40.9,35.4,23.9,39.5,44.8,43.7,24.0,16.0,36.0,40.4,19.2,42.2,33.1,16.0,22.5,32.3,40.3,42.6,44.8,35.7
10-15,37.1,35.1,34.4,32.1,34.2,40.3,44.0,40.0,18.5,38.9,42.4,44.8,36.9,22.8,37.6,33.7,26.1,39.2,,18.5,25.1,34.2,39.2,42.9,44.8,37.0
10-16,37.9,31.4,32.2,37.1,35.4,39.0,41.7,36.9,24.3,38.4,41.2,41.5,39.6,30.2,41.2,39.6,35.4,36.0,,24.3,31.0,35.5,39.5,41.3,41.7,37.5
10-17,38.9,25.2,24.2,38.5,38.8,38.0,32.7,31.6,26.7,39.3,39.6,29.6,40.8,29.9,38.3,41.7,34.9,38.4,,24.2,26.2,31.7,38.7,40.0,41.7,38.2
10-18,36.0,21.0,27.7,38.8,42.0,34.7,34.0,37.2,27.1,39.7,39.4,27.3,39.9,29.9,27.6,41.5,31.0,40.5,,21.0,27.3,30.0,39.3,40.8,42.0,35.4
10-19,36.4,30.6,38.6,37.0,41.5,35.2,37.9,39.9,32.9,39.1,34.3,24.1,41.0,33.4,24.9,41.4,25.3,42.3,,24.1,25.2,33.5,39.1,41.4,42.3,36.7
10-20,34.7,28.3,27.1,34.3,33.7,37.2,36.1,42.6,31.8,38.6,33.1,31.8,32.5,34.8,18.1,42.3,27.9,41.7,,18.1,27.7,31.9,36.0,41.9,42.6,34.0
10-21,34.8,21.7,17.4,27.9,29.9,39.4,37.3,36.9,31.8,37.2,33.3,39.1,24.8,37.5,23.4,42.7,35.4,40.3,,17.4,22.9,30.1,37.3,39.7,42.7,35.1
10-22,37.8,26.8,30.2,28.7,30.9,34.4,36.1,35.1,36.1,34.6,34.5,39.9,38.2,36.2,32.4,34.9,34.5,31.5,,26.8,29.7,32.6,36.0,38.0,39.9,34.6
10-23,37.4,35.4,40.9,37.0,31.8,32.1,38.3,31.2,35.6,40.0,32.2,41.7,37.2,33.5,25.1,27.4,30.1,18.5,,18.5,26.7,31.8,37.2,40.3,41.7,34.5
10-24,38.5,36.2,40.8,36.0,31.1,32.5,39.4,21.4,34.8,41.7,34.3,37.5,39.1,32.0,24.9,36.7,31.2,22.2,,21.4,24.1,32.1,37.4,39.8,41.7,35.4
10-25,36.5,24.3,40.6,40.3,22.7,19.9,31.0,13.7,34.6,41.5,35.2,35.5,40.9,31.0,39.0,17.5,36.4,24.9,,13.7,19.2,25.5,36.5,40.7,41.5,34.9
10-26,34.5,27.0,38.4,36.7,28.3,16.5,19.6,17.2,34.8,35.0,35.2,36.1,34.3,35.6,37.0,12.4,23.7,20.5,,12.4,17.0,24.0,35.2,36.8,38.4,34.4
