date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,56.5,44.6,57.7,28.2,62.1,59.5,54.9,49.2,34.8,60.7,52.2,34.2,53.4,36.4,56.0,48.6,42.8,42.9,28.2,34.5,44.2,56.1,60.0,62.1,52.2
10-02,47.9,38.2,56.4,34.8,63.0,56.5,55.6,43.8,39.5,45.8,52.3,28.7,53.2,34.2,53.1,50.5,47.1,37.6,28.7,34.5,43.0,53.1,56.4,63.0,47.9
10-03,47.4,48.9,51.3,41.5,59.4,55.5,46.5,31.6,44.4,44.7,36.5,34.8,50.1,45.9,54.2,51.4,48.7,37.2,31.6,35.8,44.7,50.3,54.7,59.4,47.4
10-04,48.8,51.3,41.6,34.2,49.3,48.6,42.7,29.0,46.5,46.5,35.5,38.2,42.7,38.9,53.9,54.4,49.5,40.8,29.0,35.0,41.1,48.9,52.3,54.4,46.5
10-05,49.4,42.0,37.6,27.9,49.3,41.6,38.4,34.4,49.2,49.1,34.5,39.7,36.7,34.5,53.2,53.3,51.0,45.0,27.9,34.4,37.4,49.2,51.9,53.3,41.6
10-06,43.7,30.2,40.3,30.9,47.7,29.6,36.5,45.8,50.9,48.3,33.4,38.5,37.0,37.8,53.4,47.2,52.5,48.8,29.6,30.6,36.9,47.3,51.5,53.4,40.3
10-07,37.4,31.6,47.5,36.9,43.9,30.8,38.3,52.3,52.3,49.9,41.0,47.8,35.9,45.4,56.4,45.8,53.1,51.3,30.8,34.2,38.1,48.2,52.6,56.4,45.4
10-08,40.1,43.5,46.7,33.3,37.8,34.0,44.9,45.0,52.3,51.5,48.3,33.0,34.4,49.9,57.0,42.4,52.6,52.0,33.0,33.8,39.6,48.6,52.4,57.0,44.9
10-09,37.8,51.4,40.2,35.5,41.5,37.2,48.6,42.6,52.8,53.1,51.6,32.3,33.1,31.7,55.5,35.7,52.2,53.8,31.7,32.8,36.9,51.5,52.9,55.5,41.5
10-10,36.7,50.1,28.2,32.2,45.3,39.9,51.1,36.6,50.0,58.0,52.6,40.7,30.4,19.6,52.8,37.3,50.5,51.5,19.6,29.5,36.7,50.2,52.7,58.0,40.7
10-11,38.9,42.9,25.6,35.8,44.4,40.3,53.3,34.9,47.1,52.0,47.2,46.3,33.7,29.1,32.3,36.9,48.7,36.1,25.6,31.0,35.6,46.5,50.0,53.3,40.3
10-12,42.1,45.9,23.5,44.7,42.4,41.4,45.7,39.7,36.9,51.7,43.2,34.8,36.0,38.2,42.4,26.9,49.0,32.9,23.5,31.7,37.9,43.5,47.1,51.7,42.1
10-13,45.3,39.6,27.1,41.8,45.6,47.8,39.1,37.3,40.3,55.3,50.2,37.4,35.3,43.6,48.8,26.6,50.1,37.4,26.6,32.0,38.7,46.1,50.2,55.3,41.8
