date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,42.2,56.1,29.1,59.4,56.7,52.8,46.1,34.0,58.3,50.0,33.0,49.9,34.8,53.4,46.8,41.6,44.2,29.1,33.5,41.9,53.1,57.5,59.4,48.4
10-02,35.4,55.1,32.8,59.9,54.1,53.3,42.1,38.1,46.1,49.5,29.7,53.5,32.8,52.2,48.6,45.3,39.0,29.7,32.8,40.1,52.8,54.6,59.9,47.4
10-03,45.3,49.5,39.2,57.7,52.0,44.9,31.6,41.8,45.1,36.7,34.1,49.8,41.9,52.4,48.9,46.9,38.0,31.6,35.4,41.9,49.2,52.2,57.7,45.2
10-04,49.1,40.7,34.3,48.4,47.0,39.3,30.1,44.8,45.4,36.2,37.0,43.2,37.1,51.9,51.0,47.5,40.5,30.1,35.2,38.2,47.2,50.0,51.9,44.0
10-05,43.4,36.9,28.3,48.2,41.9,35.9,34.1,47.1,49.1,34.3,38.2,36.3,33.3,52.0,51.9,48.8,42.9,28.3,33.7,36.1,47.6,50.5,52.0,40.1
10-06,29.7,38.1,29.1,48.5,30.5,33.9,42.6,49.0,47.7,33.3,37.2,36.6,35.7,51.3,48.4,50.4,46.3,29.1,30.1,34.8,48.0,49.7,51.3,37.6
10-07,30.1,44.7,33.3,43.0,32.1,36.1,48.6,49.7,48.2,38.2,46.1,38.8,41.7,53.2,46.2,50.6,48.8,30.1,32.7,38.5,47.2,50.2,53.2,43.8
10-08,40.5,43.2,33.5,38.4,34.9,42.6,42.2,49.4,50.0,45.3,33.9,36.7,47.1,54.6,40.2,49.9,49.1,33.5,34.4,39.3,46.2,50.0,54.6,42.4
10-09,48.7,38.9,35.4,42.0,35.7,45.4,41.6,49.1,50.7,47.2,31.5,32.7,31.0,53.1,37.1,49.9,50.8,31.0,32.1,36.4,48.0,50.3,53.1,41.8
10-10,47.7,26.9,31.8,44.2,38.5,48.3,37.2,47.6,54.8,49.5,37.8,31.0,19.4,52.2,37.7,48.5,49.2,19.4,29.0,37.5,48.0,50.8,54.8,41.4
10-11,40.3,25.3,33.5,43.8,40.0,51.1,33.4,44.7,51.0,46.1,43.0,32.9,27.0,34.4,37.3,47.7,37.4,25.3,30.0,34.0,44.2,49.3,51.1,40.1
10-12,44.6,23.0,40.8,40.1,39.8,47.4,37.9,36.4,48.4,39.5,34.2,34.3,35.9,42.1,30.3,46.6,35.1,23.0,32.2,36.1,41.4,47.0,48.4,39.7
10-13,39.0,25.7,41.3,42.7,43.7,40.0,37.7,37.5,51.7,46.1,35.7,33.3,40.4,49.5,27.1,47.5,38.0,25.7,30.2,37.6,43.2,48.5,51.7,40.2
10-14,40.2,34.1,40.8,46.7,47.3,41.8,32.4,47.0,52.3,49.9,26.9,24.3,40.8,41.5,26.8,46.9,40.0,24.3,26.8,37.1,46.8,48.6,52.3,41.2
10-15,41.4,39.9,41.5,47.4,51.0,44.7,29.7,48.8,52.1,46.5,36.0,28.7,42.7,33.6,29.7,46.7,,28.7,29.7,37.9,46.6,49.9,52.1,42.1
10-16,40.6,41.9,41.8,48.0,45.8,41.9,31.6,40.5,51.1,37.6,42.7,37.0,47.3,40.4,38.4,43.0,,31.6,37.3,40.4,42.8,47.7,51.1,41.8
10-17,29.3,46.0,46.0,47.5,37.3,32.9,34.0,46.3,50.2,32.9,45.9,39.6,44.8,48.3,43.9,47.4,,29.3,32.9,38.5,46.2,47.9,50.2,45.4
10-18,28.6,47.6,51.2,44.9,38.5,37.4,33.9,47.4,49.0,31.7,44.4,39.9,31.8,47.5,40.9,50.2,,28.6,31.8,38.0,47.4,49.6,51.2,42.7
10-19,42.3,45.9,42.9,42.2,42.8,44.3,37.7,47.3,41.9,31.0,47.1,41.7,30.7,46.3,34.7,50.1,,30.7,32.8,41.8,45.1,47.2,50.1,42.5
10-20,30.2,45.5,36.2,45.3,40.9,49.5,39.6,49.7,39.1,32.6,36.7,45.0,27.0,45.8,36.3,47.8,,27.0,31.4,36.5,45.4,48.6,49.7,40.3
10-21,25.5,32.4,34.7,46.4,44.2,43.9,38.7,40.7,40.7,40.3,31.2,46.0,31.5,45.6,41.9,49.0,,25.5,31.3,36.7,44.1,46.2,49.0,40.7
10-22,31.4,29.8,37.4,43.2,41.7,40.1,42.4,36.2,40.2,44.8,42.1,44.9,37.2,29.8,44.5,37.1,,29.8,30.6,37.2,42.3,44.7,44.9,40.2
10-23,43.8,38.6,37.0,38.3,42.7,29.5,44.3,45.3,38.8,45.7,40.8,39.7,32.7,29.5,34.2,26.3,,26.3,29.5,35.6,41.8,44.8,45.7,38.7
10-24,50.2,39.2,36.0,38.8,45.3,26.0,45.2,49.5,42.0,43.9,41.2,41.1,28.3,36.4,36.8,27.1,,26.0,27.7,36.6,43.0,47.4,50.2,40.1
10-25,48.8,43.3,27.9,27.4,31.9,24.4,43.5,51.9,44.1,43.3,44.3,37.6,37.2,14.7,40.8,29.4,,14.7,25.9,30.7,43.4,46.6,51.9,39.2
10-26,44.9,43.3,34.4,25.4,26.2,24.9,42.1,36.7,42.0,45.3,40.7,40.4,34.3,17.4,31.3,25.2,,17.4,25.0,28.7,41.4,44.1,45.3,35.6
10-27,41.6,48.0,24.1,23.4,29.2,33.4,42.9,30.5,33.8,50.0,38.6,45.1,17.9,28.7,35.2,25.2,,17.9,23.7,29.0,40.1,46.6,50.0,33.6
10-28,45.5,50.0,23.2,30.2,32.2,39.8,37.4,32.5,36.2,46.9,41.3,47.9,13.7,36.6,39.4,29.4,,13.7,26.3,32.4,40.5,47.4,50.0,37.0
10-29,47.5,46.7,21.6,39.5,37.8,41.9,30.6,39.3,34.3,45.1,42.4,38.9,6.9,39.3,40.7,35.2,,6.9,26.1,36.5,41.3,45.9,47.5,39.3
10-30,40.2,47.9,30.9,38.3,38.0,42.3,29.0,44.7,32.7,48.9,30.7,29.0,7.3,42.3,43.3,34.1,,7.3,29.0,31.8,42.3,46.3,48.9,38.1
10-31,33.2,47.7,36.5,35.9,39.1,45.9,31.6,46.7,41.5,34.4,32.4,27.7,21.0,41.0,41.0,36.8,,21.0,29.6,33.8,41.0,46.3,47.7,36.7
11-01,34.1,46.7,39.4,34.7,26.3,42.7,34.0,41.5,44.1,32.8,42.0,35.3,24.5,41.8,38.5,41.3,,24.5,29.6,34.4,41.7,43.4,46.7,38.9
11-02,32.9,37.8,37.6,40.6,23.1,35.9,37.8,30.7,43.2,33.2,43.0,39.3,29.1,45.8,36.7,28.9,,23.1,29.0,33.1,38.5,43.1,45.8,37.1
11-03,35.9,34.5,40.3,42.1,30.3,37.2,24.8,27.7,35.3,39.4,38.2,32.8,34.3,47.1,36.4,21.0,,21.0,26.2,33.5,37.7,41.2,47.1,35.6
11-04,40.6,28.4,44.2,43.7,34.8,40.5,19.9,30.5,27.9,42.6,32.8,31.6,34.4,45.9,42.3,22.0,,19.9,25.0,31.0,41.4,43.9,45.9,34.6
11-05,41.4,19.5,47.0,45.3,21.3,40.6,20.1,36.7,25.3,43.1,29.5,30.5,35.3,45.0,40.7,29.8,,19.5,20.7,29.7,41.1,45.2,47.0,36.0
11-06,41.8,21.4,43.6,44.8,22.7,42.5,30.1,42.4,24.4,41.3,27.3,25.7,37.2,46.9,44.8,27.9,,21.4,23.6,27.6,42.4,44.8,46.9,39.3
11-07,42.8,31.1,36.2,41.1,22.7,43.5,37.5,40.6,25.5,41.0,21.1,22.3,35.7,39.6,34.2,36.7,,21.1,22.5,32.7,40.1,41.9,43.5,36.5
11-08,43.1,35.1,29.9,32.6,18.6,43.0,37.5,37.6,30.7,43.4,23.7,20.5,39.3,25.4,32.3,34.2,,18.6,22.1,30.3,37.5,43.0,43.4,33.4
11-09,43.9,35.2,33.7,22.8,23.1,28.7,36.6,43.2,32.4,44.7,33.6,23.2,40.8,20.8,33.9,27.7,,20.8,23.0,28.2,35.9,43.6,44.7,33.6
11-10,42.2,31.4,37.9,22.6,29.4,18.4,38.6,28.7,26.2,44.9,33.6,27.2,39.6,19.2,30.7,17.5,,17.5,18.8,26.7,35.8,40.9,44.9,30.0
11-11,32.5,28.7,44.2,21.7,32.3,15.2,40.3,19.5,24.9,42.9,30.8,19.9,31.8,21.1,33.8,14.1,,14.1,17.3,21.4,32.4,41.6,44.2,29.8
11-12,30.5,33.6,33.5,25.3,25.2,20.3,42.6,4.3,27.0,41.7,32.8,18.3,35.0,16.9,38.0,20.9,,4.3,17.6,23.1,33.5,39.8,42.6,28.7
11-13,32.9,34.3,17.9,25.4,27.6,28.4,39.3,17.1,29.1,39.4,38.2,26.5,36.8,26.6,40.8,18.6,,17.1,18.3,26.6,35.5,39.3,40.8,28.8
11-14,25.7,25.7,19.2,28.1,30.6,31.4,33.3,30.0,34.8,42.5,33.1,33.3,37.7,20.7,42.9,14.9,,14.9,20.0,26.9,33.3,40.1,42.9,31.0
11-15,37.0,32.9,15.0,32.5,26.8,31.8,27.8,11.4,33.8,46.3,36.4,33.4,40.6,28.6,45.7,15.0,,11.4,15.0,28.2,35.1,43.1,46.3,32.7
11-16,39.2,38.8,24.0,30.4,21.7,34.9,25.6,6.0,26.9,37.0,39.5,33.8,34.3,36.6,33.0,18.8,,6.0,20.2,26.3,35.7,39.0,39.5,33.4
11-17,37.7,43.9,33.1,26.0,33.9,36.6,27.0,12.0,22.2,22.0,26.8,26.9,35.2,42.2,20.2,20.6,,12.0,20.4,24.1,34.5,39.9,43.9,26.9
11-18,42.7,44.1,33.4,37.5,27.7,34.9,33.1,20.2,27.5,22.6,18.9,20.6,39.5,40.4,31.1,14.4,,14.4,19.6,25.1,36.2,41.5,44.1,32.1
11-19,41.5,41.3,27.3,38.8,16.3,34.4,33.9,27.8,30.6,35.6,24.4,26.0,40.3,29.7,34.2,16.2,,16.2,20.3,27.5,35.0,40.8,41.5,32.2
11-20,20.8,30.6,34.9,29.4,25.0,35.4,33.8,30.5,23.3,41.5,33.4,31.9,31.8,24.0,28.8,21.4,,20.8,22.3,26.9,32.7,35.1,41.5,30.6
11-21,14.2,26.5,24.6,21.9,29.0,36.8,22.0,30.1,18.8,34.8,38.7,35.2,25.3,22.5,26.2,24.2,,14.2,20.3,23.3,29.6,36.0,38.7,25.8
