date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,58.2,56.2,52.1,48.9,36.1,59.7,52.3,35.5,51.4,37.2,53.5,47.9,45.0,45.6,35.5,36.3,46.7,52.8,57.8,59.7,51.4
10-02,59.5,54.0,51.5,45.5,38.5,47.2,51.7,30.0,52.8,35.5,50.7,49.8,48.3,39.1,30.0,36.1,46.5,51.6,53.8,59.5,49.8
10-03,56.5,52.5,46.5,34.6,42.9,47.1,38.1,35.9,51.6,43.8,52.6,49.3,48.1,39.4,34.6,36.3,43.5,50.2,52.6,56.5,47.1
10-04,48.8,50.6,41.2,31.3,44.8,47.1,35.9,39.1,45.6,39.4,51.1,51.6,48.6,42.6,31.3,36.5,40.5,48.7,51.0,51.6,45.6
10-05,50.4,43.9,38.5,34.5,47.5,50.1,36.2,40.4,39.3,34.8,51.1,53.1,49.4,44.8,34.5,35.1,38.9,49.7,50.9,53.1,43.9
10-06,47.7,33.0,36.3,42.9,47.7,49.9,33.8,37.6,39.1,37.2,50.4,49.3,50.5,47.4,33.0,34.3,37.5,48.4,50.3,50.5,42.9
10-07,43.3,33.1,36.1,48.4,49.4,49.6,39.4,44.5,37.7,41.8,52.2,47.7,51.3,49.5,33.1,36.5,40.9,48.8,50.9,52.2,44.5
10-08,38.1,36.7,41.5,44.4,50.2,51.0,45.8,34.7,35.3,45.5,54.3,42.7,50.6,49.2,34.7,35.6,40.2,47.6,50.9,54.3,44.4
10-09,41.4,37.8,45.5,44.5,49.6,50.4,47.4,33.3,34.0,33.3,54.9,38.5,49.9,50.3,33.3,33.5,38.3,48.3,50.3,54.9,44.5
10-10,44.2,40.3,49.5,39.3,48.0,54.0,49.3,38.1,32.8,22.4,54.5,39.0,47.7,51.0,22.4,33.8,39.2,48.5,53.1,54.5,44.2
10-11,44.4,42.3,52.5,36.4,45.4,51.0,47.9,45.5,34.5,28.0,37.7,40.2,46.0,39.1,28.0,34.9,39.2,45.7,50.3,52.5,44.4
10-12,41.7,40.3,45.4,40.6,39.3,48.6,42.9,36.7,36.6,35.7,42.0,32.2,46.6,35.8,32.2,35.9,38.2,42.4,46.3,48.6,40.6
10-13,43.4,44.0,40.5,40.5,38.4,50.9,48.0,36.3,36.3,40.0,49.3,30.6,47.8,38.1,30.6,36.3,39.3,45.5,49.0,50.9,40.5
10-14,46.0,46.7,41.8,35.1,46.9,51.4,51.1,30.4,26.7,40.9,46.0,28.9,46.4,40.9,26.7,29.2,38.6,46.5,50.3,51.4,46.0
10-15,47.0,50.8,44.5,31.5,49.1,52.7,52.3,37.6,30.0,42.1,34.8,30.3,47.4,,30.0,30.5,36.5,48.1,52.0,52.7,44.5
10-16,48.6,48.7,43.6,32.5,43.3,50.7,42.5,42.3,38.4,47.8,39.6,39.7,46.2,,32.5,38.6,41.3,46.8,48.7,50.7,43.3
10-17,48.8,40.0,34.9,35.3,47.9,50.5,35.9,46.2,41.4,46.4,47.4,45.0,47.5,,34.9,35.4,40.8,47.4,48.6,50.5,46.2
10-18,47.7,40.0,38.1,35.5,48.3,51.0,34.3,44.9,40.3,33.0,46.0,40.3,49.4,,33.0,34.6,39.2,46.7,49.2,51.0,40.3
10-19,43.6,42.3,43.1,37.0,48.1,44.9,33.3,48.3,42.5,31.0,45.0,34.0,50.4,,31.0,33.4,40.2,44.9,48.2,50.4,43.1
10-20,45.4,41.5,48.7,39.4,49.8,41.8,36.9,38.0,45.0,29.2,44.6,37.5,46.7,,29.2,37.0,38.8,45.2,48.3,49.8,41.8
10-21,45.6,43.6,46.2,39.3,43.9,41.4,44.8,32.0,47.2,33.6,45.6,42.8,45.6,,32.0,34.7,42.2,45.6,46.1,47.2,43.9
10-22,44.2,41.5,45.1,42.3,38.8,41.7,47.2,44.3,44.5,39.4,32.7,44.5,39.3,,32.7,38.9,40.7,44.4,45.0,47.2,42.3
10-23,40.1,42.6,32.1,44.4,46.9,39.9,49.2,42.1,42.1,33.6,28.3,36.9,28.8,,28.3,29.5,35.6,42.3,46.4,49.2,40.1
10-24,41.1,46.0,29.1,44.5,49.6,42.5,46.4,41.8,41.8,29.8,39.7,40.2,29.0,,29.0,29.2,40.0,43.3,46.3,49.6,41.8
10-25,30.6,36.9,26.2,43.6,52.1,44.6,45.5,42.7,38.9,37.3,15.7,45.4,33.1,,15.7,27.1,35.4,44.0,45.5,52.1,38.9
10-26,28.1,28.6,24.9,41.7,41.5,42.7,46.4,40.8,40.3,37.9,15.4,32.9,28.1,,15.4,25.6,28.4,41.1,42.5,46.4,37.9
10-27,26.9,30.0,32.5,43.5,32.1,36.6,51.1,39.0,44.9,21.2,27.2,36.6,27.8,,21.2,27.0,29.1,37.6,44.6,51.1,32.5
10-28,33.2,32.1,39.9,39.4,33.5,37.6,50.7,41.2,47.6,17.8,35.2,39.7,32.2,,17.8,32.1,33.4,39.8,46.3,50.7,37.6
10-29,41.5,35.1,42.3,32.0,39.2,37.1,47.7,41.5,41.0,9.3,38.4,41.5,36.6,,9.3,32.6,36.9,41.5,42.1,47.7,39.2
10-30,39.8,37.5,43.0,30.7,44.7,34.6,51.9,31.8,28.8,8.7,39.8,44.0,35.1,,8.7,29.2,33.5,41.1,44.6,51.9,37.5
10-31,37.5,42.2,45.7,34.0,48.4,41.4,37.5,33.4,29.4,21.7,40.5,42.1,37.2,,21.7,30.2,35.9,41.7,45.0,48.4,37.5
11-01,37.2,29.6,44.7,36.9,46.1,45.0,35.2,42.0,35.5,27.1,41.5,41.1,42.7,,27.1,30.7,36.3,42.3,44.9,46.1,41.1
11-02,42.6,23.4,38.9,38.6,34.3,45.9,35.1,45.0,41.7,30.0,44.8,38.2,31.5,,23.4,30.3,34.8,42.0,44.9,45.9,38.6
11-03,43.0,29.8,37.6,27.3,30.4,38.7,39.1,41.8,33.9,34.4,46.8,37.5,25.0,,25.0,27.8,32.5,38.9,42.8,46.8,37.5
11-04,44.0,35.4,39.6,22.5,30.9,30.1,42.9,37.9,33.4,34.3,45.1,42.2,23.7,,22.5,25.0,32.4,40.6,43.8,45.1,35.4
11-05,45.7,23.9,39.9,22.9,38.0,28.0,42.9,34.7,32.7,34.5,44.7,41.9,32.1,,22.9,24.7,32.5,40.7,44.4,45.7,34.7
11-06,46.3,26.1,41.5,30.1,40.9,26.7,42.0,29.2,28.2,37.2,49.3,45.1,32.2,,26.1,27.0,29.8,41.7,46.0,49.3,37.2
11-07,42.1,26.1,42.6,38.0,40.0,28.5,42.4,24.4,26.1,36.2,42.2,39.9,39.1,,24.4,26.1,33.1,40.8,42.3,42.6,39.1
11-08,34.4,22.3,44.8,39.8,37.5,33.4,43.4,28.3,23.0,37.8,27.2,35.7,38.9,,22.3,23.8,31.4,38.3,42.7,44.8,35.7
11-09,24.5,24.3,32.1,37.6,42.8,35.1,44.4,38.7,24.3,39.1,23.5,36.5,29.8,,23.5,24.3,27.7,38.0,42.1,44.4,35.1
11-10,25.7,30.1,20.4,38.7,31.9,28.6,44.5,37.0,28.2,37.9,22.3,33.5,20.1,,20.1,20.8,27.2,34.9,38.5,44.5,30.1
11-11,26.5,32.4,17.5,40.0,22.3,25.9,42.9,32.0,23.4,33.2,24.1,35.4,17.2,,17.2,18.5,23.8,32.7,39.1,42.9,26.5
11-12,28.8,29.6,21.8,42.0,5.7,26.8,42.1,35.3,20.8,33.1,18.6,39.9,23.2,,5.7,19.0,22.6,34.0,41.6,42.1,28.8
