date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,63.3,57.2,54.2,53.0,36.9,61.8,54.0,39.1,56.3,37.8,53.7,45.5,47.9,43.3,36.9,38.0,46.9,55.0,60.9,63.3,53.7
10-02,61.7,56.1,55.5,52.2,40.0,48.1,54.3,31.9,54.1,38.2,55.4,48.4,52.3,36.9,31.9,38.5,48.3,54.7,56.0,61.7,52.3
10-03,55.5,55.4,53.9,37.7,45.6,45.5,37.4,38.7,51.0,49.2,53.5,51.2,50.6,39.5,37.4,37.9,45.5,52.1,55.1,55.5,50.6
10-04,47.8,49.9,51.5,29.3,47.0,50.4,36.8,45.2,45.0,43.6,55.0,54.0,48.1,42.2,29.3,38.2,45.1,50.1,53.5,55.0,47.8
10-05,44.9,39.7,45.4,34.4,48.3,49.5,37.5,42.0,38.2,39.4,55.6,49.4,49.7,45.5,34.4,37.7,39.6,48.7,49.6,55.6,44.9
10-06,43.6,28.6,39.8,45.1,50.0,47.3,34.9,38.9,37.2,39.1,54.1,47.6,50.6,47.9,28.6,35.4,39.0,47.5,50.5,54.1,43.6
10-07,44.5,29.6,38.9,52.7,52.6,49.0,42.1,49.2,35.4,47.5,56.8,48.6,50.9,51.0,29.6,36.1,43.5,49.9,52.7,56.8,48.6
10-08,41.2,33.4,48.4,47.1,52.0,51.6,48.3,39.8,35.1,52.7,57.8,43.9,50.7,52.3,33.4,36.0,42.8,51.1,52.6,57.8,48.3
10-09,42.9,36.0,51.2,44.0,50.6,52.9,51.0,31.5,36.8,39.8,55.9,36.3,51.0,52.8,31.5,36.0,38.6,51.0,52.6,55.9,44.0
10-10,45.6,41.8,51.7,36.1,49.3,57.6,52.4,41.4,35.1,22.4,55.2,37.8,50.6,54.2,22.4,35.3,39.9,51.0,54.7,57.6,45.6
10-11,46.6,45.0,51.1,37.6,49.1,54.8,51.3,49.4,36.8,30.7,42.4,38.1,50.4,39.3,30.7,36.9,40.7,49.8,51.3,54.8,46.6
10-12,42.5,43.9,39.2,42.4,39.3,52.7,47.4,40.6,36.4,38.5,48.2,27.9,48.8,33.5,27.9,36.8,39.3,45.3,48.7,52.7,42.4
10-13,44.8,49.6,41.3,39.4,40.6,56.3,51.2,43.1,39.5,44.2,53.4,28.0,48.6,38.0,28.0,39.4,41.0,49.0,53.0,56.3,44.2
10-14,51.3,53.2,44.2,33.9,52.1,55.8,54.4,31.1,26.0,44.2,51.8,27.7,48.7,43.9,26.0,28.4,40.1,51.9,54.2,55.8,48.7
10-15,51.6,57.6,48.6,31.2,55.0,55.4,55.8,42.8,27.3,45.4,39.2,32.2,49.1,,27.3,31.4,41.4,52.9,55.7,57.6,48.6
10-16,52.5,54.0,50.1,32.8,47.5,55.8,52.7,47.6,35.6,51.5,44.0,43.9,48.7,,32.8,37.3,46.1,51.9,53.8,55.8,48.7
10-17,48.1,40.2,38.5,37.5,49.4,50.0,40.3,51.3,37.1,48.9,49.7,47.2,46.9,,37.1,37.7,40.3,49.1,50.0,51.3,47.2
10-18,43.3,42.0,42.1,35.2,49.4,48.2,39.0,49.5,36.4,34.0,49.9,37.5,48.6,,34.0,35.5,38.4,48.3,49.5,49.9,42.1
10-19,44.4,48.0,49.0,39.1,49.8,44.0,33.7,51.4,41.0,37.3,49.1,32.8,49.6,,32.8,34.4,40.2,49.0,49.8,51.4,44.4
