date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,52.5,50.9,34.2,60.4,51.1,37.4,55.0,37.9,52.7,44.8,47.3,43.7,34.2,37.4,44.8,52.5,55.0,60.4,50.9
10-02,53.2,50.5,37.8,46.6,51.4,28.9,52.9,39.7,52.9,47.7,50.4,35.6,28.9,37.8,46.6,51.4,52.9,53.2,50.4
10-03,53.2,35.4,43.2,43.9,34.7,37.2,50.7,51.3,52.2,48.7,48.4,37.8,34.7,35.4,43.2,50.7,52.2,53.2,48.4
10-04,50.7,26.2,45.1,50.0,34.5,45.9,42.4,43.9,53.8,53.1,46.2,40.5,26.2,34.5,43.9,50.0,53.1,53.8,45.9
10-05,44.8,31.5,45.3,46.0,36.5,43.7,36.1,38.7,54.1,48.6,50.2,43.9,31.5,36.1,38.7,46.0,50.2,54.1,44.8
10-06,39.2,44.6,47.3,44.6,33.6,36.9,35.2,38.8,52.3,45.1,49.6,47.3,33.6,35.2,38.8,45.1,49.6,52.3,44.6
10-07,37.4,51.4,49.6,46.4,41.2,46.9,34.0,46.8,55.2,46.8,49.5,50.2,34.0,37.4,46.4,49.5,51.4,55.2,46.8
10-08,46.2,46.2,49.5,49.1,47.8,39.6,33.6,51.4,55.9,42.1,49.6,50.4,33.6,39.6,46.2,49.5,51.4,55.9,47.8
10-09,48.4,43.5,48.4,50.9,48.4,29.7,34.7,40.8,54.3,34.5,49.1,50.2,29.7,34.5,40.8,48.4,50.9,54.3,48.4
10-10,49.5,34.2,46.8,54.3,50.7,40.5,32.9,20.7,53.6,35.6,48.4,53.1,20.7,32.9,35.6,49.5,53.6,54.3,46.8
10-11,49.3,34.0,46.9,53.2,48.6,49.1,35.4,30.4,40.8,37.2,48.2,37.9,30.4,34.0,37.2,48.6,49.3,53.2,46.9
10-12,37.9,38.3,36.9,51.8,45.9,40.8,35.1,38.1,46.8,28.8,47.1,30.4,28.8,35.1,37.9,45.9,47.1,51.8,38.3
10-13,37.4,37.9,38.7,54.1,49.1,42.1,37.0,41.7,52.9,25.9,47.5,37.2,25.9,37.0,37.9,47.5,52.9,54.1,41.7
10-14,40.6,31.1,50.5,54.0,54.5,30.9,24.8,43.2,50.9,24.6,47.7,41.5,24.6,24.8,31.1,50.5,54.0,54.5,43.2
10-15,45.5,29.1,52.9,54.7,53.8,44.2,26.6,43.9,39.0,30.0,48.0,,26.6,29.1,39.0,48.0,53.8,54.7,44.2
10-16,48.6,29.1,46.6,55.2,51.4,46.4,37.2,51.3,42.6,43.7,49.1,,29.1,37.2,43.7,49.1,51.4,55.2,46.6
10-17,36.1,33.8,48.7,46.8,37.9,49.1,34.9,49.3,48.6,46.8,46.4,,33.8,34.9,37.9,48.6,49.1,49.3,46.8
10-18,39.9,33.1,48.0,46.0,38.7,49.3,34.9,31.3,48.6,36.1,48.6,,31.3,33.1,36.1,48.0,48.6,49.3,39.9
10-19,46.6,36.1,49.1,42.3,32.9,51.1,41.0,36.1,47.7,29.8,48.6,,29.8,32.9,36.1,47.7,49.1,51.1,42.3
10-20,52.0,38.7,50.2,38.7,41.7,40.8,44.2,25.5,48.0,36.0,48.0,,25.5,36.0,38.7,48.0,50.2,52.0,41.7
10-21,46.4,37.8,46.9,40.8,50.7,30.0,46.0,34.3,50.7,42.6,48.0,,30.0,34.3,40.8,46.9,50.7,50.7,46.0
10-22,45.7,42.3,41.5,39.4,51.8,42.4,43.0,38.1,41.7,46.6,39.0,,38.1,39.0,41.5,43.0,46.6,51.8,42.3
10-23,39.2,45.0,50.0,38.3,52.0,42.4,41.9,35.6,38.3,38.8,23.7,,23.7,35.6,38.3,42.4,50.0,52.0,39.2
10-24,26.8,44.2,53.8,41.9,46.9,42.3,39.9,29.8,46.8,44.4,23.0,,23.0,26.8,39.9,44.4,46.9,53.8,42.3
10-25,22.8,43.3,54.1,44.4,43.3,46.0,38.1,39.9,25.9,48.2,31.5,,22.8,25.9,38.1,44.4,48.2,54.1,43.3
10-26,26.2,41.9,43.0,42.3,46.4,41.5,40.3,45.1,12.7,27.1,30.4,,12.7,26.2,30.4,42.3,45.1,46.4,41.5
10-27,34.9,44.4,31.3,39.7,53.2,37.8,46.2,21.4,25.7,31.8,22.8,,21.4,22.8,31.3,39.7,46.2,53.2,34.9
10-28,41.0,37.8,36.9,40.1,51.6,39.2,49.5,20.1,36.0,38.1,30.9,,20.1,30.9,36.9,40.1,49.5,51.6,38.1
