date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,52.2,51.7,46.2,52.5,28.7,59.0,51.4,50.8,49.7,33.3,56.7,48.8,38.3,52.3,37.5,52.0,42.7,47.6,40.0,28.7,36.2,46.4,52.0,53.7,59.0,50.3
10-02,53.2,48.6,40.4,51.4,38.5,54.7,50.4,51.9,48.9,37.9,46.0,48.9,28.9,49.7,38.3,52.9,46.0,48.3,34.4,28.9,38.2,46.0,50.3,53.0,54.7,48.7
10-03,50.6,46.9,49.0,48.8,42.5,49.8,49.4,52.7,34.5,42.8,41.3,34.6,37.1,47.7,47.7,51.4,47.1,47.5,36.2,34.5,36.3,43.2,49.0,50.8,52.7,47.6
10-04,31.5,47.5,50.6,37.6,37.4,43.8,46.3,50.9,25.5,44.3,45.9,34.9,45.0,41.8,43.4,52.9,50.3,45.5,39.5,25.5,33.9,42.0,46.2,50.7,52.9,44.6
10-05,31.7,47.5,42.1,35.0,28.7,40.3,38.0,45.3,32.1,44.7,42.1,36.2,42.1,35.6,39.9,53.5,45.5,47.1,43.9,28.7,32.0,36.4,44.4,47.2,53.5,41.2
10-06,39.8,41.5,26.1,37.1,31.5,39.1,25.5,39.5,45.4,46.6,41.3,33.1,36.2,34.7,38.5,52.4,44.2,47.6,46.6,25.5,29.9,36.3,41.5,46.9,52.4,39.3
10-07,49.0,37.3,27.9,44.6,37.6,39.8,25.9,38.2,48.8,49.6,44.6,40.1,47.5,32.2,46.0,54.4,45.6,48.1,49.4,25.9,30.9,38.3,47.4,49.2,54.4,44.6
10-08,43.2,39.5,42.6,48.6,34.6,37.6,30.1,45.8,44.4,49.1,47.5,46.0,39.3,32.1,49.7,54.9,40.8,48.1,49.6,30.1,33.8,39.6,47.3,49.3,54.9,43.8
10-09,33.3,35.8,47.1,46.3,39.4,38.7,32.4,47.5,40.3,46.9,50.4,48.0,28.6,33.6,39.5,52.6,34.0,48.0,49.7,28.6,33.0,36.1,47.1,48.7,52.6,39.9
10-10,33.1,35.5,48.5,33.7,38.9,40.8,37.6,47.7,32.8,46.6,53.4,48.9,38.0,33.1,20.1,51.5,34.9,47.2,50.8,20.1,33.0,35.0,47.1,49.7,53.4,38.5
10-11,35.8,36.0,44.3,26.1,42.8,43.6,42.1,45.8,33.8,46.4,50.7,47.5,46.0,35.3,32.0,41.3,36.3,47.2,36.8,26.1,33.2,36.0,45.7,47.3,50.7,42.5
10-12,39.3,40.0,44.3,17.9,42.8,41.1,41.2,35.6,37.4,35.7,50.4,45.9,40.1,35.2,37.4,46.9,25.5,46.3,29.8,17.9,32.2,37.4,42.6,46.5,50.4,40.1
10-13,42.6,43.3,34.9,21.0,41.1,43.8,46.5,37.8,35.5,38.7,53.0,48.1,41.5,37.6,41.4,51.6,26.0,46.7,35.0,21.0,32.3,37.9,43.7,49.1,53.0,41.4
10-14,48.1,38.4,36.4,32.4,42.2,47.5,49.6,40.8,30.1,48.2,53.0,52.6,31.3,23.1,41.6,51.2,25.4,47.0,41.4,23.1,28.7,36.6,48.0,51.6,53.0,41.9
10-15,45.8,39.1,41.0,40.6,42.2,47.1,52.3,45.9,27.7,50.2,53.2,52.5,44.4,25.2,43.4,39.5,31.1,47.0,,25.2,30.1,40.6,46.9,52.4,53.2,43.9
10-16,41.1,38.3,37.8,43.3,44.0,47.5,50.7,47.7,30.0,45.7,51.4,50.6,46.5,33.3,49.1,43.6,42.3,46.3,,30.0,36.5,42.4,47.4,50.6,51.4,44.9
10-17,44.7,27.6,29.6,46.2,48.4,43.2,38.8,37.0,34.6,47.2,44.7,39.7,48.9,32.3,47.4,48.0,43.5,44.7,,27.6,31.5,38.9,46.0,48.1,48.9,44.1
10-18,41.1,25.9,32.4,47.0,52.5,38.7,41.1,40.8,32.9,46.2,43.5,39.1,48.1,32.0,31.6,49.0,33.9,46.7,,25.9,31.9,34.4,45.9,48.4,52.5,41.0
