date,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,34.8,54.0,45.6,43.4,41.2,34.8,37.4,42.6,46.4,51.5,54.0,44.5
10-02,34.3,53.1,47.4,47.1,35.0,34.3,38.2,45.8,48.0,51.4,53.1,47.3
10-03,46.5,53.0,49.5,47.5,35.7,46.5,46.8,47.4,49.8,51.9,53.0,48.5
10-04,39.0,52.8,51.9,46.6,38.8,39.0,41.3,45.8,52.0,52.5,52.8,49.2
10-05,35.0,53.0,50.1,48.7,43.5,35.0,39.1,47.4,50.4,52.1,53.0,49.4
10-06,36.7,52.7,45.0,49.5,46.6,36.7,39.2,44.1,49.8,51.7,52.7,47.2
10-07,44.9,55.1,46.0,50.0,49.4,44.9,45.2,45.9,50.5,53.6,55.1,48.0
10-08,49.4,57.0,40.4,50.0,50.4,40.4,43.1,48.5,50.7,54.9,57.0,49.7
10-09,31.8,54.7,33.5,49.4,50.8,31.8,32.3,33.4,49.9,53.1,54.7,41.4
10-10,20.0,54.0,35.2,48.7,50.9,20.0,24.6,33.7,49.3,52.4,54.0,42.0
10-11,29.8,33.8,36.4,47.3,34.7,29.8,31.0,33.4,37.5,44.0,47.3,35.1
10-12,38.1,42.7,27.6,47.3,30.7,27.6,30.7,37.1,43.2,45.9,47.3,40.4
10-13,42.4,50.1,25.0,47.8,34.8,25.0,30.2,40.6,48.0,49.4,50.1,45.0
10-14,41.8,43.7,23.4,48.2,40.6,23.4,28.9,40.0,44.2,46.8,48.2,42.8
10-15,43.8,35.0,28.9,47.1,,28.9,30.7,34.4,44.1,46.1,47.1,39.4
10-16,50.4,42.6,41.0,44.7,,41.0,41.5,42.5,45.3,48.7,50.4,43.7
10-17,44.9,47.3,43.8,47.4,,43.8,44.1,44.8,47.3,47.4,47.4,46.1
10-18,28.8,47.6,36.0,49.4,,28.8,31.0,35.3,47.8,48.8,49.4,41.8
10-19,29.6,47.0,31.4,50.3,,29.6,30.1,31.2,47.4,49.3,50.3,39.2
10-20,23.4,47.3,36.6,48.1,,23.4,27.3,35.3,47.4,47.9,48.1,41.9
10-21,30.2,48.8,42.4,48.4,,30.2,33.9,41.2,48.4,48.7,48.8,45.4
10-22,37.1,30.6,45.9,36.1,,30.6,32.2,35.6,38.0,43.2,45.9,36.6
10-23,31.7,31.7,34.7,23.4,,23.4,25.9,30.9,32.0,33.8,34.7,31.7
10-24,28.8,42.4,39.9,23.9,,23.9,25.4,28.3,40.2,41.7,42.4,34.3
10-25,40.0,16.1,43.3,29.3,,16.1,20.0,28.0,40.3,42.3,43.3,34.7
10-26,39.7,14.9,27.9,26.3,,14.9,18.3,25.2,29.0,36.2,39.7,27.1
10-27,18.7,28.2,32.6,24.3,,18.7,20.4,23.7,28.7,31.3,32.6,26.2
10-28,16.2,37.6,37.8,32.3,,16.2,21.1,30.7,37.6,37.8,37.8,34.9
