date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.8,51.5,36.6,61.0,47.1,44.2,49.6,48.3,53.7,40.6,46.9,47.5,36.6,40.6,46.9,51.5,53.7,61.0,48.3
10-02,52.0,51.4,36.5,51.0,49.9,31.5,49.4,43.4,52.9,43.1,45.6,40.5,31.5,36.5,43.4,51.0,52.0,52.9,49.4
10-03,53.6,40.6,42.2,45.5,39.2,44.6,52.3,52.3,52.6,43.9,42.7,37.5,39.2,40.6,42.7,52.3,52.6,53.6,44.6
10-04,53.3,26.6,44.4,50.0,35.6,52.5,45.7,49.3,52.7,46.8,43.7,39.4,26.6,35.6,44.4,50.0,52.7,53.3,46.8
10-05,48.0,31.7,46.0,43.4,39.1,52.5,41.0,43.2,53.2,47.2,45.0,44.2,31.7,39.1,43.2,47.2,52.5,53.2,45.0
10-06,41.6,41.4,47.4,42.8,34.8,38.3,38.4,41.3,53.4,43.9,44.4,46.6,34.8,38.3,41.3,43.9,47.4,53.4,41.6
10-07,38.3,48.6,47.8,44.7,39.5,46.0,37.4,45.3,53.8,45.0,44.3,48.1,37.4,38.3,44.3,46.0,48.6,53.8,45.0
10-08,44.5,49.2,48.3,50.9,47.6,46.6,33.2,49.3,55.1,44.2,44.1,47.9,33.2,44.1,44.5,49.2,50.9,55.1,47.6
10-09,46.1,45.8,43.4,49.4,46.5,28.4,34.8,48.1,54.4,36.6,42.3,48.1,28.4,34.8,42.3,46.5,49.4,54.4,45.8
10-10,50.1,34.0,44.9,49.9,49.7,35.7,35.3,24.9,54.3,35.2,44.5,49.5,24.9,34.0,35.3,49.7,50.1,54.3,44.5
10-11,51.5,34.2,46.7,51.0,49.1,49.0,35.9,29.6,43.3,40.5,45.4,40.3,29.6,34.2,40.5,49.0,51.0,51.5,45.4
10-12,39.7,39.5,38.7,50.2,46.8,48.1,35.1,36.1,44.4,28.0,45.1,30.9,28.0,35.1,38.7,45.1,48.1,50.2,39.7
10-13,38.2,42.1,37.2,51.1,48.1,46.0,37.4,42.9,50.7,27.7,46.0,34.9,27.7,37.2,38.2,46.0,50.7,51.1,42.9
10-14,40.3,32.2,45.5,51.5,53.2,35.9,28.4,43.5,52.3,27.6,45.4,38.1,27.6,28.4,35.9,45.5,52.3,53.2,43.5
10-15,44.7,29.4,52.8,51.2,54.0,43.1,25.7,43.4,43.3,26.8,45.9,,25.7,26.8,43.1,45.9,52.8,54.0,43.4
10-16,47.5,28.5,48.9,52.5,52.3,45.1,36.6,48.1,44.2,39.1,43.3,,28.5,36.6,43.3,48.1,52.3,52.5,45.1
10-17,38.9,33.6,46.8,48.1,46.4,46.6,35.9,50.7,47.5,45.6,41.9,,33.6,35.9,41.9,46.8,48.1,50.7,46.4
10-18,41.4,33.4,46.9,48.4,43.6,48.0,34.2,36.7,49.1,39.8,43.2,,33.4,34.2,39.8,46.9,48.4,49.1,43.2
10-19,45.2,35.5,46.6,45.1,35.5,50.3,39.7,38.3,48.8,28.8,45.0,,28.8,35.5,38.3,45.2,48.8,50.3,45.0
10-20,48.8,37.8,48.4,41.8,40.3,45.2,44.2,26.4,48.7,34.2,44.9,,26.4,34.2,40.3,45.2,48.7,48.8,44.2
10-21,47.8,37.9,48.0,39.7,47.8,30.3,46.1,31.0,51.0,39.1,44.2,,30.3,31.0,39.1,47.8,48.0,51.0,44.2
10-22,45.7,40.2,44.8,36.6,52.2,40.9,43.5,36.0,49.3,43.2,42.8,,36.0,36.6,40.9,44.8,49.3,52.2,43.2
10-23,45.0,41.7,47.5,37.3,51.4,45.9,41.4,36.9,44.8,40.2,25.4,,25.4,36.9,40.2,45.0,47.5,51.4,41.7
10-24,34.9,42.9,50.4,38.8,49.7,46.1,38.6,29.3,46.5,42.1,20.6,,20.6,29.3,38.6,46.1,49.7,50.4,42.1
10-25,24.5,38.5,51.7,43.0,41.2,44.7,36.6,37.9,34.4,48.4,31.7,,24.5,31.7,36.6,43.0,48.4,51.7,38.5
10-26,24.3,41.1,47.2,38.2,42.8,43.0,38.8,44.9,15.4,29.2,32.7,,15.4,24.3,32.7,42.8,44.9,47.2,38.8
10-27,33.1,42.4,35.6,38.5,51.7,39.7,43.8,34.1,26.1,27.7,24.0,,24.0,26.1,33.1,39.7,43.8,51.7,35.6
10-28,38.6,42.0,37.8,38.0,52.7,40.5,47.7,21.7,40.6,35.7,29.4,,21.7,29.4,37.8,40.6,47.7,52.7,38.6
10-29,41.4,31.5,41.3,37.7,48.5,42.3,48.4,19.7,39.0,40.4,31.4,,19.7,31.4,37.7,41.4,48.4,48.5,40.4
10-30,42.4,27.2,45.6,35.0,50.7,43.6,33.4,10.7,38.7,41.3,34.2,,10.7,27.2,34.2,42.4,45.6,50.7,38.7
10-31,42.9,28.8,50.1,38.1,45.9,42.3,31.0,29.0,40.6,42.8,34.8,,28.8,29.0,34.8,42.8,45.9,50.1,40.6
11-01,44.9,32.4,47.3,44.0,42.4,43.4,33.0,32.6,42.3,41.1,39.7,,32.4,32.6,39.7,43.4,44.9,47.3,42.3
11-02,39.1,40.7,34.1,47.2,39.0,43.2,37.0,33.6,45.3,37.0,37.3,,33.6,34.1,37.0,40.7,45.3,47.2,39.0
11-03,38.5,34.8,25.7,39.8,43.2,42.8,32.0,37.8,44.8,35.2,26.4,,25.7,26.4,34.8,39.8,43.2,44.8,37.8
11-04,40.3,27.4,29.3,29.1,42.8,42.6,33.4,37.7,44.1,39.7,21.0,,21.0,27.4,29.3,40.3,42.8,44.1,37.7
11-05,42.9,19.1,36.9,25.2,38.4,38.6,32.2,38.0,47.2,41.3,33.7,,19.1,25.2,33.7,38.6,42.9,47.2,38.0
11-06,43.5,28.0,41.4,24.6,39.1,37.0,31.1,38.8,49.0,46.5,38.4,,24.6,28.0,37.0,41.4,46.5,49.0,38.8
11-07,45.4,37.4,41.9,25.5,41.4,32.2,29.4,37.8,40.4,45.4,42.0,,25.5,29.4,37.4,41.9,45.4,45.4,40.4
11-08,45.8,39.6,40.0,33.0,40.8,32.3,23.9,38.5,25.5,42.4,40.1,,23.9,25.5,33.0,40.1,42.4,45.8,39.6
11-09,38.4,38.5,41.8,38.7,41.5,41.6,26.3,43.2,20.8,37.2,28.3,,20.8,26.3,37.2,41.5,41.8,43.2,38.5
11-10,19.3,38.8,35.7,30.6,43.0,44.2,32.1,41.3,17.7,30.8,16.2,,16.2,17.7,30.6,38.8,43.0,44.2,32.1
11-11,11.8,40.4,35.3,21.8,40.9,37.2,21.3,35.8,25.3,31.5,16.8,,11.8,16.8,21.8,35.8,40.4,40.9,31.5
11-12,22.5,40.6,32.6,25.8,39.3,42.6,18.0,33.9,27.2,34.5,27.6,,18.0,22.5,27.2,34.5,40.6,42.6,32.6
11-13,27.5,38.9,31.5,28.7,37.8,45.8,27.0,37.8,34.9,37.9,26.7,,26.7,27.0,28.7,37.8,38.9,45.8,34.9
11-14,31.8,36.5,31.4,33.0,41.7,41.2,33.2,39.2,24.3,39.4,18.6,,18.6,24.3,31.8,39.2,41.2,41.7,33.2
11-15,33.4,33.9,28.0,35.4,48.9,41.6,36.0,42.9,34.2,43.3,15.7,,15.7,28.0,33.9,41.6,43.3,48.9,35.4
11-16,39.2,30.3,16.4,26.3,46.1,43.1,35.5,37.8,38.8,39.4,18.5,,16.4,18.5,30.3,39.2,43.1,46.1,37.8
11-17,38.8,32.3,18.7,24.0,23.5,35.7,34.1,38.3,46.2,29.6,21.5,,18.7,21.5,24.0,35.7,38.8,46.2,32.3
11-18,36.0,33.5,24.2,28.3,23.4,23.6,26.4,39.8,47.4,34.8,19.9,,19.9,23.4,24.2,34.8,39.8,47.4,28.3
11-19,36.2,36.0,28.6,32.4,41.3,32.1,30.4,42.2,40.8,37.8,21.5,,21.5,28.6,32.1,37.8,41.3,42.2,36.0
11-20,38.1,32.4,30.1,32.7,42.3,37.1,32.5,37.6,40.6,32.2,25.8,,25.8,30.1,32.4,37.6,40.6,42.3,32.7
11-21,41.9,31.9,30.6,26.9,35.0,39.6,34.7,31.0,38.1,29.3,29.6,,26.9,29.3,30.6,35.0,39.6,41.9,31.9
11-22,36.0,32.1,33.2,32.4,28.7,42.8,32.4,28.2,37.8,37.2,28.6,,28.2,28.6,32.1,36.0,37.8,42.8,32.4
11-23,36.5,32.3,19.1,36.5,29.5,43.2,31.5,27.7,37.0,36.3,24.6,,19.1,24.6,29.5,36.5,37.0,43.2,32.3
11-24,37.0,27.0,16.5,37.3,23.2,44.1,26.9,30.6,25.2,23.2,25.9,,16.5,23.2,25.2,30.6,37.3,44.1,26.9
11-25,36.1,32.3,26.7,35.5,28.5,42.6,19.2,27.9,28.8,27.6,34.5,,19.2,26.7,27.9,34.5,36.1,42.6,28.8
11-26,33.0,29.8,33.8,25.3,34.3,47.8,27.4,13.3,24.6,35.3,30.5,,13.3,24.6,27.4,33.8,35.3,47.8,30.5
11-27,35.2,29.8,39.2,24.4,23.9,45.0,32.6,27.6,24.5,36.6,26.4,,23.9,24.4,26.4,35.2,39.2,45.0,29.8
11-28,38.9,31.3,42.5,19.5,19.8,35.4,33.7,32.9,29.7,37.8,28.3,,19.5,19.8,29.7,35.4,38.9,42.5,32.9
11-29,37.1,31.1,39.6,16.4,16.1,37.5,32.8,25.5,28.9,39.9,12.4,,12.4,16.1,25.5,37.1,39.6,39.9,31.1
11-30,38.7,28.5,37.3,12.2,14.7,38.3,26.2,15.4,27.5,38.8,27.0,,12.2,14.7,26.2,37.3,38.7,38.8,27.5
12-01,36.3,30.9,33.5,17.2,18.5,40.2,21.2,24.4,23.1,41.2,34.0,,17.2,18.5,23.1,34.0,40.2,41.2,30.9
12-02,39.4,34.8,35.5,26.0,18.1,40.8,19.2,33.8,19.7,40.5,26.5,,18.1,19.2,26.0,35.5,40.5,40.8,33.8
12-03,31.8,32.4,35.4,31.8,18.0,36.7,13.4,31.8,28.2,38.1,33.6,,13.4,18.0,31.8,33.6,36.7,38.1,31.8
12-04,33.9,9.2,36.0,36.9,28.1,16.5,12.9,34.2,37.8,36.0,36.0,,9.2,12.9,28.1,36.0,36.9,37.8,34.2
12-05,39.4,1.8,32.3,26.4,26.8,21.6,29.6,28.4,35.3,34.5,30.9,,1.8,21.6,26.8,32.3,35.3,39.4,29.6
12-06,33.9,8.0,34.4,32.3,23.1,23.4,28.5,28.0,33.3,32.2,25.9,,8.0,23.1,25.9,32.3,33.9,34.4,28.5
12-07,30.6,14.7,31.9,36.6,9.0,23.8,27.0,33.1,34.8,28.1,26.6,,9.0,14.7,26.6,31.9,34.8,36.6,28.1
12-08,29.1,5.3,34.8,36.0,20.5,36.6,25.8,30.6,37.8,28.0,17.8,,5.3,17.8,25.8,34.8,36.6,37.8,29.1
12-09,12.2,3.3,34.5,39.2,32.4,35.6,22.4,23.1,36.6,28.5,22.8,,3.3,12.2,22.8,34.5,36.6,39.2,28.5
