date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.6,41.4,50.4,29.1,56.1,49.0,51.0,48.2,32.8,54.5,46.1,37.7,50.9,38.1,51.5,42.8,46.1,39.1,29.1,35.8,42.5,50.7,52.7,56.1,48.2
10-02,48.9,40.3,50.4,36.9,53.7,47.9,52.2,48.2,38.0,45.1,46.4,27.3,48.5,37.9,53.0,43.9,44.9,34.8,27.3,37.5,43.2,48.5,52.5,53.7,46.4
10-03,45.0,47.8,48.3,40.6,49.4,47.2,52.9,33.8,43.7,40.2,33.4,31.7,47.9,43.9,50.9,45.1,44.3,36.7,31.7,33.7,43.1,47.8,50.0,52.9,45.0
10-04,44.4,49.9,37.9,37.2,42.6,45.2,50.6,25.1,46.2,44.0,33.5,42.1,40.4,42.7,51.3,47.0,43.8,40.2,25.1,35.7,41.7,45.4,50.2,51.3,43.8
10-05,43.8,42.6,35.6,28.6,40.3,36.7,44.5,34.3,46.5,41.0,34.9,41.7,35.0,40.6,51.7,43.0,43.9,44.3,28.6,34.7,36.5,43.2,45.3,51.7,41.0
10-06,40.3,27.1,37.7,30.6,38.3,25.7,40.0,44.5,48.0,39.8,32.1,36.0,33.7,38.1,51.9,42.7,44.2,45.5,25.7,29.2,35.6,40.8,45.9,51.9,38.3
10-07,37.5,28.2,43.8,36.7,38.7,25.8,38.6,45.2,48.5,44.2,36.8,46.9,33.4,43.2,51.1,43.0,45.6,46.7,25.8,31.3,37.3,44.4,47.5,51.1,43.0
10-08,39.0,38.1,46.8,34.6,37.3,31.3,44.6,43.0,47.7,47.9,42.1,38.4,33.0,47.4,51.7,38.7,45.6,48.1,31.3,34.0,38.4,45.8,47.8,51.7,42.1
10-09,34.7,42.1,46.2,39.7,39.1,31.2,44.7,40.3,45.5,48.2,45.1,28.2,33.1,39.1,51.3,33.7,45.0,47.5,28.2,32.3,38.2,45.0,47.0,51.3,40.3
10-10,34.0,46.2,39.0,39.8,43.2,36.6,46.3,32.7,44.7,50.5,46.1,32.8,31.5,20.2,50.2,34.4,45.4,49.2,20.2,32.2,34.4,45.5,47.8,50.5,39.8
10-11,38.2,44.7,28.9,43.0,44.7,42.0,43.8,32.6,45.0,50.9,45.9,40.9,34.3,30.4,40.6,34.6,46.7,35.5,28.9,31.7,37.5,44.7,46.2,50.9,42.0
10-12,42.0,43.4,18.8,42.6,42.9,42.4,35.9,34.7,35.3,52.0,44.3,40.8,34.4,34.9,45.8,27.5,47.7,29.0,18.8,31.6,35.3,43.0,46.5,52.0,42.0
10-13,41.8,35.7,22.7,40.9,42.3,45.1,37.8,34.5,38.7,51.5,45.9,40.9,37.1,38.2,50.2,26.6,46.6,32.3,22.7,31.4,37.7,42.9,48.0,51.5,40.9
10-14,36.5,36.1,33.3,41.5,44.8,48.9,40.5,29.7,43.4,51.8,50.6,30.2,22.9,40.4,50.6,24.1,45.3,37.5,22.9,27.4,35.6,44.9,50.6,51.8,40.5
10-15,39.2,39.1,38.9,42.7,44.8,51.1,44.2,26.5,46.5,49.1,50.9,41.1,24.4,42.0,40.8,30.2,44.9,,24.4,28.7,39.2,44.8,49.8,51.1,42.0
10-16,37.5,36.9,41.7,44.7,45.1,50.2,46.5,30.5,45.8,47.9,49.5,44.5,30.6,45.8,44.8,38.4,41.2,,30.5,34.4,40.6,45.8,48.5,50.2,44.7
10-17,28.6,29.2,44.0,44.1,42.6,39.3,36.6,34.0,44.5,42.8,39.3,45.9,30.5,45.5,46.5,39.1,41.5,,28.6,30.0,38.6,44.0,45.7,46.5,41.5
10-18,26.9,32.1,45.0,49.9,37.7,41.5,41.7,33.3,44.0,42.1,38.3,46.6,30.8,31.7,47.8,33.0,42.8,,26.9,31.3,33.2,43.0,47.1,49.9,41.5
10-19,34.3,46.1,43.0,47.4,38.4,43.3,45.6,37.1,43.0,38.7,31.9,46.7,35.5,35.3,47.1,27.9,44.0,,27.9,33.4,36.8,44.3,46.9,47.4,43.0
10-20,36.1,34.3,40.6,35.5,41.2,40.9,48.4,37.8,44.0,36.9,38.3,37.7,38.1,24.6,46.2,32.8,44.9,,24.6,33.7,36.8,41.0,45.4,48.4,38.1
10-21,29.5,21.2,38.8,34.9,39.5,42.6,44.3,36.7,43.8,37.3,43.8,29.4,39.0,32.5,49.5,39.3,44.7,,21.2,29.4,36.3,42.9,44.4,49.5,39.0
10-22,34.0,34.2,34.7,36.1,36.9,41.5,42.6,39.4,41.5,37.4,47.8,42.2,37.9,38.0,43.8,40.1,37.6,,34.0,34.5,37.3,41.5,43.1,47.8,38.0
10-23,38.9,44.5,42.4,38.8,36.4,44.5,38.9,39.2,45.7,36.7,46.6,43.6,37.2,34.8,40.3,37.0,22.6,,22.6,35.8,37.2,42.6,45.0,46.6,38.9
10-24,40.9,43.3,41.1,37.6,39.6,45.6,27.4,40.4,47.5,38.1,43.6,43.4,37.3,30.7,44.5,38.6,23.4,,23.4,29.4,38.0,43.3,44.9,47.5,40.4
10-25,27.0,44.2,47.8,29.4,26.7,39.0,21.5,39.7,47.0,39.2,41.1,45.2,37.1,42.7,25.7,42.9,31.4,,21.5,26.3,31.0,42.7,45.9,47.8,39.2
10-26,28.3,42.9,44.6,34.3,23.8,23.9,25.2,39.5,41.7,40.4,41.1,40.9,41.4,44.9,13.1,26.5,29.1,,13.1,23.9,28.0,41.2,43.6,44.9,39.5
10-27,37.3,42.6,45.7,24.5,22.7,28.1,34.7,40.0,31.2,38.0,44.6,41.5,43.8,21.3,28.7,31.6,21.9,,21.3,22.4,28.6,40.3,44.1,45.7,34.7
10-28,40.8,42.7,46.8,17.7,29.9,31.8,39.6,35.2,36.4,38.8,48.3,39.8,45.1,20.4,40.1,38.8,28.4,,17.7,25.2,34.5,40.2,45.8,48.3,38.8
