date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,47.3,40.7,46.4,25.8,50.1,49.8,45.0,44.5,31.3,53.6,44.1,30.2,46.3,33.8,45.6,39.6,38.3,38.4,25.8,30.9,39.4,46.3,49.9,53.6,44.5
10-02,44.9,36.0,47.0,29.2,50.3,46.2,47.4,43.4,34.8,41.4,44.2,24.0,49.1,31.8,46.1,40.6,41.7,36.3,24.0,30.7,39.7,46.1,48.1,50.3,43.4
10-03,40.3,45.1,44.6,35.0,51.7,46.5,45.2,29.5,38.8,38.9,33.1,29.2,45.2,42.1,44.2,42.0,40.6,35.0,29.2,31.6,38.8,44.7,45.7,51.7,42.0
10-04,43.4,46.7,38.5,33.5,45.3,44.1,41.3,24.2,41.6,41.2,30.3,40.0,40.8,38.6,45.5,44.1,39.6,37.1,24.2,32.2,39.4,43.5,45.4,46.7,41.2
10-05,43.4,41.9,34.4,22.7,43.5,38.1,35.1,31.0,42.6,42.1,28.0,36.5,34.0,33.1,46.5,45.8,40.0,39.8,22.7,29.8,34.3,42.2,44.4,46.5,38.1
10-06,41.4,29.2,35.2,24.8,42.0,28.2,28.9,39.5,44.2,41.4,26.3,34.0,32.1,32.2,44.9,40.0,40.8,39.5,24.8,27.4,31.6,40.9,42.9,44.9,35.2
10-07,37.2,27.6,40.6,32.5,39.8,26.4,30.9,43.8,44.2,42.0,32.5,43.6,30.7,39.3,43.8,41.3,41.3,42.0,26.4,29.5,32.5,41.5,43.8,44.2,39.8
10-08,35.8,35.8,42.7,29.1,33.2,29.6,39.1,41.4,41.9,44.5,38.6,33.2,27.3,43.7,47.3,38.6,41.5,43.3,27.3,29.4,35.3,41.6,44.0,47.3,38.6
10-09,33.0,42.5,41.5,33.2,36.2,30.4,41.3,39.6,40.9,43.6,42.7,23.3,27.5,35.4,47.2,33.8,41.0,42.2,23.3,29.3,33.7,41.4,43.1,47.2,39.6
10-10,31.1,45.2,30.3,32.7,40.5,32.8,43.4,33.7,39.7,48.2,43.5,32.5,27.6,17.1,48.0,35.0,41.6,44.8,17.1,29.2,32.7,41.9,46.3,48.2,35.0
10-11,35.8,39.5,28.4,36.0,40.8,37.1,46.0,29.9,41.4,49.0,41.2,40.4,27.8,25.2,33.1,35.8,42.5,34.2,25.2,28.2,35.2,40.9,43.9,49.0,37.1
10-12,37.8,41.6,19.0,38.9,37.3,36.8,37.6,31.7,30.9,44.3,37.9,35.9,29.0,31.4,40.0,26.9,43.0,29.9,19.0,28.2,31.6,38.1,42.2,44.3,37.3
10-13,38.3,36.3,19.7,37.9,37.4,40.8,36.7,35.5,33.4,46.1,43.9,35.0,32.0,35.3,46.2,25.3,41.1,29.9,19.7,29.3,35.3,38.8,44.8,46.2,36.7
10-14,35.7,34.6,31.0,39.2,40.5,42.6,37.2,28.4,42.8,46.5,48.9,24.9,17.0,37.0,42.4,23.0,41.3,32.6,17.0,24.2,33.9,41.5,44.3,48.9,37.2
10-15,38.2,36.4,35.0,37.2,42.0,46.7,40.2,21.7,44.9,43.9,48.7,34.8,22.4,38.0,33.6,26.8,38.8,,21.7,25.0,34.9,40.5,45.6,48.7,38.0
10-16,33.3,36.3,39.3,36.7,41.4,44.2,40.1,25.9,39.2,43.5,44.8,39.3,30.2,43.2,40.1,36.3,36.7,,25.9,32.0,36.6,40.4,43.8,44.8,39.3
10-17,25.1,27.6,40.7,40.4,40.3,34.5,32.3,30.1,40.6,45.3,32.3,41.0,32.2,43.0,44.6,41.2,38.4,,25.1,29.1,32.3,40.8,43.7,45.3,40.3
10-18,24.3,30.1,41.4,46.1,36.9,33.7,36.6,29.6,40.8,44.1,28.5,40.2,33.5,29.0,44.4,35.9,39.8,,24.3,28.8,32.8,40.3,44.2,46.1,36.6
10-19,32.0,41.0,39.6,44.0,36.7,38.3,40.2,34.8,40.4,38.2,26.6,42.8,35.4,28.6,43.7,27.5,41.6,,26.6,28.2,35.3,40.6,43.1,44.0,38.3
10-20,30.9,31.1,37.7,33.4,38.5,38.2,45.7,35.4,42.9,36.4,31.2,36.6,38.4,21.1,43.9,30.2,41.4,,21.1,30.6,32.9,38.4,43.3,45.7,36.6
10-21,25.2,20.9,30.4,30.9,39.9,38.7,41.4,32.5,40.8,36.0,40.4,27.1,40.9,27.0,45.1,36.6,42.2,,20.9,26.3,30.8,40.5,41.7,45.1,36.6
10-22,27.0,30.9,27.6,33.2,36.9,39.0,39.7,36.3,34.5,35.9,42.7,40.5,40.1,34.7,32.7,38.2,36.0,,27.0,29.6,34.2,38.4,40.3,42.7,36.0
10-23,35.3,39.5,37.3,34.4,35.6,39.5,33.0,36.7,42.9,34.4,44.9,39.1,36.4,26.6,26.4,34.3,20.8,,20.8,26.5,34.4,37.7,40.9,44.9,35.6
10-24,37.3,42.1,38.8,34.3,36.6,41.1,22.2,36.5,46.3,35.7,43.0,37.6,34.5,22.9,39.2,36.2,24.3,,22.2,23.7,35.5,38.9,42.5,46.3,36.6
10-25,27.5,41.8,43.7,24.5,23.9,32.4,16.4,37.4,47.1,39.2,39.1,40.8,33.0,35.5,12.8,42.2,27.2,,12.8,20.9,27.5,39.5,42.8,47.1,35.5
10-26,27.2,40.3,38.3,31.1,20.9,19.5,18.5,35.9,38.2,39.1,39.2,35.5,36.4,37.0,8.3,26.7,22.3,,8.3,19.1,25.8,37.2,39.1,40.3,35.5
10-27,34.4,37.4,40.7,22.3,20.1,23.9,31.1,37.2,26.5,30.7,46.9,34.8,41.0,14.1,28.4,30.2,20.3,,14.1,20.2,25.9,35.3,40.8,46.9,30.7
10-28,37.4,39.0,40.9,15.3,33.0,27.5,35.6,35.0,29.7,32.6,46.3,34.9,42.2,12.1,33.7,34.4,26.2,,12.1,21.8,32.0,35.9,41.4,46.3,34.4
10-29,35.9,42.6,40.9,14.5,39.0,34.7,36.9,25.9,36.6,31.4,42.2,39.1,39.2,3.7,34.1,35.2,29.5,,3.7,21.4,33.6,39.0,41.4,42.6,35.9
10-30,32.7,37.3,41.1,29.3,35.7,34.9,37.9,22.4,39.1,31.7,45.0,30.9,24.5,5.7,35.2,36.8,29.7,,5.7,23.7,30.7,36.9,39.9,45.0,34.9
10-31,26.6,32.0,41.2,32.6,32.0,35.9,39.5,28.4,42.6,37.7,34.1,34.7,24.8,26.7,36.3,36.7,32.4,,24.8,26.6,32.0,36.4,40.2,42.6,34.1
11-01,23.2,31.5,42.8,35.4,32.7,25.5,39.9,29.6,39.5,40.8,32.3,39.9,32.4,22.5,36.5,35.8,37.0,,22.5,24.6,32.2,37.5,40.3,42.8,35.4
11-02,32.6,29.9,36.3,34.3,40.8,16.7,33.8,34.6,28.9,39.8,29.1,39.2,36.4,28.4,38.6,33.6,28.1,,16.7,28.3,29.8,36.3,39.4,40.8,33.8
11-03,34.2,34.3,31.8,37.0,37.5,29.2,31.8,22.3,21.8,34.7,32.6,37.5,28.2,34.6,40.2,31.6,16.8,,16.8,22.1,31.1,34.6,37.5,40.2,32.6
11-04,30.9,38.2,28.4,38.6,38.6,32.9,36.5,14.1,26.4,25.5,36.1,34.7,29.2,32.8,39.2,38.6,19.6,,14.1,23.1,29.1,36.9,38.6,39.2,32.9
