date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,57.3,45.3,57.5,55.1,45.5,58.1,29.1,62.6,58.4,54.9,49.6,34.9,59.1,50.9,34.6,54.4,37.0,57.3,49.5,44.6,44.0,29.1,34.9,45.5,57.3,58.5,62.6,52.7
10-02,51.7,48.2,46.9,47.6,38.7,56.5,35.8,63.0,55.9,54.7,44.6,39.3,45.8,50.7,29.9,52.2,35.4,54.6,51.3,47.8,38.4,29.9,35.8,45.5,51.9,56.0,63.0,48.0
10-03,48.0,49.6,35.7,47.3,50.3,51.4,41.8,58.9,55.0,47.3,33.1,44.5,44.6,36.9,35.1,51.4,44.7,55.7,52.0,49.7,38.1,33.1,35.7,44.5,50.6,55.1,58.9,47.7
10-04,51.0,49.9,32.2,48.6,53.7,42.5,34.8,49.4,48.7,42.7,30.0,47.0,47.3,35.2,37.5,45.1,39.7,55.1,54.5,50.6,41.8,30.0,34.6,41.6,49.5,53.8,55.1,47.1
10-05,53.2,46.7,33.7,49.1,45.5,38.2,28.6,49.9,42.2,38.9,35.0,49.4,49.5,34.7,39.1,39.0,36.0,55.2,53.8,51.7,46.0,28.6,34.6,38.7,49.4,53.2,55.2,43.9
10-06,54.5,46.9,42.1,44.3,31.4,40.6,32.0,47.9,31.0,37.1,45.9,50.1,48.1,33.9,38.4,37.9,38.1,54.9,48.5,53.2,49.8,31.0,31.9,38.1,48.0,53.3,54.9,43.2
10-07,53.4,49.9,48.5,37.7,32.4,46.8,36.9,44.1,31.3,38.4,51.8,51.8,49.7,41.0,45.6,36.8,44.1,57.1,46.6,53.7,51.5,31.3,36.4,40.2,49.7,53.4,57.1,46.1
10-08,54.4,53.5,44.2,41.0,43.6,47.3,34.3,37.8,35.2,44.5,45.6,52.6,51.1,48.2,35.3,35.8,47.7,58.1,42.5,53.1,52.4,34.3,35.3,42.0,49.0,53.6,58.1,45.1
10-09,58.8,53.6,36.5,38.7,50.9,41.4,36.4,41.6,37.8,48.2,43.6,52.6,52.7,49.9,33.7,34.2,34.8,57.1,36.8,52.8,53.7,33.7,34.7,37.5,51.4,53.9,58.8,42.6
10-10,37.3,43.8,38.2,36.5,50.2,29.7,33.2,45.3,39.7,51.9,37.8,49.4,56.8,51.9,39.2,31.4,23.7,55.4,38.4,50.9,52.0,23.7,31.2,37.7,49.7,52.3,56.8,39.5
10-11,39.1,46.0,39.7,38.5,43.7,26.5,37.7,45.0,40.9,53.3,35.3,47.2,51.4,46.2,44.3,34.0,29.3,36.4,38.3,48.7,37.8,26.5,33.5,38.1,45.3,48.9,53.3,40.3
10-12,45.9,46.5,42.1,42.0,46.1,24.4,44.8,43.0,41.1,45.7,40.4,37.5,51.2,43.9,36.9,36.2,37.7,44.8,29.0,49.3,34.6,24.4,35.5,39.6,45.1,46.8,51.2,42.5
10-13,33.3,43.7,44.1,45.3,40.6,27.9,42.2,45.8,46.2,39.5,38.6,40.0,54.0,49.8,36.7,35.5,42.2,51.8,28.0,50.8,38.8,27.9,32.8,39.2,45.4,50.9,54.0,42.2
10-14,40.8,45.9,52.2,46.3,42.4,36.2,42.1,49.4,50.3,42.9,33.3,50.4,54.9,50.7,30.1,27.2,43.2,43.8,27.7,50.2,42.9,27.2,29.8,41.7,49.7,50.9,54.9,43.5
10-15,43.5,47.3,51.5,45.6,43.6,43.1,42.6,50.1,54.1,46.7,30.7,48.4,54.9,52.1,40.1,31.1,45.2,35.9,31.4,49.4,,30.7,31.4,42.9,48.7,52.3,54.9,45.4
10-16,46.6,51.0,47.0,35.7,42.3,44.5,44.9,51.1,48.8,43.6,33.4,43.4,54.1,39.5,44.5,38.4,49.9,40.9,43.9,45.9,,33.4,38.1,43.1,46.7,51.0,54.1,44.5
10-17,54.7,45.1,47.6,31.0,31.1,48.5,49.5,49.6,39.1,34.2,36.1,49.5,50.0,34.4,47.9,40.6,46.1,49.0,47.9,50.5,,31.0,33.9,40.1,49.1,50.0,54.7,47.7
10-18,58.0,32.8,49.3,29.8,30.8,49.9,54.3,47.6,42.0,39.7,35.9,49.9,48.9,33.2,48.2,41.4,35.2,48.2,40.3,53.5,,29.8,32.6,38.5,49.0,53.6,58.0,44.8
10-19,54.1,35.1,46.0,35.2,47.8,48.3,45.0,45.4,44.8,46.0,38.6,50.8,42.0,32.9,49.5,45.1,32.0,48.1,33.7,53.9,,32.0,33.6,41.0,47.9,51.1,54.1,45.3
