date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,55.0,48.9,57.6,36.3,62.8,54.7,56.8,52.7,39.7,58.6,50.0,48.9,54.0,43.5,58.8,46.6,53.2,41.5,36.3,42.0,48.9,55.4,58.7,62.8,53.2
10-02,52.2,46.4,55.6,45.7,57.9,52.9,58.3,50.9,43.2,49.5,49.6,37.6,50.2,45.0,60.1,50.7,52.0,37.8,37.6,44.2,48.8,52.3,58.1,60.1,50.7
10-03,49.6,50.7,52.0,46.0,53.1,50.9,59.2,40.1,50.4,46.0,38.1,41.4,51.6,50.5,58.1,50.0,47.3,41.7,38.1,40.9,47.0,51.0,55.1,59.2,50.4
10-04,50.7,50.9,39.7,41.2,43.3,46.6,55.2,29.3,51.1,46.9,41.2,50.5,42.8,48.2,59.5,53.6,50.9,44.6,29.3,40.6,43.2,50.9,54.2,59.5,48.2
10-05,47.5,41.7,38.8,35.2,41.0,36.3,52.7,36.3,50.5,42.6,42.3,50.0,42.4,48.2,59.9,44.1,50.7,50.4,35.2,36.3,41.6,48.6,51.5,59.9,42.6
10-06,42.8,29.5,43.7,36.3,39.6,28.9,48.7,48.6,53.2,40.8,39.6,42.3,36.7,45.9,59.2,44.4,50.7,52.0,28.9,33.6,39.6,46.4,51.7,59.2,42.8
10-07,40.5,33.6,49.1,39.2,41.7,29.8,46.4,50.2,53.1,46.6,43.9,53.1,33.1,49.5,58.5,46.8,51.4,54.9,29.8,33.4,41.5,49.6,53.1,58.5,46.6
10-08,44.1,42.8,53.4,41.2,42.3,32.5,50.5,46.8,50.5,51.1,48.2,46.6,33.1,54.0,58.3,41.4,51.4,54.9,32.5,37.9,42.7,50.6,53.6,58.3,46.8
10-09,39.4,48.7,51.4,46.6,44.1,36.1,51.4,41.0,49.6,53.4,51.1,33.3,38.1,45.9,54.9,38.5,49.3,53.6,33.3,37.3,40.7,49.9,52.2,54.9,46.6
10-10,39.6,50.4,44.8,47.3,45.0,42.1,51.6,33.1,51.4,54.7,51.4,38.1,39.9,26.1,53.1,39.6,50.4,52.5,26.1,36.1,39.8,50.6,52.2,54.7,45.0
10-11,42.3,50.2,27.9,45.0,48.2,46.8,44.1,37.9,51.3,54.9,50.7,47.3,37.2,36.0,48.6,39.0,51.8,42.6,27.9,36.7,41.6,48.9,51.5,54.9,46.8
10-12,45.9,45.5,23.0,43.0,46.8,48.4,35.6,40.8,40.8,56.7,50.9,46.9,39.7,41.5,52.7,27.1,53.1,34.3,23.0,32.2,40.8,47.2,52.8,56.7,45.5
10-13,48.2,40.3,25.7,41.0,48.9,54.0,41.5,36.7,44.1,58.3,51.8,46.8,43.7,46.6,56.5,30.6,52.9,39.0,25.7,34.2,41.4,49.5,55.0,58.3,46.6
10-14,36.0,40.5,37.0,42.3,52.2,56.8,45.5,33.6,49.8,58.5,51.6,40.1,29.5,46.6,58.1,31.8,53.4,45.7,29.5,32.9,39.5,51.7,57.3,58.5,45.5
10-15,39.0,45.5,45.3,48.0,51.1,57.6,50.9,31.8,51.1,58.1,52.3,46.4,28.4,49.5,47.7,35.1,53.6,,28.4,33.8,45.5,51.1,55.2,58.1,48.0
10-16,42.8,39.9,48.6,50.9,51.6,54.1,52.7,35.4,50.0,50.5,49.8,52.2,35.2,52.9,50.5,43.0,47.1,,35.2,38.1,46.3,51.0,52.8,54.1,50.0
10-17,30.9,36.5,51.3,52.2,46.0,45.3,43.7,41.5,49.6,45.1,46.2,54.3,31.3,50.0,54.9,44.6,47.3,,30.9,34.4,44.4,49.7,53.0,54.9,46.0
10-18,29.7,36.9,50.9,54.5,41.2,47.1,48.6,39.2,49.5,45.0,44.6,53.1,35.1,38.1,56.1,35.2,49.5,,29.7,35.2,39.0,49.5,53.6,56.1,45.0
10-19,37.8,48.6,50.0,49.8,43.7,49.6,53.6,44.2,50.5,41.0,38.8,50.4,40.8,42.6,55.6,37.4,50.0,,37.4,38.4,42.3,50.0,51.8,55.6,48.6
