date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.8,55.2,53.3,45.7,58.6,28.7,62.9,58.6,55.6,51.4,35.0,60.4,54.5,34.7,53.2,35.5,55.0,46.6,44.4,42.4,28.7,34.9,45.7,55.1,59.0,62.9,53.2
10-02,50.0,49.3,46.0,40.1,56.8,36.1,63.0,55.8,57.0,46.4,39.3,44.6,52.7,29.8,54.6,34.7,54.9,49.0,47.7,36.1,29.8,35.9,45.1,53.8,56.9,63.0,49.0
10-03,50.3,36.5,45.6,53.6,52.1,41.6,59.1,54.8,49.5,33.2,45.3,44.1,35.0,36.3,49.7,46.0,54.2,50.8,48.3,37.2,33.2,36.0,44.6,50.6,54.3,59.1,48.3
10-04,50.1,33.4,46.7,55.7,41.8,35.3,48.8,49.5,45.8,28.5,47.8,46.0,35.1,40.0,44.4,40.8,54.6,53.4,47.8,40.3,28.5,34.7,41.2,48.4,53.6,55.7,46.0
10-05,47.8,34.5,46.0,44.7,37.8,27.7,48.3,40.6,39.7,33.8,49.7,49.2,33.7,39.5,38.0,35.5,54.8,51.6,49.4,44.2,27.7,33.8,37.9,48.1,50.1,54.8,40.6
10-06,48.6,39.3,41.6,29.9,41.9,31.2,45.9,29.3,37.4,45.9,51.1,47.6,34.9,38.4,38.2,37.0,54.3,46.8,50.1,47.2,29.3,30.9,37.7,46.4,50.3,54.3,41.6
10-07,52.0,48.6,35.8,31.0,48.7,38.1,43.4,29.7,39.1,52.5,53.1,49.7,42.5,49.6,35.3,45.2,56.2,47.6,51.0,49.7,29.7,34.5,40.5,49.7,52.6,56.2,47.6
10-08,54.9,41.4,39.0,43.9,49.2,33.6,38.8,33.5,47.1,46.2,53.3,52.4,48.6,35.2,34.9,50.6,58.6,42.1,51.1,51.7,33.5,34.6,40.0,50.0,53.6,58.6,46.2
10-09,54.5,33.9,37.8,51.1,44.1,37.9,42.1,36.7,50.1,42.9,52.1,53.3,52.9,32.0,34.3,33.6,56.4,34.9,50.8,52.5,32.0,33.8,37.1,51.0,53.6,56.4,42.9
10-10,44.0,36.0,34.7,51.2,30.3,34.3,45.6,40.5,53.2,35.6,50.9,58.6,53.8,40.3,31.3,21.0,56.2,37.1,50.0,52.7,21.0,31.1,35.7,50.5,54.3,58.6,40.5
10-11,44.6,38.1,37.5,43.9,26.4,40.6,45.4,42.2,53.4,35.6,48.3,54.1,48.2,48.2,33.9,29.5,35.5,37.8,48.5,36.5,26.4,33.0,37.6,47.1,49.5,54.1,42.2
10-12,47.2,40.9,40.7,47.2,23.0,46.4,42.4,42.7,43.4,41.2,37.7,53.8,45.8,37.8,36.7,38.5,44.6,28.8,48.4,32.4,23.0,35.1,39.4,45.3,47.5,53.8,42.4
