date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,40.9,52.5,27.5,57.6,50.8,51.2,48.4,33.2,56.1,46.7,35.3,51.2,37.7,51.5,43.9,44.9,39.2,27.5,34.2,42.4,51.2,54.3,57.6,47.6
10-02,38.6,51.7,35.7,56.2,49.6,51.9,48.7,37.2,44.6,47.0,27.4,49.2,36.5,51.9,44.6,45.4,35.4,27.4,36.1,41.6,49.4,51.9,56.2,46.2
10-03,46.8,47.6,39.6,52.3,48.2,51.4,33.5,42.9,41.7,33.7,32.7,48.1,44.1,50.8,46.4,45.0,36.3,32.7,33.6,42.3,47.9,51.1,52.3,45.7
10-04,49.9,38.3,35.6,44.4,45.8,48.6,25.6,45.0,46.1,33.1,42.2,40.7,41.8,51.4,48.3,44.8,39.5,25.6,34.3,41.3,46.0,49.2,51.4,44.6
10-05,42.9,35.7,26.8,42.4,37.5,42.9,32.2,46.0,42.8,34.3,41.8,35.8,38.1,51.7,45.1,45.8,43.9,26.8,33.3,36.6,42.9,45.9,51.7,42.1
10-06,27.8,37.8,30.7,39.8,26.6,38.3,43.6,47.5,41.4,31.9,36.3,34.7,37.8,50.7,42.6,45.8,45.9,26.6,29.3,35.5,42.0,46.7,50.7,38.1
10-07,27.8,43.3,37.4,39.4,25.9,36.9,45.0,47.9,44.8,37.1,44.9,33.6,43.3,51.5,43.4,46.9,47.4,25.9,30.7,37.2,44.9,47.4,51.5,43.3
10-08,38.6,46.7,33.3,36.1,30.6,43.7,43.0,47.9,48.4,42.9,37.3,32.8,47.2,52.0,39.3,47.0,48.2,30.6,33.0,38.0,46.9,48.1,52.0,42.9
10-09,44.1,45.2,37.3,38.5,32.1,45.0,41.8,46.4,48.9,45.3,28.5,32.5,38.6,51.8,33.8,46.3,47.8,28.5,32.3,37.9,45.3,47.7,51.8,42.9
10-10,47.2,35.5,36.4,41.8,36.3,46.8,32.9,44.9,51.0,46.2,33.2,30.3,20.1,51.0,34.5,46.1,49.5,20.1,31.6,35.0,46.1,49.1,51.0,39.1
10-11,44.2,29.8,41.7,43.1,40.5,45.1,32.3,44.7,50.7,45.6,40.2,33.0,28.9,39.2,35.3,46.6,36.2,28.9,31.0,37.2,44.5,46.1,50.7,41.1
10-12,43.5,19.4,42.3,41.4,41.3,36.7,35.6,34.8,51.1,43.8,39.9,33.9,35.1,44.1,29.0,46.8,30.2,19.4,31.5,35.4,42.9,45.4,51.1,40.6
10-13,36.0,23.2,40.5,42.4,45.3,36.8,35.4,37.1,51.8,46.5,39.8,35.8,38.0,49.4,26.4,46.5,33.3,23.2,30.9,36.4,43.9,47.9,51.8,38.9
10-14,36.7,33.3,39.8,45.4,47.9,40.4,30.3,43.2,51.6,50.4,29.6,23.1,39.8,49.0,24.2,45.7,37.9,23.1,26.9,35.0,45.5,49.7,51.6,40.1
10-15,39.6,39.1,41.1,46.2,51.2,43.8,26.5,45.7,50.4,51.6,40.5,25.5,42.1,38.9,28.7,45.6,,25.5,27.6,39.3,45.7,50.8,51.6,41.6
10-16,37.6,42.3,42.7,46.2,48.9,44.9,29.4,45.0,49.0,49.5,43.8,33.2,45.7,42.5,39.0,42.9,,29.4,35.4,42.4,45.3,49.0,49.5,43.3
10-17,28.2,45.0,44.9,43.9,38.1,35.0,33.5,45.4,44.3,37.4,45.8,32.2,44.6,46.4,39.5,43.3,,28.2,32.9,37.7,44.8,45.6,46.4,43.6
10-18,29.3,45.2,49.5,38.9,39.9,40.1,32.5,45.2,43.3,36.1,46.5,31.9,31.5,46.7,34.2,45.3,,29.3,31.7,35.2,45.2,46.6,49.5,40.0
10-19,43.0,44.0,47.1,40.1,42.6,45.0,36.5,44.6,39.8,31.6,47.1,37.8,33.3,46.1,28.4,46.0,,28.4,32.4,38.8,44.8,46.6,47.1,42.8
10-20,33.2,41.5,35.9,42.8,41.6,48.2,37.6,45.1,37.8,37.7,37.8,40.1,23.9,45.8,32.9,45.7,,23.9,33.1,37.7,42.2,45.8,48.2,38.9
10-21,22.3,35.7,34.4,40.5,43.6,44.3,36.6,43.2,38.5,43.2,28.8,40.5,31.0,48.3,39.3,44.6,,22.3,29.9,36.2,43.2,44.4,48.3,39.9
10-22,30.6,30.4,35.5,38.2,42.4,42.4,40.1,40.5,38.2,46.2,40.9,39.6,36.8,41.6,39.3,37.1,,30.4,33.0,37.6,40.7,42.4,46.2,39.5
10-23,42.2,38.4,36.9,35.8,44.3,38.2,40.7,45.4,37.2,46.9,42.2,38.1,33.8,37.0,36.1,23.3,,23.3,34.8,37.0,41.4,44.9,46.9,38.1
10-24,44.4,40.3,35.8,37.9,45.2,26.8,41.6,47.4,38.9,43.8,42.4,38.2,28.9,43.0,38.7,22.9,,22.9,27.8,38.0,42.7,44.8,47.4,39.6
10-25,44.8,45.3,28.0,26.2,38.0,20.7,40.9,47.5,39.7,41.0,44.4,36.3,40.2,23.6,43.0,29.3,,20.7,24.9,32.8,42.0,45.1,47.5,40.0
10-26,43.7,45.3,32.4,22.8,25.3,23.6,40.4,41.4,40.3,41.5,40.4,39.7,41.7,12.0,27.3,27.8,,12.0,23.2,27.5,40.9,42.7,45.3,40.0
10-27,42.9,45.9,23.9,22.9,27.6,33.3,40.1,30.1,37.1,44.3,38.7,43.5,20.4,27.0,31.2,22.3,,20.4,22.6,27.3,39.4,43.9,45.9,32.3
10-28,43.9,47.5,18.2,29.1,31.5,39.1,36.1,35.3,37.3,47.1,38.9,44.3,18.4,37.9,37.6,29.0,,18.2,23.7,33.4,39.0,45.7,47.5,37.4
10-29,43.7,46.7,17.1,37.0,36.7,41.4,26.8,40.6,32.6,45.8,42.5,41.7,12.2,38.0,40.0,33.1,,12.2,21.9,34.9,41.6,44.7,46.7,39.0
