date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,52.0,52.6,41.3,54.2,28.2,58.9,52.3,52.1,49.3,34.3,57.9,47.5,35.3,51.5,38.7,53.1,45.5,44.6,39.5,28.2,35.0,44.7,52.3,55.3,58.9,50.4
10-02,53.6,48.2,38.8,52.8,36.0,57.9,51.0,52.7,49.5,37.1,45.2,48.5,28.7,49.7,36.9,52.6,46.2,46.2,36.2,28.7,36.6,45.3,50.8,53.0,57.9,48.4
10-03,49.6,45.6,47.0,48.3,40.5,54.0,49.5,50.8,34.2,43.2,42.9,35.2,34.7,48.6,46.0,52.1,48.3,45.7,36.5,34.2,35.1,43.4,48.6,51.1,54.0,46.5
10-04,33.1,46.1,50.4,38.9,36.4,45.6,46.5,48.0,26.6,45.2,47.9,33.6,43.9,41.5,42.8,52.2,49.7,46.3,40.1,26.6,33.5,41.6,46.5,49.9,52.2,45.4
10-05,31.2,46.2,43.8,36.4,27.4,43.7,38.2,42.5,32.0,46.6,44.2,34.9,42.6,37.3,37.3,52.5,47.1,48.0,44.3,27.4,31.8,37.3,44.2,47.3,52.5,42.6
10-06,39.2,41.0,28.8,38.8,31.5,41.0,27.5,37.5,43.4,47.9,42.8,32.8,36.7,35.9,38.5,51.6,43.2,47.8,47.0,27.5,30.7,36.8,42.6,47.9,51.6,39.0
10-07,46.6,38.7,28.6,44.0,38.2,40.3,26.5,37.1,45.8,49.3,45.9,38.3,44.0,34.0,44.0,52.9,44.4,48.8,48.8,26.5,32.4,38.3,45.7,48.9,52.9,44.0
10-08,42.3,40.6,40.0,47.3,33.5,36.2,31.1,44.1,44.3,49.1,49.3,44.4,37.3,33.1,47.6,53.1,40.7,48.7,49.6,31.1,33.4,40.1,47.0,49.2,53.1,43.2
10-09,34.3,36.8,46.1,45.4,37.3,38.7,33.4,46.4,43.6,47.9,50.3,46.5,29.4,33.1,39.0,52.9,34.6,47.9,49.2,29.4,33.3,36.8,46.4,48.6,52.9,41.3
10-10,34.7,35.3,48.7,35.0,36.3,42.0,36.6,48.3,33.4,46.1,52.1,46.8,34.5,30.9,21.1,52.2,35.4,47.4,50.3,21.1,32.6,35.0,46.7,49.8,52.2,36.4
10-11,37.1,37.9,45.0,30.8,41.7,43.3,40.6,47.0,32.8,45.2,51.0,45.8,41.5,33.0,28.7,39.2,37.0,46.9,37.7,28.7,32.2,37.2,44.8,46.9,51.0,41.0
10-12,40.1,41.2,44.3,20.6,42.9,42.2,41.6,37.7,36.8,35.6,51.3,44.6,40.0,34.7,36.2,43.3,30.4,47.1,31.7,20.6,33.4,36.9,42.9,45.3,51.3,40.7
10-13,43.9,44.1,36.9,24.3,41.1,43.6,45.8,36.9,36.9,37.1,52.7,47.8,39.9,36.1,39.2,49.2,27.2,47.8,35.1,24.3,33.4,36.9,44.1,48.2,52.7,40.5
10-14,49.0,40.1,37.6,34.2,39.7,46.5,48.3,41.1,31.4,44.0,52.6,50.6,30.2,24.0,40.7,48.5,25.2,47.1,39.3,24.0,28.7,37.8,47.1,49.5,52.6,40.9
10-15,46.7,41.7,40.4,40.2,41.2,47.5,51.8,44.4,27.4,46.2,52.4,52.4,41.1,27.2,43.3,38.6,29.1,47.1,,27.2,28.6,40.5,46.6,52.0,52.4,42.5
10-16,42.9,35.6,38.5,43.2,42.9,47.6,49.2,44.7,30.0,45.5,50.8,49.8,44.4,35.4,46.6,42.1,40.7,44.1,,30.0,35.6,42.2,45.4,49.4,50.8,43.7
10-17,45.9,28.8,28.8,46.3,46.4,44.6,38.6,34.8,34.1,47.0,45.6,38.0,46.7,34.1,45.3,46.3,41.1,45.9,,28.8,32.5,38.1,45.9,46.5,47.0,45.0
10-18,42.0,26.8,29.4,46.2,50.3,40.0,40.1,40.2,33.1,46.7,44.5,35.7,47.4,33.2,32.7,46.7,36.1,47.8,,26.8,31.7,35.7,46.1,47.5,50.3,40.1
10-19,38.6,32.5,42.3,45.2,47.8,41.6,42.9,45.3,36.7,46.8,41.0,32.4,48.3,40.0,32.8,46.1,29.2,48.5,,29.2,32.5,38.8,45.3,48.0,48.5,42.0
10-20,41.8,34.7,33.2,42.3,36.5,44.7,42.5,48.4,38.1,46.6,39.0,38.1,39.0,42.2,24.4,46.0,33.8,47.4,,24.4,33.6,38.1,42.5,46.8,48.4,40.4
10-21,42.8,29.9,23.9,35.2,34.7,41.9,44.5,44.8,37.6,43.9,39.4,43.9,29.1,41.8,30.8,48.3,40.4,45.3,,23.9,29.6,35.4,43.7,45.0,48.3,41.1
10-22,44.5,33.7,30.4,29.7,36.0,39.1,42.9,42.8,41.6,40.9,39.3,46.4,40.0,41.3,36.8,41.1,40.4,37.8,,29.7,32.7,37.9,41.2,43.4,46.4,40.2
10-23,46.4,41.8,42.4,37.1,37.0,36.0,44.9,38.4,42.6,45.9,38.1,47.6,42.2,39.0,34.0,35.4,36.5,24.5,,24.5,35.0,37.0,42.3,46.1,47.6,38.7
10-24,47.5,42.8,46.2,40.5,36.0,37.4,45.5,27.4,43.2,48.0,39.9,44.4,42.8,39.5,28.6,42.4,39.3,23.7,,23.7,28.3,39.3,43.2,46.6,48.0,41.5
10-25,43.1,27.5,45.7,45.3,28.1,26.7,38.2,21.3,42.5,49.0,40.7,41.6,44.6,36.6,38.8,23.2,44.1,28.9,,21.3,25.6,29.7,43.0,45.4,49.0,39.8
10-26,41.7,26.4,45.0,46.4,32.2,23.4,26.5,23.8,42.1,42.4,41.1,42.6,40.6,39.6,39.9,12.1,28.5,27.9,,12.1,23.7,27.9,41.7,43.3,46.4,39.8
10-27,42.4,35.6,44.1,46.7,24.4,24.3,28.3,32.5,41.2,30.5,37.2,45.1,38.3,44.0,20.8,26.7,31.8,23.7,,20.8,24.1,28.5,40.9,44.4,46.7,34.1
10-28,34.6,43.1,45.1,48.4,18.9,31.2,32.3,39.1,37.6,35.8,36.9,47.4,39.4,44.8,18.3,37.6,38.3,30.8,,18.3,27.2,34.7,39.4,45.8,48.4,37.6
