date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.3,54.6,54.2,44.1,55.1,27.9,60.0,56.1,53.0,50.5,34.6,59.9,52.2,34.7,52.9,36.6,53.9,46.0,44.4,41.6,27.9,34.7,44.3,54.1,56.8,60.0,52.2
10-02,46.3,52.5,47.7,39.4,54.4,35.4,59.9,53.9,54.3,47.7,38.6,44.3,51.5,29.6,53.3,35.8,53.4,47.8,48.4,36.2,29.6,35.7,45.1,53.0,54.3,59.9,47.8
10-03,46.1,43.1,46.5,51.2,50.2,41.1,56.1,52.2,50.0,32.8,43.7,43.2,35.4,36.3,49.0,46.5,53.3,49.8,48.0,37.2,32.8,36.1,43.4,49.9,52.4,56.1,46.5
10-04,46.1,31.5,48.4,52.8,40.4,35.8,47.7,48.3,46.9,27.6,45.8,47.6,34.7,41.7,43.6,41.3,53.4,52.4,47.1,40.1,27.6,34.0,41.5,47.7,52.5,53.4,46.1
10-05,45.0,32.2,48.2,43.6,37.3,27.3,46.6,40.0,40.3,32.7,47.4,48.0,33.6,40.7,37.0,36.5,53.6,50.1,49.0,44.0,27.3,32.6,37.1,47.1,49.3,53.6,40.7
10-06,45.5,39.4,42.8,29.3,39.9,30.7,44.2,28.8,36.9,44.3,49.2,46.2,33.2,37.5,36.8,37.6,52.8,45.5,49.5,47.3,28.8,30.5,37.1,45.0,49.2,52.8,39.9
10-07,48.7,48.4,38.0,30.0,46.0,37.7,42.3,29.2,37.3,50.2,50.7,47.7,40.4,47.2,35.1,45.4,55.1,46.9,50.0,49.7,29.2,34.1,39.0,48.1,50.3,55.1,46.0
10-08,51.9,42.5,39.5,42.2,48.1,33.6,38.3,33.0,45.2,45.2,50.7,50.5,46.8,35.6,34.3,49.9,56.8,42.2,49.9,50.5,33.0,34.2,40.6,49.2,50.9,56.8,45.2
10-09,52.5,34.3,37.9,48.9,44.2,37.6,40.5,35.1,48.1,42.9,49.6,51.6,49.6,31.3,33.8,35.2,55.2,35.1,49.6,51.0,31.3,34.2,36.2,49.3,51.8,55.2,42.9
10-10,42.7,36.1,35.8,49.6,30.3,35.1,43.5,38.5,50.5,35.2,48.1,55.9,51.0,39.4,31.8,21.2,54.6,36.8,48.9,52.0,21.2,31.5,35.9,48.6,51.8,55.9,39.4
10-11,43.4,37.6,37.9,43.9,26.7,41.1,44.0,41.6,50.9,34.5,46.7,52.8,48.0,46.3,33.7,29.4,37.2,37.3,47.9,36.5,26.7,32.9,37.4,45.3,48.6,52.8,41.6
10-12,45.2,40.5,40.8,45.9,22.1,44.9,41.2,41.6,41.3,39.7,36.1,51.4,44.8,38.2,35.2,38.0,45.1,29.9,47.7,31.7,22.1,34.1,38.8,44.8,46.2,51.4,41.2
10-13,42.3,43.9,43.7,37.8,25.6,41.1,43.9,46.7,38.3,37.3,38.8,54.3,50.1,39.8,36.8,42.5,51.5,27.1,48.0,35.9,25.6,34.9,38.5,43.9,50.3,54.3,42.3
10-14,45.7,50.3,42.3,39.4,34.5,40.9,48.3,49.4,42.2,32.0,49.0,54.2,52.6,28.8,25.2,42.8,46.4,25.7,48.1,41.2,25.2,28.2,40.0,48.2,50.8,54.2,42.8
10-15,48.0,48.8,43.2,42.6,42.1,41.4,48.9,54.0,46.7,29.1,50.3,54.1,53.5,41.0,28.2,44.5,36.4,29.9,47.6,,28.2,29.7,41.7,48.5,53.6,54.1,44.5
10-16,50.5,44.2,34.7,40.7,44.5,43.2,49.9,49.7,45.6,31.4,45.0,54.0,48.7,46.2,37.4,50.2,42.1,42.2,45.4,,31.4,36.8,42.6,47.7,50.3,54.0,45.0
10-17,42.7,46.6,29.3,29.8,47.7,49.0,47.0,38.2,34.9,35.0,48.9,48.9,36.4,49.2,38.3,46.5,48.2,45.0,47.0,,29.3,33.9,38.2,47.4,48.9,49.2,46.5
10-18,34.0,45.0,27.7,30.9,49.3,53.4,43.6,40.2,40.1,34.0,48.6,47.4,34.9,48.1,37.3,31.6,48.5,37.1,49.2,,27.7,31.5,35.8,47.9,49.2,53.4,40.2
10-19,36.3,41.6,34.1,47.0,46.8,46.7,43.1,44.8,46.9,38.1,48.9,43.0,32.6,50.3,41.9,32.2,47.8,31.7,50.4,,31.7,32.5,39.5,46.9,49.2,50.4,43.1
10-20,37.0,42.4,34.9,33.3,46.3,36.1,46.1,43.4,51.2,39.7,50.4,40.1,39.6,38.5,45.3,25.9,47.5,36.8,48.7,,25.9,34.6,37.6,45.8,49.0,51.2,40.1
