date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,53.8,42.1,53.6,53.1,43.2,54.0,27.1,59.2,54.8,52.4,49.8,33.9,58.6,50.7,33.8,51.3,36.6,53.4,45.4,43.7,40.2,27.1,33.9,43.5,53.4,55.2,59.2,51.0
10-02,48.0,45.0,53.4,46.8,38.5,53.3,34.8,59.1,52.3,53.2,47.1,38.2,43.3,49.7,28.3,52.2,35.1,52.4,47.0,47.5,35.1,28.3,35.1,44.5,52.2,53.3,59.1,47.3
10-03,44.9,44.6,43.9,45.7,49.1,48.6,39.9,54.6,50.7,50.0,31.7,43.3,41.8,34.2,35.5,48.5,45.6,52.7,49.3,47.2,35.7,31.7,35.4,43.7,48.8,50.9,54.6,45.7
10-04,47.0,44.4,31.2,47.7,51.5,39.3,35.4,46.6,47.3,46.7,27.1,45.1,46.7,33.6,41.4,42.0,40.4,52.5,51.1,46.6,38.7,27.1,33.4,41.1,46.8,51.1,52.5,45.9
10-05,48.4,43.7,31.8,47.7,43.3,36.6,26.4,45.4,39.3,40.2,32.3,46.7,47.0,32.6,40.4,36.2,36.6,52.7,48.7,48.1,43.6,26.4,32.3,36.6,46.8,48.4,52.7,41.9
10-06,49.6,44.3,39.1,41.9,28.6,39.1,30.1,43.3,28.4,36.3,44.4,48.4,45.6,31.7,36.8,35.5,37.5,52.5,43.2,49.2,46.7,28.4,29.9,36.7,44.3,49.2,52.5,40.5
10-07,49.8,47.3,48.0,37.6,29.0,44.9,37.6,41.1,28.4,36.5,49.2,50.0,47.3,39.5,45.9,34.3,45.0,54.3,45.3,49.7,49.3,28.4,33.8,38.9,47.5,49.8,54.3,45.2
10-08,52.2,50.3,42.2,39.1,41.4,47.4,33.1,37.5,32.7,44.3,44.7,49.6,49.7,46.1,35.1,33.1,48.4,55.6,40.6,49.3,50.1,32.7,33.1,40.2,48.7,50.5,55.6,44.5
10-09,55.7,50.8,34.2,37.3,47.8,43.8,36.9,39.8,34.3,47.2,42.7,48.7,50.5,48.4,30.4,32.4,34.8,54.0,34.3,49.0,50.3,30.4,34.1,36.3,48.5,51.1,55.7,43.2
10-10,38.2,42.2,35.8,35.0,49.2,31.0,34.6,42.8,37.3,49.2,34.6,47.2,54.9,49.4,38.3,31.2,20.6,53.0,35.5,47.9,50.7,20.6,31.2,35.4,47.4,49.7,54.9,38.2
10-11,38.5,41.0,37.1,37.3,43.8,25.9,40.1,43.3,41.0,50.1,33.2,45.8,52.0,46.8,44.5,33.1,29.2,36.0,36.5,46.3,35.7,25.9,32.7,36.9,44.0,47.2,52.0,40.5
10-12,46.9,44.5,39.8,40.6,45.1,21.4,43.4,40.9,40.7,40.3,38.2,34.9,50.8,44.2,37.8,34.4,38.0,43.6,29.5,47.1,30.6,21.4,33.9,38.1,43.8,46.9,50.8,40.6
10-13,32.9,41.3,43.3,43.5,37.2,24.8,39.5,43.5,45.8,37.4,36.4,38.0,53.4,48.7,38.8,36.0,41.8,50.1,26.0,47.6,34.3,24.8,32.2,37.3,43.5,48.9,53.4,40.4
10-14,41.9,44.9,49.6,40.9,38.4,33.9,39.4,47.7,48.2,41.3,31.1,48.0,53.4,51.1,28.3,24.2,42.0,45.5,24.7,48.0,39.9,24.2,28.0,39.1,47.8,49.8,53.4,42.0
10-15,45.1,46.4,47.6,42.3,41.8,41.1,40.5,48.1,52.7,45.6,27.4,49.2,53.4,52.5,41.7,27.5,44.2,35.5,29.0,47.0,,27.4,28.8,41.5,47.2,52.6,53.4,44.6
10-16,46.4,48.8,43.7,34.2,39.8,44.0,42.3,48.8,48.7,44.1,30.2,44.1,52.9,48.7,46.2,36.7,49.2,41.0,42.2,44.0,,30.2,36.4,42.2,47.1,48.9,52.9,44.0
10-17,52.2,41.1,45.9,28.7,29.1,47.2,48.0,45.6,37.7,34.3,34.0,48.1,47.9,35.8,48.6,37.5,45.4,46.8,43.5,46.6,,28.7,33.5,37.6,46.9,48.2,52.2,45.5
10-18,54.4,32.8,43.9,27.2,30.0,48.2,52.0,42.6,39.7,39.8,33.4,47.7,46.5,33.7,47.9,36.5,30.8,47.2,35.6,48.7,,27.2,30.7,35.0,47.3,49.1,54.4,41.2
10-19,52.4,35.3,40.9,33.5,45.4,45.8,46.4,42.7,44.7,45.6,37.6,48.1,42.0,31.7,49.3,41.8,30.6,46.7,30.8,50.3,,30.6,31.6,39.9,46.0,49.4,52.4,43.7
10-20,53.1,36.2,41.6,34.0,32.2,45.5,35.8,45.8,42.9,49.9,39.1,49.0,39.9,39.1,37.6,44.4,24.7,46.4,35.6,48.5,,24.7,33.8,37.2,45.6,49.1,53.1,40.7
10-21,55.2,33.2,42.3,29.7,24.0,34.4,34.8,45.0,44.6,44.7,38.7,43.5,39.3,48.2,29.9,44.4,30.7,48.3,42.5,46.6,,24.0,29.8,34.7,44.6,48.2,55.2,42.4
10-22,56.0,28.4,44.8,33.0,30.3,30.6,36.6,41.4,43.0,43.7,42.9,39.8,40.4,48.8,42.1,42.5,37.6,34.6,43.3,35.3,,28.4,30.6,36.2,42.9,45.2,56.0,40.9
10-23,48.3,31.7,46.3,42.4,42.1,38.0,38.0,36.9,44.9,35.6,44.6,48.1,38.7,49.6,42.2,40.4,32.6,31.4,35.3,23.5,,23.5,31.7,36.5,43.1,48.1,49.6,39.5
10-24,37.6,31.5,48.6,44.0,49.2,40.6,36.1,38.1,47.5,26.4,45.0,50.5,42.1,43.4,42.7,41.0,29.1,42.4,38.1,24.0,,24.0,28.8,37.9,43.6,48.6,50.5,41.5
10-25,31.9,32.5,44.8,28.1,49.1,44.8,28.1,26.1,35.9,22.5,44.2,50.6,43.7,43.0,46.1,36.9,40.0,19.3,41.1,28.9,,19.3,25.7,31.0,43.9,46.4,50.6,38.4
10-26,37.6,35.3,42.2,26.9,46.3,45.8,34.8,23.7,25.6,24.4,42.8,40.5,43.0,45.8,41.3,40.2,40.3,13.0,28.0,26.4,,13.0,24.3,27.7,41.6,45.8,46.3,38.9
10-27,42.9,36.8,42.6,35.3,44.0,48.7,24.6,23.0,29.0,33.9,42.7,30.1,36.7,48.9,38.8,45.7,20.1,27.0,32.4,23.6,,20.1,23.6,29.8,42.7,46.0,48.9,36.0
10-28,43.7,28.9,34.7,42.5,46.3,49.7,21.0,34.1,33.4,40.3,36.2,35.5,37.6,48.6,40.3,48.2,16.8,36.2,37.3,32.5,,16.8,28.1,34.5,41.0,48.2,49.7,36.8
