date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,60.4,56.3,52.0,42.2,31.8,52.7,46.0,28.2,48.4,26.8,53.9,43.0,37.9,34.2,26.8,28.9,40.5,52.3,55.8,60.4,46.0
10-02,60.6,54.0,52.4,36.5,37.7,41.9,43.1,25.6,49.8,28.0,52.9,45.5,43.1,33.3,25.6,29.7,40.2,50.9,53.8,60.6,43.1
10-03,56.9,52.6,37.4,24.4,42.0,39.2,27.9,29.9,45.3,35.0,51.6,48.0,42.8,35.5,24.4,28.3,36.4,46.4,52.4,56.9,42.0
10-04,44.9,43.8,37.4,24.3,45.2,41.2,31.0,31.0,38.6,29.3,52.2,51.0,44.4,38.1,24.3,29.6,34.8,44.6,49.8,52.2,41.2
10-05,44.8,34.2,32.7,30.3,47.4,46.3,27.3,31.7,32.4,29.1,51.4,50.4,46.8,40.3,27.3,29.4,32.2,46.5,49.8,51.4,34.2
10-06,43.4,25.2,30.8,42.7,49.7,44.2,30.7,37.3,32.3,32.5,51.7,45.2,48.1,43.3,25.2,30.8,32.4,44.6,49.4,51.7,42.7
10-07,37.8,29.7,36.3,46.1,49.1,47.7,35.1,43.1,31.6,42.0,53.5,40.6,48.6,45.6,29.7,32.3,37.2,46.7,49.0,53.5,42.0
10-08,36.8,31.3,44.9,34.5,48.5,49.4,43.4,26.3,30.6,45.1,53.1,36.9,48.6,48.6,26.3,30.8,35.9,46.5,49.2,53.1,43.4
10-09,41.1,31.5,44.5,36.5,46.6,51.7,46.2,26.8,30.1,20.2,50.8,31.1,48.1,50.0,20.2,27.4,31.3,46.4,50.3,51.7,41.1
10-10,44.4,34.4,47.8,32.7,44.0,56.7,26.8,35.5,29.9,16.2,47.5,33.1,48.0,44.1,16.2,27.4,32.9,45.6,48.0,56.7,35.5
10-11,38.8,36.0,48.3,31.5,43.0,45.5,38.8,37.6,29.4,28.1,30.3,25.1,44.9,31.1,25.1,28.4,31.0,40.5,45.4,48.3,37.6
10-12,37.0,36.7,47.0,35.6,32.3,49.4,37.2,28.0,30.6,36.6,39.9,20.5,46.8,31.6,20.5,28.5,34.3,38.3,47.0,49.4,36.7
10-13,42.7,43.1,38.6,30.9,40.4,52.2,44.2,29.3,28.1,39.4,46.4,21.7,46.8,33.2,21.7,28.4,35.5,43.5,46.8,52.2,40.4
10-14,47.3,46.1,43.0,28.0,47.2,53.0,42.3,23.4,15.7,38.9,34.5,21.8,46.7,38.3,15.7,22.1,31.9,46.3,47.3,53.0,42.3
10-15,45.0,48.0,46.6,24.4,42.2,51.8,42.4,38.4,27.2,43.1,30.9,29.7,43.5,,24.4,27.7,35.4,44.1,47.7,51.8,42.4
10-16,46.6,42.2,38.5,29.4,37.5,51.4,33.1,42.7,33.4,47.5,42.1,38.8,45.3,,29.4,33.1,38.1,43.8,47.3,51.4,42.1
10-17,44.6,33.4,30.1,30.1,45.9,47.5,27.3,45.7,37.3,38.6,42.5,42.7,46.3,,27.3,30.1,35.7,45.0,46.2,47.5,42.5
10-18,41.0,38.7,39.4,31.1,44.1,43.2,28.0,44.1,37.2,29.4,42.4,37.0,47.2,,28.0,29.7,37.1,42.7,44.1,47.2,39.4
10-19,40.6,42.4,46.8,37.8,46.0,37.8,25.2,46.4,40.3,26.4,41.4,33.6,46.9,,25.2,27.9,37.8,43.8,46.7,46.9,40.6
10-20,42.9,40.1,43.3,36.8,48.7,34.9,31.3,30.3,44.7,23.2,40.8,37.4,46.6,,23.2,30.5,36.0,43.1,46.2,48.7,40.1
10-21,43.5,41.1,37.1,37.7,34.5,35.2,42.3,27.3,43.2,29.2,37.8,42.0,48.1,,27.3,30.3,36.4,42.1,43.5,48.1,37.8
10-22,41.3,40.0,32.8,40.9,36.3,36.0,42.5,38.4,40.3,34.4,19.8,40.6,29.1,,19.8,29.9,35.4,40.4,41.2,42.5,38.4
10-23,34.2,43.4,22.8,41.6,44.2,36.4,43.5,36.5,36.2,28.8,29.4,30.6,19.9,,19.9,24.0,30.1,38.6,43.5,44.2,36.2
10-24,34.4,40.0,20.4,41.2,48.5,40.6,41.6,42.1,37.8,28.5,31.5,33.7,24.6,,20.4,25.4,32.8,40.9,42.0,48.5,37.8
10-25,22.3,24.8,19.0,40.8,47.8,42.9,37.8,45.0,35.9,41.8,8.5,33.4,25.2,,8.5,19.6,25.1,41.2,44.5,47.8,35.9
10-26,21.0,20.5,21.7,40.2,29.8,37.1,42.4,36.5,42.1,27.4,18.0,26.8,22.0,,18.0,20.6,21.9,36.8,41.7,42.4,27.4
10-27,21.6,28.9,31.9,41.2,26.0,32.7,47.5,38.8,44.7,8.2,30.6,32.4,20.2,,8.2,20.5,27.8,35.1,44.0,47.5,31.9
10-28,29.1,33.5,38.7,32.6,33.4,37.0,40.5,41.3,46.9,14.0,37.0,37.2,28.2,,14.0,28.4,33.1,37.8,41.1,46.9,37.0
10-29,36.1,35.4,41.1,25.8,39.6,30.0,38.1,44.5,30.5,0.8,40.6,39.8,32.3,,0.8,26.6,31.6,39.7,41.0,44.5,36.1
10-30,36.0,37.8,42.3,23.7,44.5,30.7,41.3,32.4,24.0,10.3,42.4,41.7,32.1,,10.3,23.8,31.6,41.4,42.3,44.5,36.0
10-31,32.5,35.5,46.0,29.1,46.1,41.1,27.9,32.0,27.4,24.5,36.2,39.2,38.0,,24.5,27.5,30.8,38.5,45.1,46.1,35.5
11-01,35.2,20.2,38.3,32.6,35.1,39.6,29.5,38.2,34.6,25.1,43.0,36.0,38.5,,20.2,26.0,33.8,38.2,39.4,43.0,35.2
11-02,41.0,21.6,32.5,36.2,23.0,32.4,29.3,38.2,35.1,33.9,46.1,33.6,21.2,,21.2,21.8,31.2,35.5,40.4,46.1,33.6
11-03,44.2,30.2,37.1,17.0,22.5,25.6,21.5,34.2,27.6,35.8,47.0,35.8,16.4,,16.4,17.9,24.4,35.8,42.8,47.0,30.2
11-04,45.8,26.1,39.4,15.7,29.0,19.0,39.9,27.7,31.2,33.6,45.0,40.3,24.0,,15.7,20.0,27.0,39.6,44.0,45.8,31.2
11-05,45.6,13.8,41.6,19.7,35.0,20.0,27.9,24.5,25.2,37.2,46.0,38.7,26.4,,13.8,19.7,25.0,37.8,44.8,46.0,27.9
11-06,42.5,17.2,43.8,29.0,41.1,21.3,39.1,19.0,23.3,37.2,46.0,37.0,22.9,,17.2,19.5,23.1,39.9,43.5,46.0,37.0
11-07,37.6,16.7,43.4,35.8,35.8,24.4,37.0,14.4,19.3,36.0,35.4,26.5,26.7,,14.4,17.2,25.7,35.9,37.5,43.4,35.4
11-08,22.9,16.8,37.0,31.9,39.4,31.0,38.2,29.5,18.0,40.2,17.6,26.2,25.2,,16.8,17.7,24.3,34.0,39.1,40.2,29.5
