date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,59.2,53.8,50.0,41.7,28.4,52.5,44.6,25.0,47.7,24.1,52.9,41.4,36.0,32.0,24.1,25.7,39.2,51.0,53.6,59.2,44.6
10-02,59.2,52.7,50.0,36.0,34.3,40.3,40.5,22.3,48.4,24.6,50.7,43.9,41.7,30.7,22.3,26.6,38.6,49.0,52.3,59.2,41.7
10-03,53.8,49.5,36.5,21.9,38.5,36.3,27.9,27.9,42.1,32.0,50.0,46.4,41.9,32.5,21.9,27.9,34.6,43.8,49.9,53.8,38.5
10-04,42.3,40.6,36.7,20.3,41.9,39.6,27.9,29.7,36.5,26.6,51.3,48.4,42.6,34.5,20.3,26.9,33.8,42.0,47.2,51.3,39.6
10-05,42.6,31.6,31.3,26.8,44.1,44.8,27.3,30.0,29.8,25.2,49.5,47.3,45.5,37.4,25.2,26.9,29.9,44.3,46.9,49.5,31.6
10-06,40.8,22.5,30.0,41.4,46.6,41.4,28.2,34.0,29.8,29.7,50.9,41.9,46.6,41.2,22.5,28.5,29.9,41.6,46.6,50.9,40.8
10-07,34.9,27.1,34.0,45.7,46.0,44.6,35.1,41.2,28.4,39.9,53.2,38.5,47.1,43.5,27.1,29.5,35.0,45.0,46.9,53.2,39.9
10-08,33.4,27.7,42.1,34.3,47.1,47.3,41.4,23.7,27.1,42.4,52.9,34.3,47.5,46.4,23.7,27.2,34.0,44.3,47.4,52.9,41.4
10-09,38.3,28.4,42.8,35.1,44.6,50.0,46.2,23.7,27.3,18.7,50.2,28.8,46.8,47.8,18.7,24.4,28.6,45.2,49.4,50.2,38.3
10-10,41.7,32.0,47.1,29.3,41.9,54.7,46.8,32.4,27.1,12.9,46.8,29.3,45.9,42.6,12.9,27.6,30.9,46.2,47.0,54.7,41.7
10-11,36.0,33.8,47.3,28.8,40.1,43.9,38.8,35.2,26.8,25.7,28.2,22.6,43.0,28.8,22.6,25.9,28.5,39.3,43.7,47.3,35.2
10-12,34.7,33.3,44.2,32.9,30.0,47.7,37.2,25.5,26.4,34.3,38.5,16.5,44.1,28.4,16.5,25.7,31.7,37.7,44.2,47.7,34.3
10-13,41.0,39.9,36.1,28.8,37.4,49.8,44.2,26.4,24.1,37.2,45.0,17.4,45.9,30.2,17.4,24.5,33.2,42.3,45.7,49.8,37.4
10-14,46.0,43.7,39.9,25.7,44.2,50.2,42.3,20.7,11.7,36.3,33.3,18.0,45.0,35.6,11.7,18.5,30.2,43.9,45.8,50.2,39.9
10-15,42.4,46.2,45.0,20.5,40.3,50.4,40.6,39.0,23.7,39.9,28.4,24.3,42.6,,20.5,23.8,34.8,42.5,46.0,50.4,40.3
10-16,44.6,40.3,37.2,24.8,36.7,49.8,33.1,41.7,31.8,45.0,39.2,34.5,43.9,,24.8,32.1,35.8,42.6,44.9,49.8,39.2
10-17,42.3,29.3,27.5,25.7,44.4,44.6,27.3,44.2,35.6,36.9,40.8,39.0,45.0,,25.7,27.4,33.1,43.1,44.6,45.0,39.0
10-18,38.3,37.0,36.7,27.3,43.0,40.5,25.5,41.0,34.3,27.0,40.5,34.0,46.0,,25.5,27.0,34.2,40.5,42.6,46.0,37.0
10-19,37.8,40.3,44.8,32.5,44.1,34.9,25.2,44.2,38.1,23.7,39.4,30.6,45.7,,23.7,26.2,33.9,41.8,44.7,45.7,38.1
10-20,41.4,37.2,43.7,32.9,46.4,32.4,31.3,28.0,43.0,19.9,39.4,34.5,44.4,,19.9,28.7,32.7,42.0,44.3,46.4,37.2
10-21,41.2,38.7,37.2,35.1,33.4,33.1,41.4,24.1,41.0,26.8,36.9,39.6,46.0,,24.1,28.0,34.4,40.1,41.3,46.0,37.2
10-22,38.3,36.9,30.9,39.0,34.2,33.4,41.4,36.3,37.8,31.6,16.9,38.5,27.1,,16.9,27.9,32.7,38.0,38.9,41.4,36.3
10-23,32.0,40.6,20.3,39.9,44.2,33.1,43.5,34.9,34.2,25.7,27.1,27.5,16.9,,16.9,21.4,27.4,36.9,42.9,44.2,33.1
10-24,32.0,39.6,17.4,39.0,47.8,37.2,38.7,40.6,34.9,24.3,30.2,30.9,21.4,,17.4,22.0,30.6,38.8,40.4,47.8,34.9
10-25,19.2,23.4,15.1,38.3,45.7,40.3,37.8,42.8,32.7,39.2,5.0,31.5,23.2,,5.0,15.9,23.3,38.7,42.3,45.7,32.7
10-26,17.6,16.9,17.8,38.1,27.7,35.1,42.4,34.5,39.0,25.0,13.8,23.9,19.4,,13.8,17.0,18.8,34.7,38.8,42.4,25.0
10-27,17.6,25.2,28.8,38.8,23.4,29.8,44.6,37.0,43.5,4.5,27.3,29.8,17.1,,4.5,17.2,24.4,32.7,42.6,44.6,28.8
10-28,25.7,30.9,36.0,30.2,30.6,34.0,39.0,39.4,45.9,10.8,33.4,34.0,25.9,,10.8,25.7,30.4,34.8,39.3,45.9,33.4
10-29,34.9,32.5,39.0,22.3,37.4,27.7,38.1,41.4,29.1,-2.6,37.4,36.5,29.7,,-2.6,23.4,29.4,37.4,38.8,41.4,34.9
10-30,34.0,35.1,40.5,20.7,42.6,27.5,39.2,33.4,20.5,6.3,40.3,39.6,28.4,,6.3,20.5,28.0,39.3,40.4,42.6,34.0
10-31,30.0,34.5,43.7,25.9,43.2,38.1,27.9,29.7,24.6,19.8,34.3,38.7,34.7,,19.8,24.9,28.9,36.1,42.3,43.7,34.3
11-01,31.5,17.2,36.3,28.8,32.0,38.1,27.0,35.8,32.2,21.4,42.3,34.5,34.9,,17.2,22.5,30.4,35.2,37.8,42.3,32.2
11-02,38.8,18.3,30.2,33.8,20.5,32.2,29.3,36.1,32.2,30.6,45.7,31.3,18.3,,18.3,18.8,29.8,32.8,38.3,45.7,31.3
11-03,43.0,26.6,34.2,14.0,19.0,24.1,39.2,32.2,25.2,32.5,45.9,32.7,12.9,,12.9,15.0,24.7,33.3,42.2,45.9,32.2
11-04,44.1,23.2,35.6,11.8,25.3,15.6,39.9,25.9,28.4,29.8,43.0,37.9,20.8,,11.8,16.7,24.5,36.5,42.4,44.1,28.4
11-05,44.2,10.8,37.9,15.4,32.0,16.9,38.7,21.9,22.3,32.5,43.7,36.1,24.3,,10.8,15.7,22.1,36.9,42.7,44.2,32.0
11-06,40.6,14.2,41.4,26.2,39.0,18.3,37.4,16.3,20.1,34.3,43.0,35.8,19.6,,14.2,16.7,19.9,38.0,41.2,43.0,34.3
11-07,35.2,13.6,41.9,32.7,33.8,23.0,37.0,11.8,15.1,33.4,32.5,25.2,26.2,,11.8,13.9,24.3,33.6,36.7,41.9,32.5
11-08,20.3,13.1,35.6,30.9,36.3,29.1,42.3,27.3,14.4,37.2,14.7,25.5,22.5,,13.1,14.4,21.6,32.8,37.0,42.3,27.3
11-09,13.1,19.2,17.2,32.4,39.9,23.7,43.0,32.7,24.3,38.1,9.0,29.1,17.4,,9.0,13.9,18.5,32.5,39.6,43.0,24.3
11-10,17.6,30.2,9.0,36.0,18.3,16.2,42.3,29.3,20.1,34.0,12.9,22.6,8.1,,8.1,9.8,17.0,29.7,35.6,42.3,20.1
11-11,15.3,30.0,7.0,39.0,11.3,16.2,42.1,24.1,11.1,26.4,13.1,30.0,10.9,,7.0,11.0,12.4,27.9,37.2,42.1,16.2
11-12,18.3,19.6,18.3,41.9,6.1,21.2,38.7,31.8,14.9,34.3,11.8,34.3,14.9,,6.1,12.5,17.0,32.8,37.8,41.9,19.6
11-13,16.5,20.8,23.9,33.8,21.9,27.5,35.2,35.2,28.8,31.5,21.7,33.3,12.2,,12.2,17.4,21.8,32.2,35.0,35.2,27.5
11-14,26.2,20.7,27.1,28.2,24.1,32.7,42.3,26.4,31.6,36.7,14.2,37.4,11.7,,11.7,15.5,25.4,32.1,37.3,42.3,27.1
11-15,26.6,16.9,28.0,18.7,3.2,27.9,44.2,32.4,30.6,37.0,26.6,42.4,11.3,,3.2,12.4,23.4,31.3,41.4,44.2,27.9
11-16,21.7,18.0,29.5,18.7,7.5,13.8,23.7,32.5,30.4,28.4,31.5,21.9,15.6,,7.5,14.2,18.4,28.8,31.2,32.5,21.9
11-17,19.6,28.8,29.7,21.4,13.6,19.0,11.8,17.4,19.9,33.8,36.7,15.1,15.1,,11.8,13.9,16.5,24.3,33.0,36.7,19.6
11-18,28.8,18.9,28.4,29.7,21.0,20.8,18.0,15.3,23.2,37.2,32.9,29.7,5.7,,5.7,15.8,20.0,29.1,32.3,37.2,23.2
11-19,28.8,9.5,29.5,29.3,26.8,26.8,31.5,26.6,27.1,36.3,20.5,28.8,16.9,,9.5,17.6,26.7,29.0,31.1,36.3,27.1
11-20,19.8,20.3,32.0,25.7,25.9,14.5,34.3,31.6,32.2,22.3,16.2,19.9,22.5,,14.5,16.9,20.2,28.2,32.1,34.3,22.5
11-21,12.6,22.3,28.8,9.9,27.3,17.2,25.2,36.0,32.0,24.4,20.3,23.7,23.9,,9.9,13.5,21.5,26.0,31.4,36.0,23.9
11-22,11.8,26.6,19.0,20.5,24.4,26.8,19.4,38.8,25.2,22.5,26.4,36.3,26.6,,11.8,19.1,21.7,26.6,34.4,38.8,25.2
11-23,4.6,32.4,33.4,26.8,14.2,33.3,20.1,42.6,23.7,24.1,20.5,25.0,16.9,,4.6,14.7,20.3,29.0,33.4,42.6,24.1
11-24,-9.6,31.3,33.3,25.5,14.5,27.3,16.0,31.6,14.5,26.2,16.9,13.1,24.8,,-9.6,13.4,15.4,26.7,31.6,33.3,24.8
11-25,0.3,17.6,25.0,28.4,27.3,16.9,27.3,36.3,13.6,14.0,18.0,26.8,32.9,,0.3,13.7,17.3,27.3,32.0,36.3,25.0
11-26,18.7,21.0,27.0,32.9,28.2,9.5,28.2,43.7,19.2,8.2,11.5,33.8,20.3,,8.2,9.9,19.0,28.2,33.6,43.7,21.0
11-27,19.0,36.0,32.4,34.2,36.0,5.7,18.3,25.7,28.8,12.9,19.8,31.3,17.8,,5.7,13.9,18.8,31.7,35.6,36.0,25.7
11-28,10.0,30.7,32.0,31.3,39.0,6.8,14.2,21.4,24.1,15.3,22.5,36.0,13.1,,6.8,10.7,14.8,31.0,35.2,39.0,22.5
11-29,1.8,30.2,31.3,27.0,30.7,4.5,11.5,21.2,21.6,16.3,23.5,33.4,4.6,,1.8,4.5,14.4,28.3,31.2,33.4,21.6
