date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,48.4,49.6,38.1,48.1,28.6,53.8,51.1,48.3,47.5,34.5,53.2,44.3,33.6,47.9,38.4,52.5,44.2,40.6,38.8,28.6,34.2,41.0,48.4,52.7,53.8,47.7
10-02,50.3,43.8,37.5,49.4,33.4,53.6,47.6,50.9,47.1,38.3,43.3,44.0,27.5,48.4,35.3,54.0,43.9,42.9,36.0,27.5,34.7,42.9,48.3,51.7,54.0,43.9
10-03,48.0,41.4,44.2,44.1,35.7,53.2,46.5,48.1,32.9,42.4,40.1,33.8,30.5,46.9,40.6,53.1,46.8,44.5,36.2,30.5,33.5,40.6,46.7,49.6,53.2,44.1
10-04,35.6,41.7,46.3,38.1,33.3,44.5,42.5,44.2,27.7,44.3,42.9,32.7,39.3,40.7,38.3,53.4,47.3,44.9,39.1,27.7,33.1,38.4,44.3,46.6,53.4,42.1
10-05,31.3,42.8,41.8,36.3,25.1,41.5,36.8,40.1,35.1,45.0,42.0,31.0,40.3,37.1,36.5,54.0,46.1,44.4,43.6,25.1,31.2,36.5,42.0,45.4,54.0,40.2
10-06,35.9,39.7,29.6,37.8,28.0,40.7,28.6,33.1,42.0,47.8,41.4,29.8,37.9,34.3,36.0,53.6,40.6,45.8,44.0,28.0,29.3,34.5,40.7,46.4,53.6,37.8
10-07,42.2,36.1,29.3,42.2,36.6,37.9,28.3,35.2,44.2,47.8,43.9,35.6,43.9,34.4,42.7,52.0,41.3,46.3,47.0,28.3,32.9,36.2,43.8,46.8,52.0,41.7
10-08,40.1,37.4,37.0,45.0,31.9,34.3,33.2,42.2,41.8,45.8,47.5,41.0,36.0,31.5,45.6,54.5,38.6,46.2,48.6,31.5,32.8,37.0,44.7,46.6,54.5,40.6
10-09,35.1,35.1,41.1,41.6,35.7,37.2,32.4,44.0,40.4,44.2,47.7,44.8,29.3,29.5,35.7,51.4,35.5,46.0,47.4,29.3,31.5,35.5,43.7,46.5,51.4,38.8
10-10,32.6,33.9,44.4,35.3,35.0,40.2,35.4,46.8,33.4,43.0,51.4,45.3,33.2,30.6,21.5,51.4,37.2,45.4,47.0,21.5,32.0,34.0,44.3,48.1,51.4,36.3
10-11,36.6,38.0,41.8,29.6,37.8,41.9,38.1,46.5,32.2,42.9,50.5,42.4,37.1,30.9,27.5,37.1,35.4,45.1,36.9,27.5,30.5,36.6,41.9,45.5,50.5,37.9
10-12,37.7,39.7,42.7,20.7,40.1,39.9,38.8,37.8,33.9,33.3,47.8,41.7,37.1,33.5,35.3,43.4,30.0,47.1,32.8,20.7,32.4,35.5,40.1,44.5,47.8,38.3
10-13,42.2,40.9,37.7,24.3,37.8,40.5,41.8,38.6,34.7,36.0,48.5,45.1,36.8,34.8,38.8,48.6,27.7,46.7,32.1,24.3,32.6,36.9,41.7,47.2,48.6,38.7
10-14,44.2,36.7,36.4,33.8,38.6,44.5,44.3,40.0,29.8,42.1,48.6,47.3,28.8,21.3,40.2,45.8,24.9,46.6,37.0,21.3,27.7,36.4,44.3,46.8,48.6,40.1
10-15,42.2,38.8,39.0,37.1,38.2,44.3,48.8,43.6,24.2,41.5,46.8,49.8,38.7,25.3,41.7,38.3,30.5,44.2,,24.2,28.9,38.3,43.5,47.4,49.8,40.3
10-16,43.0,34.7,35.8,41.4,39.6,43.7,46.7,41.9,29.6,42.5,46.4,47.3,43.0,33.4,45.2,42.6,38.9,40.5,,29.6,34.3,39.7,43.0,46.5,47.3,42.2
10-17,44.5,28.9,28.2,42.9,43.0,43.5,37.1,36.0,32.1,43.6,44.0,34.9,44.2,33.7,42.9,46.5,38.7,43.2,,28.2,31.1,36.2,43.5,44.3,46.5,42.9
10-18,40.3,26.3,31.2,43.9,46.8,38.2,36.9,41.2,32.6,44.0,43.6,31.5,44.1,33.3,32.4,46.8,34.3,45.4,,26.3,31.4,33.4,43.9,45.8,46.8,39.2
10-19,40.9,34.8,42.2,42.1,44.8,38.8,41.0,43.9,37.7,43.5,38.3,30.5,45.0,37.0,29.1,46.4,29.9,47.3,,29.1,30.3,37.7,43.4,45.5,47.3,41.0
10-20,39.8,32.4,30.3,38.5,36.9,40.8,41.0,45.6,37.8,43.0,37.2,34.7,36.0,38.8,23.5,46.0,32.3,46.9,,23.5,31.7,36.0,40.7,45.7,46.9,38.1
10-21,39.5,27.0,22.2,32.6,33.8,42.9,41.2,41.6,35.7,40.6,37.7,42.2,29.9,41.0,28.8,46.8,39.1,43.4,,22.2,28.2,34.0,41.2,43.1,46.8,39.3
10-22,41.9,30.6,32.2,30.5,35.4,39.7,41.3,34.9,39.8,38.4,39.9,43.3,42.2,40.2,36.7,39.3,38.8,35.6,,30.5,31.7,35.7,39.9,42.0,43.3,39.0
10-23,42.0,38.2,41.8,37.1,36.8,37.3,42.1,36.2,39.9,43.2,36.4,45.1,41.8,37.2,30.2,29.0,33.4,24.3,,24.3,29.8,36.4,41.6,42.4,45.1,37.3
10-24,43.2,40.3,43.9,41.4,35.7,35.8,43.5,28.1,39.6,45.1,38.0,40.2,41.7,36.8,26.8,40.6,34.8,27.5,,26.8,27.9,35.9,41.4,43.6,45.1,39.9
10-25,41.8,28.0,44.3,45.8,28.2,25.4,36.4,19.8,39.5,44.7,39.1,39.5,44.6,35.4,37.5,21.7,40.2,30.0,,19.8,24.3,30.6,40.1,44.6,45.8,38.3
10-26,39.1,30.6,43.1,41.4,31.4,22.0,25.4,22.6,39.7,40.6,39.2,40.2,38.8,38.8,40.3,12.9,29.1,25.9,,12.9,22.4,29.3,39.7,40.8,43.1,38.8
10-27,39.1,36.0,39.9,43.2,25.6,21.8,27.0,33.4,39.1,30.0,34.2,43.2,36.3,42.7,18.5,27.0,32.8,25.9,,18.5,24.5,27.3,38.8,42.8,43.2,33.8
10-28,35.1,40.2,41.2,43.7,21.6,27.5,29.9,37.4,34.2,33.5,35.5,43.6,37.4,42.8,14.7,39.9,38.8,32.3,,14.7,25.7,33.6,39.8,43.0,43.7,36.5
10-29,30.6,39.2,42.4,44.4,19.7,35.7,35.7,39.9,26.1,39.6,33.8,41.4,41.9,39.7,9.7,38.4,39.6,34.3,,9.7,24.1,34.5,39.7,42.1,44.4,38.8
10-30,29.1,34.9,37.5,43.8,33.8,34.9,37.4,40.1,25.0,39.5,35.1,42.7,34.2,27.7,10.0,38.8,40.8,35.1,,10.0,26.9,34.3,38.6,41.4,43.8,35.1
10-31,31.9,30.3,33.7,41.8,36.1,33.0,38.9,40.5,31.1,40.4,38.5,36.2,36.8,27.3,26.1,41.2,39.7,36.7,,26.1,29.4,33.1,38.9,40.7,41.8,36.5
11-01,36.4,26.3,34.6,42.2,37.4,34.3,28.8,39.6,32.9,37.6,41.8,35.4,41.3,34.7,27.7,42.4,38.0,34.7,,26.3,28.4,34.6,38.0,41.9,42.4,35.9
11-02,37.4,34.5,32.5,36.0,37.5,41.7,20.6,37.0,34.1,31.0,39.6,32.3,39.8,37.7,30.6,44.9,35.6,30.7,,20.6,30.7,32.7,37.5,40.4,44.9,35.8
11-03,36.3,35.6,37.0,32.9,41.3,39.9,25.0,36.3,24.5,26.2,33.7,35.8,36.4,30.3,36.5,44.3,35.7,21.9,,21.9,24.8,33.0,36.4,40.3,44.3,35.7
11-04,30.4,32.9,39.1,28.0,40.8,40.6,29.8,38.0,18.0,30.8,27.0,39.5,34.5,32.0,36.3,43.0,40.6,25.6,,18.0,26.6,30.4,39.0,40.6,43.0,33.7
