date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,57.1,43.7,57.9,56.8,46.1,56.4,29.2,61.3,58.4,54.0,51.5,36.2,62.6,55.8,36.9,55.5,35.6,54.9,46.4,47.4,43.8,29.2,36.2,46.3,56.6,58.7,62.6,54.4
10-02,52.1,48.0,50.2,49.3,40.3,56.8,36.2,61.4,56.2,56.4,47.4,40.5,46.5,55.6,31.3,56.0,36.8,55.9,48.6,48.9,38.7,31.3,36.7,47.1,55.7,56.5,61.4,49.1
10-03,48.2,47.1,36.9,48.1,53.4,53.2,44.4,57.5,55.3,50.1,34.5,45.5,45.1,37.4,37.4,50.1,48.7,53.9,51.0,48.9,40.3,34.5,37.3,45.4,50.4,54.1,57.5,48.5
10-04,48.9,47.4,31.7,52.3,53.8,41.8,37.3,48.3,49.1,47.8,28.4,47.3,48.4,36.7,43.5,46.3,42.9,54.6,55.3,48.2,43.2,28.4,36.2,43.3,48.5,53.9,55.3,47.6
10-05,50.4,46.5,31.7,52.5,43.1,39.2,29.0,47.7,39.7,41.4,33.9,49.1,50.6,35.3,39.7,38.2,37.1,55.1,53.1,49.9,45.1,29.0,33.7,38.9,49.4,52.6,55.1,42.3
10-06,52.2,47.1,38.9,44.2,29.7,41.6,30.8,46.0,29.3,37.8,44.1,51.0,47.9,35.1,39.9,38.7,37.9,54.1,48.8,50.7,47.9,29.3,30.7,38.5,47.3,51.1,54.1,42.8
10-07,55.0,50.7,49.8,39.6,31.8,48.2,37.8,43.8,30.9,38.7,52.4,52.6,49.0,41.6,49.6,37.9,45.2,57.0,49.4,50.8,49.9,30.9,37.2,41.0,50.1,52.9,57.0,48.6
10-08,56.4,54.9,43.9,39.5,44.9,48.4,35.6,40.9,34.0,46.7,45.1,52.2,52.1,47.3,36.2,36.3,52.3,59.0,44.3,51.0,51.5,34.0,36.2,43.0,51.3,55.0,59.0,45.9
10-09,59.1,55.5,35.8,38.6,52.0,44.0,39.2,42.6,36.3,49.5,42.8,50.3,53.0,51.9,32.1,37.1,35.0,56.5,36.5,51.2,52.8,32.1,35.7,38.2,51.4,55.6,59.1,43.4
10-10,38.4,41.8,36.4,36.3,50.1,28.2,36.3,45.7,40.7,52.9,36.2,49.5,58.2,53.7,41.5,34.2,22.7,56.9,38.8,51.0,53.3,22.7,33.6,36.4,49.7,54.0,58.2,41.1
10-11,41.7,44.6,38.4,38.7,42.8,25.4,43.2,45.2,43.7,53.1,36.4,48.5,53.7,50.1,49.3,35.3,29.2,39.2,37.5,50.4,38.7,25.4,34.7,38.6,46.2,50.7,53.7,43.0
10-12,49.2,46.4,41.5,42.0,46.7,22.6,46.8,41.6,43.0,43.0,42.6,37.5,52.2,45.2,37.0,35.5,37.5,47.2,29.6,48.4,34.3,22.6,34.9,40.3,46.5,48.5,52.2,42.8
10-13,35.7,43.7,44.6,44.7,38.7,26.6,42.3,44.1,48.4,42.2,38.0,40.7,55.9,53.0,40.2,38.9,43.8,52.9,28.8,49.0,38.0,26.6,35.0,39.8,44.6,52.9,55.9,43.0
10-14,46.1,46.8,52.2,45.0,40.4,35.9,42.5,49.1,51.5,44.1,33.7,51.8,55.2,53.9,29.2,26.2,43.9,46.3,28.1,48.6,43.2,26.2,29.0,41.9,48.7,52.4,55.2,45.5
10-15,47.9,50.5,51.1,45.4,43.8,44.3,42.7,50.4,55.5,48.7,31.1,52.8,55.1,54.7,39.6,29.2,45.2,37.8,31.8,48.7,,29.2,31.7,43.5,50.4,54.8,55.5,46.7
10-16,48.5,51.9,44.4,36.0,42.2,45.4,43.7,51.9,50.7,48.1,33.7,45.4,56.0,49.7,46.3,37.8,52.8,45.5,41.7,47.2,,33.7,37.6,44.2,48.9,52.0,56.0,45.9
10-17,55.8,45.0,47.5,30.7,31.5,49.1,50.4,48.8,39.0,36.9,37.0,50.1,51.4,37.7,50.4,40.0,48.5,50.5,48.7,47.8,,30.7,36.4,39.7,49.4,50.6,55.8,48.1
