date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.2,49.1,33.2,56.9,48.0,36.1,52.7,37.2,51.4,43.9,46.0,40.7,33.2,36.1,43.9,51.2,52.7,56.9,48.0
10-02,51.6,49.1,36.9,45.1,48.4,27.9,50.4,36.9,51.6,45.7,47.5,34.6,27.9,36.9,45.1,49.1,51.6,51.6,47.5
10-03,51.5,33.9,42.2,42.1,33.4,34.6,48.9,45.5,50.8,47.0,47.1,36.5,33.4,33.9,42.1,47.1,50.8,51.5,45.5
10-04,48.9,25.4,44.4,47.0,33.2,43.2,41.3,41.8,51.7,49.6,45.3,39.4,25.4,33.2,41.8,47.0,49.6,51.7,44.4
10-05,43.3,31.4,44.9,43.8,34.9,41.6,35.4,38.2,51.8,45.7,46.7,43.7,31.4,34.9,38.2,44.9,46.7,51.8,43.3
10-06,38.3,43.9,46.7,42.3,32.1,35.7,34.8,37.8,50.7,43.8,46.9,46.0,32.1,34.8,37.8,43.9,46.9,50.7,42.3
10-07,36.5,47.3,48.2,45.1,38.4,45.5,33.7,44.7,52.7,44.7,47.8,48.1,33.7,36.5,44.7,47.3,48.2,52.7,45.1
10-08,44.0,43.4,48.3,48.0,44.5,37.9,33.2,48.6,53.2,40.2,47.6,48.7,33.2,37.9,43.4,48.0,48.6,53.2,44.5
10-09,45.8,41.4,46.8,49.4,46.6,28.6,33.3,38.8,52.1,33.9,47.1,48.3,28.6,33.3,38.8,46.8,49.4,52.1,45.8
10-10,47.5,33.2,45.5,52.3,47.6,35.4,31.1,19.7,51.4,34.7,46.6,50.5,19.7,31.1,34.7,47.5,51.4,52.3,45.5
10-11,46.2,32.9,44.9,51.0,46.7,43.1,34.1,29.5,39.6,35.4,46.8,36.5,29.5,32.9,35.4,46.2,46.8,51.0,43.1
10-12,36.8,36.8,35.2,50.5,44.5,39.7,34.6,36.2,44.9,28.4,46.3,29.8,28.4,34.6,36.2,44.5,46.3,50.5,36.8
10-13,36.7,36.0,37.3,52.3,46.9,40.3,36.4,39.6,50.2,26.1,46.3,34.1,26.1,36.0,36.7,46.3,50.2,52.3,39.6
10-14,40.5,30.2,46.1,52.1,51.6,29.8,23.4,40.4,49.6,24.1,46.3,39.2,23.4,24.1,30.2,46.3,51.6,52.1,40.5
10-15,44.6,27.0,48.8,51.5,52.1,42.0,25.4,42.3,38.2,29.3,46.3,,25.4,27.0,38.2,46.3,51.5,52.1,42.3
10-16,46.2,28.8,45.1,50.6,49.8,44.9,34.0,47.1,41.5,40.3,45.4,,28.8,34.0,41.5,46.2,49.8,50.6,45.1
10-17,35.1,33.4,46.4,45.0,37.3,47.0,32.8,46.1,46.7,41.6,43.8,,32.8,33.4,37.3,46.1,46.7,47.0,43.8
10-18,39.1,32.0,46.1,43.9,37.0,47.1,32.4,30.7,47.0,34.3,46.0,,30.7,32.0,34.3,46.0,47.0,47.1,39.1
10-19,45.0,35.7,45.7,40.6,31.5,47.8,38.2,34.3,46.2,28.8,46.8,,28.8,31.5,35.7,45.7,46.8,47.8,40.6
10-20,49.1,37.2,46.5,38.1,39.3,38.0,41.0,24.5,45.8,34.3,46.2,,24.5,34.3,38.0,45.8,46.5,49.1,39.3
10-21,44.9,36.5,44.3,39.3,46.0,28.7,42.0,32.3,48.7,41.0,45.4,,28.7,32.3,39.3,44.9,46.0,48.7,42.0
10-22,43.7,40.5,40.5,38.1,48.1,41.3,40.0,37.0,40.8,41.4,37.3,,37.0,37.3,40.0,41.3,43.7,48.1,40.5
10-23,38.2,41.5,47.1,37.2,48.4,41.6,38.9,34.3,37.4,37.0,23.3,,23.3,34.3,37.2,41.5,47.1,48.4,38.2
10-24,26.3,42.4,49.2,39.9,44.5,41.1,38.6,28.9,44.6,40.4,22.3,,22.3,26.3,38.6,42.4,44.6,49.2,40.4
10-25,21.4,41.4,49.3,41.4,41.7,44.6,36.7,39.8,24.4,44.2,29.8,,21.4,24.4,36.7,41.7,44.6,49.3,41.4
10-26,24.3,40.6,41.8,41.1,43.2,40.1,39.5,43.2,12.0,26.8,28.9,,12.0,24.3,28.9,41.1,43.2,43.2,40.1
10-27,33.7,41.4,30.4,38.0,46.9,37.7,44.5,20.3,25.1,30.7,22.2,,20.3,22.2,30.4,38.0,44.5,46.9,33.7
10-28,39.4,36.1,35.5,38.7,48.9,38.5,46.6,19.0,35.8,37.1,29.9,,19.0,29.9,35.8,38.7,46.6,48.9,37.1
10-29,41.9,27.6,41.1,32.9,46.5,42.4,42.9,12.6,37.9,41.3,33.1,,12.6,27.6,33.1,41.9,42.9,46.5,41.1
10-30,42.4,26.9,44.2,32.2,47.9,41.9,28.6,9.3,39.5,42.3,32.6,,9.3,26.9,32.2,42.3,44.2,47.9,39.5
10-31,44.0,28.5,45.4,38.3,39.9,36.4,26.6,28.5,40.9,42.3,36.1,,26.6,28.5,36.1,40.9,44.0,45.4,38.3
11-01,42.1,32.3,40.3,45.3,35.1,42.2,30.5,28.9,42.9,41.0,37.4,,28.9,30.5,35.1,42.1,42.9,45.3,40.3
11-02,37.9,38.0,29.4,43.9,33.5,41.0,37.2,33.0,46.1,37.2,31.5,,29.4,31.5,33.5,38.0,43.9,46.1,37.2
11-03,36.8,26.5,22.9,36.6,40.8,38.8,31.0,37.3,45.1,36.3,21.8,,21.8,22.9,31.0,37.3,40.8,45.1,36.6
11-04,39.1,19.1,28.8,26.1,41.9,37.4,32.6,36.0,44.0,43.3,21.6,,19.1,21.6,28.8,39.1,43.3,44.0,36.0
11-05,40.1,16.9,36.2,21.3,41.0,35.3,31.4,35.6,44.9,42.6,33.3,,16.9,21.3,33.3,40.1,42.6,44.9,35.6
11-06,41.3,27.6,42.0,21.5,40.2,34.2,26.3,36.6,45.5,44.5,33.4,,21.5,26.3,33.4,41.3,44.5,45.5,36.6
11-07,43.1,36.8,40.4,26.9,41.3,24.5,26.3,37.0,37.0,42.0,39.8,,24.5,26.3,36.8,40.4,42.0,43.1,37.0
11-08,42.6,38.2,39.2,30.0,41.9,33.1,20.0,38.3,22.1,37.9,37.6,,20.0,22.1,33.1,38.3,41.9,42.6,37.9
11-09,32.8,38.8,43.3,34.0,42.0,37.2,25.9,41.9,18.3,35.3,24.1,,18.3,24.1,32.8,38.8,42.0,43.3,35.3
11-10,16.4,38.1,30.5,25.5,42.6,38.5,29.0,39.0,16.0,31.0,16.1,,16.0,16.1,25.5,38.1,39.0,42.6,30.5
11-11,11.0,40.4,30.1,18.6,41.0,32.8,17.4,32.5,19.7,32.3,15.8,,11.0,15.8,18.6,32.5,40.4,41.0,30.1
11-12,22.2,40.8,23.5,23.5,39.8,36.7,16.1,35.3,21.8,36.8,22.5,,16.1,21.8,22.5,36.7,39.8,40.8,23.5
11-13,27.9,39.1,30.6,28.8,38.0,41.2,26.1,36.8,31.2,38.1,21.1,,21.1,26.1,28.8,38.0,39.1,41.2,31.2
11-14,32.0,34.0,30.6,30.9,43.0,38.0,33.0,39.8,21.2,40.6,17.2,,17.2,21.2,30.9,38.0,40.6,43.0,33.0
11-15,33.2,28.6,22.5,30.0,48.6,38.5,34.4,40.9,34.7,45.3,13.1,,13.1,22.5,30.0,38.5,45.3,48.6,34.4
