date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,40.3,50.1,51.1,45.8,50.0,33.7,55.4,50.0,52.3,47.0,37.4,55.0,47.5,44.7,51.7,38.6,53.4,42.8,49.7,38.4,33.7,38.3,45.2,50.7,53.7,55.4,49.7
10-02,41.3,52.2,48.7,43.4,49.5,40.0,53.0,47.9,52.6,46.8,41.2,46.5,47.7,34.2,49.9,40.5,53.4,45.9,48.2,35.6,34.2,40.4,44.4,49.2,52.7,53.4,47.7
10-03,41.7,51.4,47.9,46.6,47.7,42.5,49.1,46.8,54.6,36.7,45.2,42.2,35.5,40.5,48.9,46.8,53.4,44.8,45.9,38.3,35.5,39.7,43.4,47.8,51.8,54.6,46.6
10-04,43.3,38.2,47.4,49.5,38.4,38.6,42.0,44.0,51.9,26.8,47.0,44.3,37.5,45.8,41.7,45.9,52.7,48.9,45.6,41.7,26.8,38.0,41.8,46.6,50.0,52.7,44.3
10-05,42.7,36.7,47.8,41.7,37.1,30.5,38.6,34.9,48.2,34.6,47.3,41.6,38.8,44.3,39.1,44.6,53.5,43.5,46.1,46.3,30.5,34.8,38.7,44.5,47.8,53.5,41.7
10-06,43.5,42.3,42.3,28.1,39.7,33.1,38.5,26.2,43.8,45.7,47.9,39.1,35.5,39.2,35.5,41.7,52.1,43.2,46.4,47.6,26.2,32.1,38.7,43.4,46.7,52.1,41.7
10-07,45.3,47.8,37.5,31.0,45.0,35.4,39.0,26.6,42.0,45.9,48.1,44.3,40.1,47.6,33.0,45.5,51.9,44.5,46.6,48.7,26.6,32.6,39.5,45.7,47.8,51.9,44.5
10-08,46.2,43.8,40.5,41.1,46.6,37.3,39.0,31.2,45.4,43.3,48.6,48.5,44.9,43.0,32.6,48.7,52.6,39.9,46.8,48.5,31.2,36.4,40.7,46.5,48.6,52.6,43.8
10-09,47.2,35.5,37.5,45.8,47.3,41.8,41.3,32.7,46.1,37.6,46.0,49.6,46.2,31.0,34.8,43.3,50.0,36.3,45.9,48.5,31.0,34.4,37.5,46.0,47.8,50.0,43.3
10-10,40.0,35.0,37.2,45.6,40.4,42.4,43.8,37.7,46.0,31.6,47.3,50.4,48.6,39.0,37.2,24.7,49.2,37.0,45.5,49.3,24.7,34.3,37.4,45.5,48.7,50.4,40.4
10-11,39.6,38.1,38.2,44.4,25.1,41.7,46.2,42.7,41.8,34.3,47.7,50.7,47.5,45.7,35.8,34.0,44.9,35.8,46.9,40.6,25.1,34.2,38.2,45.4,47.6,50.7,41.8
10-12,44.4,41.7,40.3,42.3,20.5,40.3,44.6,43.4,34.4,35.9,39.4,50.3,45.1,42.7,37.0,36.6,47.6,26.1,48.4,32.8,20.5,32.8,38.0,44.0,47.7,50.3,41.7
10-13,42.2,42.4,43.1,37.0,24.0,39.3,43.8,47.4,39.6,34.0,40.9,51.7,45.8,41.5,39.7,40.6,50.9,27.9,47.3,37.2,24.0,32.8,39.7,43.5,48.1,51.7,41.5
10-14,46.6,45.4,36.4,37.8,35.0,41.1,45.8,50.2,42.2,31.3,46.6,51.9,50.3,37.3,26.6,40.9,53.8,29.0,46.7,41.9,26.6,30.8,37.5,46.6,50.6,53.8,42.2
10-15,48.3,42.0,37.5,39.4,39.8,44.5,45.1,50.7,44.9,28.8,48.6,51.4,50.9,43.2,26.8,43.0,46.1,34.8,47.2,,26.8,33.6,40.7,46.7,50.7,51.4,44.5
10-16,46.1,41.5,40.9,38.2,42.6,45.6,45.3,48.7,47.3,31.9,44.5,47.8,49.0,45.2,33.0,47.6,47.3,41.9,44.5,,31.9,37.2,42.2,46.8,48.0,49.0,45.2
10-17,37.6,44.4,30.2,33.9,44.7,47.0,42.6,43.0,41.5,36.5,44.7,44.9,43.8,47.3,32.5,47.1,50.0,42.2,43.8,,30.2,33.6,41.8,44.7,47.2,50.0,43.8
10-18,35.8,38.8,29.1,34.3,44.9,50.1,39.2,44.6,43.3,35.9,43.7,42.9,40.9,47.7,33.0,35.2,51.5,32.6,44.7,,29.1,32.9,35.8,44.2,48.2,51.5,40.9
10-19,36.3,37.5,36.4,44.3,44.0,46.9,40.6,44.0,46.2,37.7,45.2,39.3,36.0,47.2,39.2,39.1,50.1,33.3,44.3,,33.3,36.2,38.2,44.3,47.0,50.1,40.6
10-20,37.2,40.8,39.4,40.0,43.1,35.1,42.1,42.6,46.5,39.6,45.4,37.7,41.5,40.9,41.1,30.8,48.7,37.6,43.7,,30.8,36.8,39.5,42.4,45.7,48.7,40.9
10-21,32.9,42.0,34.0,25.0,41.9,35.7,38.8,42.9,43.9,38.2,45.0,38.4,46.8,33.2,39.6,36.7,49.0,42.3,44.0,,25.0,33.1,37.3,42.6,45.3,49.0,39.6
10-22,29.8,42.3,38.2,36.4,37.4,37.2,36.0,43.7,41.7,39.1,42.7,38.5,48.7,44.1,37.5,41.2,47.6,43.4,40.7,,29.8,36.3,37.8,42.5,44.8,48.7,40.7
10-23,32.0,42.3,40.1,46.2,41.1,39.9,36.1,44.6,40.0,40.0,46.0,37.7,47.4,45.8,37.8,38.5,43.9,40.4,25.1,,25.1,35.3,39.1,43.2,46.0,47.4,40.1
