date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,25.5,47.8,52.0,45.2,45.7,31.1,54.6,45.3,30.6,46.8,33.8,44.0,38.1,37.7,38.2,25.5,30.8,37.3,45.8,50.7,54.6,44.6
10-02,28.8,49.2,47.6,48.8,43.7,36.4,41.4,44.4,23.6,49.6,31.0,45.4,40.1,40.9,36.3,23.6,29.4,39.7,45.6,49.1,49.6,42.6
10-03,35.5,52.7,47.3,45.1,29.5,40.0,38.0,34.0,27.9,43.9,42.9,42.5,40.6,40.8,36.2,27.9,30.8,37.8,43.0,46.7,52.7,40.7
10-04,33.4,46.4,45.0,40.4,23.4,43.1,42.4,30.6,40.8,41.2,39.8,45.2,45.3,38.5,37.7,23.4,31.5,39.7,43.3,45.3,46.4,41.0
10-05,21.3,44.0,37.4,34.7,32.3,44.0,43.2,27.1,36.0,35.2,32.7,47.3,46.4,38.3,39.9,21.3,28.7,34.5,43.2,45.7,47.3,36.7
10-06,24.2,42.4,26.6,29.0,39.7,46.9,41.5,25.4,34.6,31.7,32.2,43.6,40.9,39.5,37.8,24.2,25.8,31.5,41.0,43.3,46.9,37.0
10-07,32.7,40.3,23.5,30.3,44.6,44.6,42.2,32.4,45.5,29.7,39.4,42.5,41.6,40.0,40.6,23.5,29.8,32.7,42.2,44.6,45.5,40.1
10-08,27.3,33.7,26.8,40.6,42.2,41.0,44.2,38.8,33.2,25.9,44.5,48.0,38.2,40.5,42.6,25.9,26.9,33.7,41.1,44.4,48.0,39.6
10-09,35.1,37.0,28.2,42.7,39.6,40.1,42.8,44.7,21.1,26.6,36.5,46.4,34.7,41.1,41.1,21.1,27.1,35.0,41.3,44.1,46.4,38.3
10-10,33.5,41.1,31.6,44.4,33.8,39.6,47.8,44.7,32.8,26.5,17.5,47.8,36.1,42.0,45.0,17.5,28.0,33.5,42.2,46.9,47.8,37.9
10-11,36.8,41.2,36.0,47.2,30.6,41.9,49.7,42.0,40.4,26.4,26.2,33.2,36.0,43.7,34.0,26.2,27.7,35.7,41.9,46.2,49.7,38.6
10-12,39.2,35.9,33.4,37.9,32.1,30.6,46.0,37.7,34.9,27.4,31.2,43.1,25.5,43.9,29.3,25.5,28.4,32.0,38.1,43.6,46.0,35.4
10-13,37.9,36.0,41.2,37.5,35.7,33.6,47.1,45.6,34.0,31.2,35.0,47.8,24.4,42.0,29.6,24.4,31.9,34.9,41.3,46.7,47.8,36.7
10-14,40.4,39.7,41.7,37.0,28.0,43.4,46.9,49.5,24.2,14.0,38.5,44.0,22.6,42.4,31.6,14.0,23.1,36.1,42.5,46.0,49.5,40.1
10-15,36.6,41.9,46.2,41.2,20.8,44.5,42.8,47.9,34.5,20.8,38.7,35.0,27.8,36.9,,20.8,22.9,34.9,42.0,45.7,47.9,37.8
10-16,35.6,41.9,43.0,40.9,27.3,39.0,44.2,43.2,39.2,26.8,43.8,42.4,37.0,33.7,,26.8,29.2,36.9,42.5,43.6,44.2,40.1
10-17,40.8,41.4,33.1,33.3,31.7,40.9,46.9,32.4,40.4,31.3,44.2,46.5,43.4,36.7,,31.3,31.9,33.2,41.6,45.8,46.9,40.6
10-18,48.4,36.8,32.5,38.9,30.5,41.0,43.9,28.2,40.6,33.5,30.6,45.6,36.6,38.0,,28.2,30.5,33.4,40.7,45.1,48.4,37.4
10-19,44.2,36.4,36.1,40.8,36.8,40.4,38.8,26.4,43.7,33.6,28.2,46.4,26.9,39.9,,26.4,27.3,35.9,40.4,44.0,46.4,37.8
10-20,32.5,38.1,37.6,46.1,36.3,45.2,36.0,30.4,37.7,38.8,20.3,45.3,30.9,41.2,,20.3,30.5,35.7,39.1,45.3,46.1,37.6
10-21,30.4,38.5,38.1,41.2,32.5,41.3,35.3,41.8,27.5,42.8,27.0,43.2,35.5,42.7,,27.0,28.4,35.1,41.3,42.8,43.2,38.3
10-22,32.3,36.8,38.7,40.2,36.0,33.3,36.0,44.2,42.4,40.6,36.4,29.8,38.2,36.0,,29.8,32.6,36.0,38.8,41.8,44.2,36.6
10-23,34.4,34.9,38.7,32.8,35.6,44.0,34.4,46.9,40.2,36.6,27.6,23.8,34.3,20.0,,20.0,24.9,34.2,36.8,42.8,46.9,34.7
10-24,34.5,36.8,41.2,20.8,35.7,48.7,35.2,43.8,38.3,33.9,24.4,37.1,35.7,25.1,,20.8,24.6,34.5,37.2,43.0,48.7,35.7
10-25,24.3,23.2,29.5,14.7,37.1,49.0,39.7,38.8,40.9,33.6,36.0,10.0,42.6,28.8,,10.0,17.3,28.4,38.8,42.1,49.0,34.8
10-26,31.9,20.4,15.9,18.0,35.3,38.5,38.9,40.3,36.1,37.4,35.5,5.5,26.5,22.3,,5.5,16.5,22.1,36.3,38.8,40.3,33.6
10-27,22.3,20.6,22.7,32.1,38.0,25.9,30.2,48.8,36.2,41.7,12.0,28.5,30.1,19.2,,12.0,19.6,22.7,32.5,40.6,48.8,29.3
10-28,14.4,36.5,26.8,36.8,34.9,28.9,32.4,46.7,35.1,42.5,12.6,34.2,34.2,26.6,,12.6,18.0,28.7,35.2,40.8,46.7,34.2
10-29,14.4,40.4,35.6,38.0,25.7,37.5,30.8,41.8,39.6,40.4,1.8,34.8,34.1,28.8,,1.8,17.8,30.6,38.2,40.4,41.8,35.2
10-30,29.0,36.9,35.5,39.1,21.6,40.6,31.6,45.1,29.5,25.0,4.9,34.9,35.9,28.8,,4.9,22.6,29.0,36.0,40.1,45.1,33.3
10-31,31.7,31.0,36.2,41.0,28.6,44.0,38.6,34.2,36.2,25.4,29.7,36.1,36.7,33.6,,25.4,28.9,31.7,36.3,40.3,44.0,35.2
11-01,34.1,32.7,24.9,41.6,29.2,39.1,40.5,32.0,41.9,32.8,23.1,35.2,34.6,37.8,,23.1,26.2,32.6,37.9,41.3,41.9,34.3
11-02,32.8,40.2,16.1,33.9,36.7,28.8,39.7,27.8,38.5,37.3,28.5,37.1,33.6,27.3,,16.1,27.5,28.7,37.1,39.4,40.2,33.8
11-03,36.9,36.1,31.6,31.5,22.2,21.5,35.0,32.4,37.8,28.2,35.6,38.9,31.6,15.5,,15.5,21.7,31.1,35.7,37.6,38.9,32.0
11-04,40.3,36.9,32.7,36.8,13.6,26.5,25.0,35.4,35.1,30.4,32.7,39.4,38.6,21.5,,13.6,22.5,30.0,36.8,39.1,40.3,33.9
11-05,44.1,39.3,15.7,39.0,14.9,33.2,20.2,35.7,30.2,27.4,29.5,41.7,37.0,32.1,,14.9,17.1,29.3,37.2,41.0,44.1,32.6
11-06,39.9,41.0,14.9,37.3,27.7,37.1,17.4,35.2,24.0,20.6,31.4,43.1,43.3,28.0,,14.9,18.4,27.3,37.6,42.4,43.3,33.3
11-07,35.2,36.8,13.3,39.0,33.1,37.6,24.3,34.7,16.1,20.1,31.2,34.8,38.9,36.2,,13.3,17.3,30.5,36.3,38.5,39.0,34.7
11-08,25.6,30.9,9.3,39.7,33.7,33.6,31.0,35.2,25.5,16.4,35.6,20.0,32.7,33.7,,9.3,17.5,25.6,33.7,35.5,39.7,31.9
