date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,46.8,40.5,45.8,21.6,49.6,48.0,43.5,43.8,29.4,54.2,43.7,27.7,45.6,31.8,43.5,38.8,37.8,37.9,21.6,28.7,38.6,45.6,48.7,54.2,43.5
10-02,43.4,35.5,46.3,28.7,50.9,46.1,46.3,41.8,33.3,39.4,43.5,22.8,49.0,30.6,43.3,39.9,41.8,35.1,22.8,29.8,38.7,44.0,47.4,50.9,41.8
10-03,40.6,47.2,43.6,34.6,50.7,46.0,44.3,26.7,37.2,37.0,30.4,30.6,45.0,43.0,43.0,41.8,39.9,33.4,26.7,30.5,37.2,43.7,46.5,50.7,41.8
10-04,43.1,47.1,38.6,32.5,43.1,43.2,42.0,22.6,38.8,40.2,28.3,40.0,40.2,35.7,44.6,43.8,38.9,35.3,22.6,30.9,38.8,43.1,44.1,47.1,40.2
10-05,44.8,40.6,32.8,20.6,42.1,38.2,33.3,28.8,40.0,41.7,26.1,35.8,31.4,32.5,45.0,45.3,38.5,38.0,20.6,27.7,32.8,40.8,44.9,45.3,38.2
10-06,40.4,27.0,33.9,23.7,41.7,26.1,27.7,38.2,42.0,40.1,24.0,32.2,30.2,31.1,44.5,39.2,40.2,38.2,23.7,25.2,29.7,40.1,41.8,44.5,33.9
10-07,36.0,25.9,41.1,31.8,38.8,26.0,30.4,45.1,42.6,40.3,32.5,43.7,28.8,40.8,43.6,40.5,41.1,41.9,25.9,27.7,32.3,41.1,43.7,45.1,40.3
10-08,35.0,35.5,44.0,28.3,31.0,28.2,38.5,41.0,40.7,42.0,38.8,30.9,25.3,44.5,47.5,37.7,40.4,43.4,25.3,28.3,34.2,40.8,44.2,47.5,38.5
10-09,31.8,43.1,40.5,31.5,33.6,28.8,40.7,37.9,39.4,42.6,42.6,21.6,26.1,32.1,46.6,32.1,40.5,42.0,21.6,27.7,32.0,40.5,42.8,46.6,37.9
10-10,30.6,45.7,27.0,30.9,37.7,32.7,42.9,32.4,39.0,49.2,43.8,33.6,25.0,14.3,46.8,33.8,40.6,44.7,14.3,26.2,32.1,41.1,46.1,49.2,33.8
10-11,33.6,38.5,25.5,34.8,38.0,35.8,44.9,27.0,40.0,47.7,40.0,41.4,26.3,24.6,30.4,35.2,41.1,32.5,24.6,26.0,33.0,40.0,42.8,47.7,35.8
10-12,35.9,41.3,18.2,39.6,35.1,35.3,37.3,30.3,28.3,43.1,37.3,34.4,28.1,31.2,39.7,25.0,39.9,27.7,18.2,26.9,31.0,37.8,40.4,43.1,35.3
10-13,38.0,34.4,17.8,37.5,37.1,40.5,34.8,34.4,31.0,44.3,43.7,34.9,30.8,36.1,46.4,24.1,38.4,28.3,17.8,28.1,34.4,38.1,43.9,46.4,36.1
10-14,36.7,34.1,29.3,38.7,41.3,44.6,36.3,25.6,44.1,44.6,48.6,22.6,14.8,36.9,39.9,20.9,39.3,31.9,14.8,21.9,33.1,40.1,44.6,48.6,36.9
10-15,38.5,36.8,35.4,35.5,41.3,48.8,39.7,18.6,45.7,42.6,48.4,35.3,20.2,37.3,31.4,25.8,37.3,,18.6,23.6,35.4,40.0,46.8,48.8,37.3
10-16,30.3,34.7,39.4,36.0,41.2,42.9,38.7,22.5,38.4,43.3,44.2,39.0,28.6,44.6,38.8,36.6,35.1,,22.5,29.6,35.8,39.7,43.6,44.6,38.7
10-17,24.9,24.9,40.5,42.2,40.4,31.7,28.5,27.2,40.1,44.7,28.8,41.1,31.4,42.7,42.1,41.8,37.6,,24.9,26.3,30.9,41.2,42.4,44.7,40.1
